ANTMToBrokerCode	ANTM	Start	2025-12-12	End	2025-12-12	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
CC	686,241	208,314,911,000	3035.59	1	CC	441,327	133,714,333,000	3029.82
AK	452,895	136,416,775,000	3012.11	2	XL	377,057	114,388,125,000	3033.71
ZP	351,676	106,294,000,000	3022.50	3	YP	319,843	97,312,586,000	3042.51
YP	267,636	81,457,801,000	3043.60	4	BK	272,965	81,849,827,000	2998.55
XL	174,883	53,370,540,000	3051.79	5	NI	197,022	60,266,283,000	3058.86
MG	126,874	38,736,342,000	3053.13	6	PD	173,633	52,537,534,000	3025.78
PD	109,394	33,286,404,000	3042.80	7	XC	155,542	47,226,095,000	3036.23
NI	98,174	30,154,363,000	3071.52	8	SQ	148,839	45,009,302,000	3024.03
YU	94,663	28,428,325,000	3003.11	9	ZP	122,025	36,950,033,000	3028.07
XC	74,389	22,701,344,000	3051.71	10	MG	96,419	29,410,149,000	3050.24
BK	71,368	21,495,362,000	3011.90	11	AK	90,342	27,631,243,000	3058.52
CP	67,852	20,511,505,000	3022.98	12	OD	83,695	25,274,316,000	3019.81
HD	54,372	16,548,548,000	3043.58	13	KK	82,079	25,154,340,000	3064.65
SQ	50,198	15,156,193,000	3019.28	14	HD	55,046	16,803,171,000	3052.57
LG	47,133	14,293,981,000	3032.69	15	GR	55,149	16,627,759,000	3015.06
AZ	39,425	11,960,940,000	3033.85	16	CP	43,685	13,305,480,000	3045.78
KK	35,314	10,723,537,000	3036.62	17	DR	40,736	12,375,120,000	3037.88
DR	33,415	10,194,594,000	3050.90	18	LG	36,977	11,262,359,000	3045.77
EP	30,111	9,267,034,000	3077.62	19	EP	26,935	8,225,272,000	3053.75
OD	22,697	6,860,910,000	3022.83	20	AZ	26,200	8,013,673,000	3058.65
AT	17,065	5,233,232,000	3066.65	21	YU	21,747	6,583,875,000	3027.49
MI	13,500	4,159,000,000	3080.74	22	AT	15,514	4,740,213,000	3055.44
GR	13,115	3,980,736,000	3035.25	23	BQ	14,870	4,529,399,000	3046.00
HP	12,757	3,905,071,000	3061.12	24	PF	15,000	4,517,500,000	3011.67
FZ	11,000	3,387,000,000	3079.09	25	BB	13,910	4,272,727,000	3071.69
XA	10,649	3,279,188,000	3079.34	26	DH	13,252	4,010,432,000	3026.28
SS	10,350	3,179,000,000	3071.50	27	YJ	12,147	3,667,979,000	3019.66
AG	7,577	2,303,479,000	3040.09	28	AO	9,323	2,849,924,000	3056.87
BQ	7,044	2,156,561,000	3061.56	29	KI	9,321	2,835,818,000	3042.40
IF	6,727	2,070,900,000	3078.49	30	XA	8,655	2,626,186,000	3034.30
BB	6,417	1,938,893,000	3021.49	31	AI	6,297	1,913,171,000	3038.23
AO	6,015	1,840,576,000	3059.98	32	TP	5,880	1,777,778,000	3023.43
DH	4,670	1,404,643,000	3007.80	33	DX	4,591	1,395,650,000	3039.97
LS	4,584	1,401,336,000	3057.02	34	LS	4,362	1,329,365,000	3047.60
YB	4,422	1,349,422,000	3051.61	35	ZR	4,110	1,248,890,000	3038.66
TP	3,923	1,202,343,000	3064.86	36	AG	3,971	1,210,764,000	3049.02
KI	2,690	807,990,000	3003.68	37	ES	3,829	1,186,052,000	3097.55
ES	2,400	743,100,000	3096.25	38	PC	3,814	1,174,571,000	3079.63
YJ	2,321	692,608,000	2984.09	39	CD	3,819	1,157,005,000	3029.60
AI	1,377	418,829,000	3041.60	40	HP	3,655	1,118,065,000	3059.00
DX	1,304	391,692,000	3003.77	41	YB	3,253	990,855,000	3045.97
CD	954	292,104,000	3061.89	42	SH	2,565	774,415,000	3019.16
SF	580	176,364,000	3040.76	43	IF	2,275	689,771,000	3031.96
IU	302	92,420,000	3060.26	44	RO	1,769	538,529,000	3044.26
RF	250	76,750,000	3070.00	45	AD	1,701	500,094,000	2940.00
FS	220	66,500,000	3022.73	46	IT	1,600	478,150,000	2988.44
PO	214	65,743,000	3072.10	47	FZ	1,500	454,700,000	3031.33
SH	215	65,470,000	3045.12	48	FS	730	220,349,000	3018.48
OK	60	18,420,000	3070.00	49	BR	530	161,975,000	3056.13
RO	30	9,360,000	3120.00	50	SS	310	95,490,000	3080.32
MU	30	9,150,000	3050.00	51	RF	230	70,840,000	3080.00
RG	30	9,130,000	3043.33	52	AF	205	62,250,000	3036.59
PC	27	8,282,000	3067.41	53	QA	191	57,600,000	3015.71
QA	21	6,331,000	3014.76	54	RG	157	46,869,000	2985.29
AR	15	4,575,000	3050.00	55	BS	110	33,845,000	3076.82
JB	10	2,970,000	2970.00	56	GI	100	31,000,000	3100.00
 	 	 	 	57	ID	100	31,000,000	3100.00
 	 	 	 	58	DU	100	30,900,000	3090.00
 	 	 	 	59	MI	100	30,200,000	3020.00
 	 	 	 	60	JB	88	26,224,000	2980.00
 	 	 	 	61	AN	70	21,230,000	3032.86
 	 	 	 	62	PO	70	21,070,000	3010.00
 	 	 	 	63	SF	53	16,052,000	3028.68
 	 	 	 	64	MU	50	15,400,000	3080.00
 	 	 	 	65	RS	50	15,400,000	3080.00
 	 	 	 	66	SA	40	12,160,000	3040.00
 	 	 	 	67	OK	30	9,210,000	3070.00
 	 	 	 	68	AR	15	4,635,000	3090.00
