ANTMToBrokerCode	19	Start	2025-12-19	End	2025-12-19	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
AK	500,440	156,910,798,000	3135.46	1	CC	458,096	142,987,104,000	3121.33
ZP	389,752	120,518,059,000	3092.17	2	AK	383,179	119,692,795,000	3123.68
YP	322,528	101,370,153,000	3142.99	3	YP	297,887	93,296,580,000	3131.95
CC	275,982	86,573,108,000	3136.91	4	XL	252,411	79,343,514,000	3143.43
XL	199,602	62,739,653,000	3143.24	5	SQ	170,818	52,901,440,000	3096.95
SQ	107,845	34,169,946,000	3168.43	6	YU	107,904	33,247,014,000	3081.17
KZ	83,155	25,549,860,000	3072.56	7	MG	100,114	31,468,304,000	3143.25
PD	80,701	25,189,004,000	3121.28	8	BK	96,163	29,884,729,000	3107.72
XC	74,238	23,347,018,000	3144.89	9	XC	92,223	28,952,559,000	3139.41
YU	60,784	18,748,008,000	3084.37	10	PD	80,736	25,383,889,000	3144.06
TP	49,300	15,285,989,000	3100.61	11	CP	65,566	20,581,536,000	3139.06
CP	45,634	14,188,410,000	3109.18	12	ZP	63,259	19,719,939,000	3117.33
DR	41,077	12,933,501,000	3148.60	13	NI	59,341	18,677,515,000	3147.49
RX	41,774	12,872,572,000	3081.48	14	KZ	60,549	18,588,543,000	3070.00
SS	40,325	12,775,035,000	3168.02	15	LG	48,975	15,532,246,000	3171.46
EP	40,388	12,745,342,000	3155.72	16	EP	43,378	13,512,758,000	3115.12
MG	39,935	12,519,600,000	3134.99	17	HD	40,663	12,844,173,000	3158.69
KK	39,273	12,285,485,000	3128.23	18	KK	33,493	10,552,537,000	3150.67
BK	38,547	12,043,178,000	3124.28	19	AZ	30,337	9,456,060,000	3117.01
OD	33,994	10,562,054,000	3107.03	20	AT	28,307	8,928,599,000	3154.20
NI	28,889	9,004,599,000	3116.96	21	OD	25,918	8,161,183,000	3148.85
HD	26,919	8,517,536,000	3164.14	22	DR	23,476	7,375,206,000	3141.59
AT	22,935	7,171,820,000	3127.02	23	IF	16,931	5,300,458,000	3130.62
LG	14,053	4,415,691,000	3142.17	24	YJ	14,560	4,634,880,000	3183.30
AG	12,860	4,010,353,000	3118.47	25	AO	12,507	3,924,307,000	3137.69
HP	11,666	3,618,348,000	3101.62	26	YB	11,466	3,589,864,000	3130.88
AZ	10,631	3,369,987,000	3169.96	27	BQ	10,657	3,346,121,000	3139.83
GR	10,070	3,153,662,000	3131.74	28	AG	9,930	3,115,362,000	3137.32
YB	9,041	2,817,584,000	3116.45	29	GR	9,339	2,943,683,000	3152.03
DH	8,374	2,622,891,000	3132.18	30	RX	9,000	2,799,300,000	3110.33
ZR	8,108	2,537,490,000	3129.61	31	TP	8,201	2,560,766,000	3122.50
BQ	7,315	2,290,958,000	3131.86	32	LS	8,026	2,531,688,000	3154.36
BB	7,208	2,229,056,000	3092.48	33	XA	7,104	2,221,716,000	3127.42
YJ	6,513	2,049,769,000	3147.20	34	AI	6,642	2,110,735,000	3177.86
XA	6,226	1,941,972,000	3119.13	35	DH	6,259	1,973,470,000	3153.01
AO	5,981	1,873,819,000	3132.95	36	KI	5,651	1,744,015,000	3086.21
PC	4,311	1,359,826,000	3154.32	37	BR	4,465	1,393,480,000	3120.90
LS	3,855	1,198,986,000	3110.21	38	FS	3,722	1,183,032,000	3178.48
AI	3,705	1,145,041,000	3090.53	39	SS	3,200	990,100,000	3094.06
DX	2,207	686,427,000	3110.23	40	DX	2,953	936,114,000	3170.04
IF	2,176	675,353,000	3103.64	41	PC	1,917	613,405,000	3199.82
IT	2,000	623,750,000	3118.75	42	IT	1,600	509,400,000	3183.75
KI	1,535	483,740,000	3151.40	43	AD	1,587	499,905,000	3150.00
AF	1,080	332,220,000	3076.11	44	AF	1,500	481,000,000	3206.67
BR	747	231,548,000	3099.71	45	CD	1,208	385,220,000	3188.91
CD	726	225,564,000	3106.94	46	IU	1,119	353,604,000	3160.00
RS	625	192,125,000	3074.00	47	SA	1,000	320,000,000	3200.00
SH	620	189,870,000	3062.42	48	HP	1,016	317,476,000	3124.76
MI	600	184,500,000	3075.00	49	RO	760	242,100,000	3185.53
FS	569	174,181,000	3061.18	50	MI	625	196,000,000	3136.00
AH	500	158,000,000	3160.00	51	AH	500	159,500,000	3190.00
PG	450	140,150,000	3114.44	52	RF	443	141,117,000	3185.49
FZ	252	77,178,000	3062.62	53	ZR	350	110,150,000	3147.14
EL	200	64,200,000	3210.00	54	BB	261	81,432,000	3120.00
IH	200	62,200,000	3110.00	55	PG	250	79,500,000	3180.00
ID	140	43,930,000	3137.86	56	SF	234	72,548,000	3100.34
RO	120	37,150,000	3095.83	57	MU	191	60,935,000	3190.31
BS	60	18,645,000	3107.50	58	BS	150	47,950,000	3196.67
MU	50	15,615,000	3123.00	59	SH	155	47,850,000	3087.10
RB	50	15,250,000	3050.00	60	FZ	132	42,345,000	3207.95
AR	48	14,789,000	3081.04	61	IH	130	41,470,000	3190.00
RG	42	13,295,000	3165.48	62	RS	125	39,575,000	3166.00
DD	25	7,700,000	3080.00	63	PP	63	19,341,000	3070.00
OK	20	6,360,000	3180.00	64	RB	56	17,864,000	3190.00
