ANTMToBrokerCode	ANTM	Start	2025-12-05	End	2025-12-05	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
ZP	163,694	47,766,999,000	2918.07	1	BB	109,919	32,031,070,000	2914.06
CC	61,490	17,944,889,000	2918.34	2	ZP	57,395	16,722,104,000	2913.51
AK	52,522	15,335,126,000	2919.75	3	SQ	50,587	14,777,012,000	2921.11
XL	25,558	7,437,952,000	2910.22	4	CC	42,025	12,266,824,000	2918.93
YP	20,076	5,842,549,000	2910.22	5	AK	32,285	9,404,893,000	2913.08
PD	17,453	5,091,610,800	2917.29	6	YP	28,692	8,362,920,000	2914.72
XC	13,028	3,792,912,000	2911.35	7	NI	25,702	7,483,248,000	2911.54
AZ	12,167	3,558,323,000	2924.57	8	XL	21,321	6,219,799,000	2917.22
YU	10,639	3,112,642,000	2925.69	9	BK	14,332	4,185,389,000	2920.31
LG	9,059	2,635,964,000	2909.77	10	PD	12,581	3,672,469,800	2919.01
SQ	8,124	2,363,056,000	2908.73	11	XC	11,185	3,269,568,000	2923.17
BK	7,842	2,288,361,000	2918.08	12	CP	9,899	2,898,470,000	2928.04
OD	5,963	1,733,940,000	2907.83	13	OD	7,644	2,232,213,000	2920.22
NI	5,612	1,633,413,000	2910.57	14	PF	5,000	1,465,000,000	2930.00
BQ	3,961	1,154,758,000	2915.32	15	DR	4,440	1,296,417,000	2919.86
KK	3,781	1,101,149,000	2912.32	16	LG	2,940	857,045,000	2915.12
DR	3,431	999,709,000	2913.75	17	EP	2,468	720,160,000	2917.99
MG	3,255	947,105,000	2909.69	18	AO	2,000	588,000,000	2940.00
CP	2,891	844,914,000	2922.57	19	AZ	1,977	575,220,000	2909.56
EP	2,753	801,536,000	2911.50	20	BQ	1,754	512,893,000	2924.13
AT	2,415	702,928,000	2910.67	21	KK	1,746	510,573,000	2924.24
BR	2,201	644,692,000	2929.09	22	YJ	1,305	381,857,000	2926.11
YJ	2,187	636,057,000	2908.35	23	DH	1,250	364,318,000	2914.54
DH	2,137	622,879,000	2914.74	24	AT	1,160	338,325,000	2916.59
GR	1,927	560,681,000	2909.61	25	TP	1,032	300,786,000	2914.59
TP	1,756	511,195,000	2911.13	26	ES	1,000	293,000,000	2930.00
DX	1,274	370,618,000	2909.09	27	HD	935	272,591,000	2915.41
AG	1,182	344,735,000	2916.54	28	GR	873	255,062,000	2921.67
FS	1,000	293,000,000	2930.00	29	FS	518	150,774,000	2910.69
IU	1,000	292,000,000	2920.00	30	YB	466	136,356,000	2926.09
FZ	1,000	291,000,000	2910.00	31	YU	428	124,786,000	2915.56
HD	790	230,598,000	2918.96	32	MG	358	104,508,000	2919.22
CD	786	228,157,000	2902.76	33	DX	352	102,924,000	2923.98
XA	762	221,743,000	2910.01	34	KI	260	75,492,000	2903.54
AI	688	200,407,000	2912.89	35	HP	169	49,323,000	2918.52
AR	500	145,500,000	2910.00	36	IF	154	45,114,000	2929.48
IF	441	128,628,000	2916.73	37	XA	83	24,219,000	2917.95
YB	206	60,025,000	2913.83	38	KZ	80	23,280,000	2910.00
BS	200	58,200,000	2910.00	39	AI	56	16,302,000	2911.07
HP	194	56,725,000	2923.97	40	IN	40	11,640,000	2910.00
KI	131	38,119,000	2909.85	41	CD	35	10,177,000	2907.71
PC	114	33,160,000	2908.77	42	AG	20	5,840,000	2920.00
SS	100	29,000,000	2900.00	43	LS	15	4,380,000	2920.00
YO	100	29,000,000	2900.00	44	PO	10	2,900,000	2900.00
AO	94	27,260,000	2900.00	45	RO	5	1,465,000	2930.00
PG	10	2,910,000	2910.00	46	ZR	3	870,000	2900.00
LS	4	1,163,000	2907.50	47	PC	1	292,000	2920.00
ES	2	581,000	2905.00	48	 	 	 	 
