ANTMToBrokerCode	ANTM	Start	2025-12-08	End	2025-12-08	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
AK	181,346	53,522,087,000	2951.38	1	YP	70,932	21,009,348,000	2961.90
OD	88,801	26,281,952,000	2959.65	2	XL	64,926	19,196,977,000	2956.75
LG	72,192	21,427,159,000	2968.08	3	CC	60,269	17,829,938,000	2958.39
CC	42,724	12,581,539,000	2944.84	4	SQ	51,143	15,090,124,000	2950.57
BK	39,527	11,708,122,000	2962.06	5	ZP	41,368	12,210,900,000	2951.77
YU	35,063	10,361,283,000	2955.05	6	PD	28,392	8,381,874,000	2952.20
YP	22,636	6,685,935,000	2953.67	7	XC	27,326	8,086,283,000	2959.19
XL	17,359	5,118,741,000	2948.75	8	NI	27,100	8,007,364,000	2954.75
PD	13,400	3,961,573,000	2956.40	9	TP	19,384	5,749,219,000	2965.96
ZP	11,044	3,279,766,000	2969.73	10	OD	16,124	4,769,686,000	2958.13
AZ	7,334	2,164,252,000	2950.98	11	AZ	15,716	4,642,823,000	2954.20
XC	6,612	1,945,550,000	2942.45	12	BQ	14,992	4,391,642,000	2929.32
MI	5,500	1,633,500,000	2970.00	13	BK	14,745	4,351,359,000	2951.07
HD	5,152	1,525,980,000	2961.92	14	EP	14,314	4,226,687,000	2952.83
SQ	5,180	1,525,742,000	2945.45	15	AK	10,586	3,131,261,000	2957.93
NI	5,118	1,507,554,000	2945.59	16	DR	10,286	3,038,579,000	2954.09
FZ	5,000	1,485,000,000	2970.00	17	CP	10,066	2,979,580,000	2960.04
BB	4,796	1,416,126,000	2952.72	18	GR	9,434	2,797,155,000	2964.97
KK	4,309	1,271,168,000	2950.03	19	AG	9,257	2,747,934,000	2968.49
CP	3,447	1,022,726,000	2967.00	20	LG	8,041	2,369,491,000	2946.76
MG	2,270	671,817,000	2959.55	21	MG	7,323	2,169,798,000	2962.99
BR	2,000	594,000,000	2970.00	22	YU	7,008	2,073,885,000	2959.31
LS	2,008	588,359,000	2930.07	23	YJ	5,619	1,665,481,000	2964.02
RX	1,554	461,538,000	2970.00	24	KK	5,371	1,588,118,000	2956.84
DR	1,533	450,618,000	2939.45	25	PF	5,000	1,480,000,000	2960.00
SH	1,275	378,930,000	2972.00	26	CD	4,370	1,295,851,000	2965.33
EP	1,145	336,487,000	2938.75	27	AT	3,355	985,634,000	2937.81
YB	896	264,176,000	2948.39	28	BB	3,201	945,316,000	2953.19
GR	742	219,045,000	2952.09	29	ZR	3,074	909,608,000	2959.04
DH	651	192,385,000	2955.22	30	DH	3,010	892,881,000	2966.38
AT	621	182,469,000	2938.31	31	HD	2,869	848,069,000	2955.97
IF	533	155,636,000	2920.00	32	DX	2,632	776,544,000	2950.40
AG	512	149,775,000	2925.29	33	RO	2,340	691,840,000	2956.58
XA	424	125,065,000	2949.65	34	BR	2,221	650,235,000	2927.67
TP	415	122,125,000	2942.77	35	AO	2,135	627,858,000	2940.79
BQ	326	95,640,000	2933.74	36	IF	1,884	554,323,000	2942.27
AR	300	88,800,000	2960.00	37	XA	1,709	503,007,000	2943.28
KI	283	83,102,000	2936.47	38	AD	1,695	500,025,000	2950.00
DX	278	82,708,000	2975.11	39	HP	1,645	483,157,000	2937.12
AI	256	75,960,000	2967.19	40	YB	1,061	312,136,000	2941.90
AO	256	75,675,000	2956.05	41	IU	1,000	296,000,000	2960.00
SS	200	58,600,000	2930.00	42	KI	987	292,283,000	2961.33
HP	91	27,005,000	2967.58	43	AI	639	189,630,000	2967.61
ZR	74	21,904,000	2960.00	44	PC	110	32,690,000	2971.82
QA	13	3,874,000	2980.00	45	AF	100	29,700,000	2970.00
YJ	8	2,356,000	2945.00	46	SA	100	29,500,000	2950.00
PO	5	1,485,000	2970.00	47	LS	97	28,682,000	2956.91
ID	1	295,000	2950.00	48	SF	55	16,275,000	2959.09
 	 	 	 	49	RS	50	14,900,000	2980.00
 	 	 	 	50	IN	40	11,720,000	2930.00
 	 	 	 	51	SS	34	10,030,000	2950.00
 	 	 	 	52	PG	20	5,900,000	2950.00
 	 	 	 	53	QA	15	4,447,000	2964.67
 	 	 	 	54	BS	15	4,440,000	2960.00
 	 	 	 	55	PO	10	2,960,000	2960.00
 	 	 	 	56	TF	10	2,950,000	2950.00
 	 	 	 	57	ES	3	891,000	2970.00
 	 	 	 	58	SH	2	596,000	2980.00
