ANTMToBrokerCode	ANTM	Start	2026-02-10	End	2026-02-10	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
ZP	188,609	73,872,081,000	3916.68	1	CC	147,754	57,863,159,000	3916.18
CC	109,199	42,743,943,000	3914.32	2	AK	145,048	56,600,982,000	3902.22
XL	86,145	33,700,152,000	3912.03	3	ZP	129,933	50,841,496,000	3912.90
PD	78,776	30,814,976,000	3911.72	4	XL	122,267	47,918,063,000	3919.13
YP	72,340	28,226,226,000	3901.88	5	BK	102,868	40,238,499,000	3911.66
AK	62,900	24,607,595,000	3912.18	6	YP	71,022	27,875,587,000	3924.92
RX	54,735	21,535,781,000	3934.55	7	XC	51,232	20,067,391,000	3916.96
XC	45,442	17,788,615,000	3914.58	8	PD	49,736	19,461,857,000	3913.03
SQ	41,469	16,247,546,000	3918.00	9	SQ	32,136	12,600,242,000	3920.91
NI	34,344	13,447,708,000	3915.59	10	NI	30,247	11,877,984,000	3927.00
HP	31,183	12,273,218,000	3935.87	11	CP	27,344	10,725,776,000	3922.53
BB	29,804	11,667,829,000	3914.85	12	OD	22,649	8,887,410,000	3923.97
CP	27,105	10,627,700,000	3920.94	13	DR	17,027	6,652,922,000	3907.28
AG	25,323	9,948,103,000	3928.49	14	IF	15,800	6,177,386,000	3909.74
OD	24,666	9,657,061,000	3915.13	15	MG	14,402	5,666,747,000	3934.69
BK	24,035	9,390,111,000	3906.85	16	LG	14,177	5,563,095,000	3924.03
YU	16,512	6,472,236,000	3919.72	17	YU	13,572	5,318,975,000	3919.08
LG	16,086	6,302,633,000	3918.09	18	YJ	12,293	4,848,969,000	3944.50
KK	15,549	6,078,630,000	3909.34	19	TP	12,115	4,739,615,000	3912.19
MG	13,713	5,401,818,000	3939.19	20	KK	10,964	4,296,110,000	3918.38
YB	12,696	4,993,060,000	3932.78	21	GR	9,599	3,777,175,000	3934.97
IF	12,427	4,881,782,000	3928.37	22	EP	9,345	3,666,700,000	3923.70
AI	12,136	4,778,232,000	3937.24	23	AT	8,279	3,233,161,000	3905.26
DR	10,256	4,017,419,000	3917.14	24	BR	8,050	3,139,450,000	3899.94
GR	9,691	3,779,825,000	3900.35	25	AG	7,649	3,009,399,000	3934.37
AZ	8,665	3,374,972,000	3894.95	26	HD	7,344	2,875,889,000	3915.97
HD	8,223	3,220,351,000	3916.27	27	AO	7,024	2,761,384,000	3931.36
BS	7,800	3,034,200,000	3890.00	28	XA	5,284	2,074,019,000	3925.09
KI	7,521	2,969,219,000	3947.90	29	DH	5,108	2,006,436,000	3928.03
LS	7,150	2,807,337,000	3926.35	30	DX	4,856	1,897,478,000	3907.49
DX	5,732	2,239,763,000	3907.47	31	BQ	4,179	1,643,975,000	3933.90
EP	5,351	2,097,652,000	3920.11	32	AZ	3,169	1,244,923,000	3928.44
AT	5,295	2,058,179,000	3887.02	33	KI	2,908	1,143,023,000	3930.62
BR	4,800	1,865,000,000	3885.42	34	YB	2,698	1,053,317,000	3904.07
BQ	3,988	1,558,948,000	3909.10	35	RS	2,500	987,500,000	3950.00
TP	3,218	1,254,569,000	3898.60	36	AI	2,118	832,989,000	3932.90
DH	2,997	1,169,516,000	3902.29	37	HP	1,483	581,259,000	3919.48
RS	2,500	975,000,000	3900.00	38	LS	1,388	543,056,000	3912.51
CD	2,249	886,853,000	3943.32	39	CD	1,169	457,611,000	3914.55
AO	2,258	884,620,000	3917.71	40	ZR	1,000	395,000,000	3950.00
XA	1,654	646,153,000	3906.61	41	SF	700	272,900,000	3898.57
DD	1,000	389,100,000	3891.00	42	AD	525	207,375,000	3950.00
KZ	953	375,482,000	3940.00	43	ID	210	82,240,000	3916.19
PC	954	375,219,000	3933.11	44	RO	200	78,788,000	3939.40
ZR	870	338,490,000	3890.69	45	GI	200	78,600,000	3930.00
AH	700	276,500,000	3950.00	46	FZ	200	78,000,000	3900.00
SH	540	210,550,000	3899.07	47	TF	120	46,800,000	3900.00
ID	240	93,520,000	3896.67	48	ES	100	39,500,000	3950.00
FZ	200	78,000,000	3900.00	49	AF	100	39,300,000	3930.00
RO	146	57,544,000	3941.37	50	BS	93	36,664,000	3942.37
SF	103	40,167,000	3899.71	51	PC	62	24,180,000	3900.00
YJ	75	29,228,000	3897.07	52	FS	60	23,580,000	3930.00
RG	62	24,356,000	3928.39	53	SH	46	17,924,000	3896.52
QA	8	3,145,000	3931.25	54	IC	20	7,820,000	3910.00
SS	5	1,945,000	3890.00	55	IU	10	3,940,000	3940.00
IU	1	390,000	3900.00	56	PO	10	3,890,000	3890.00
 	 	 	 	57	QA	3	1,176,000	3920.00
 	 	 	 	58	RG	3	1,173,000	3910.00
 	 	 	 	59	IH	1	389,000	3890.00
