ANTMToBrokerCode	ANTM	Start	2026-02-12	End	2026-02-12	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
CC	254,387	104,934,200,000	4124.98	1	XL	271,003	112,204,163,000	4140.33
AK	255,442	104,656,220,000	4097.06	2	CC	256,084	105,157,460,000	4106.37
PD	235,199	96,613,459,000	4107.73	3	AK	251,776	103,396,046,000	4106.67
XL	220,685	91,279,943,000	4136.21	4	ZP	195,116	79,861,706,000	4093.04
YP	181,659	75,029,086,000	4130.22	5	YP	157,324	64,959,334,000	4129.02
BB	106,057	43,168,164,000	4070.28	6	BK	115,409	46,728,347,000	4048.93
YU	92,428	37,648,878,000	4073.32	7	XC	95,831	39,603,953,000	4132.69
XC	85,820	35,413,530,000	4126.49	8	MG	87,716	35,949,843,000	4098.44
MG	78,842	32,243,953,000	4089.69	9	YU	77,393	31,834,186,000	4113.32
NI	75,538	30,739,018,000	4069.34	10	PD	73,751	30,257,354,000	4102.64
AZ	59,355	24,522,621,000	4131.52	11	SQ	72,092	29,852,416,000	4140.88
GR	54,631	22,647,955,000	4145.62	12	NI	71,738	29,491,913,000	4111.06
SS	50,020	20,901,684,000	4178.67	13	LG	53,453	21,805,403,000	4079.36
EP	49,330	20,444,012,000	4144.34	14	DX	46,220	18,970,998,000	4104.50
ZP	49,225	20,171,265,000	4097.77	15	CP	39,859	16,565,826,000	4156.11
CP	42,894	17,780,424,000	4145.20	16	OD	32,715	13,513,430,000	4130.65
SQ	35,600	14,597,643,000	4100.46	17	TP	32,454	13,203,664,000	4068.42
KK	32,108	13,193,890,000	4109.22	18	DR	31,010	12,804,924,000	4129.29
LG	28,406	11,650,977,000	4101.59	19	HD	30,643	12,750,099,000	4160.85
BQ	27,561	11,443,462,000	4152.05	20	KK	29,501	12,125,678,000	4110.26
HD	27,674	11,402,135,000	4120.16	21	BQ	24,628	10,236,535,000	4156.46
AG	27,437	11,392,535,000	4152.25	22	GR	23,222	9,651,601,000	4156.23
DR	23,447	9,640,346,000	4111.55	23	FS	21,100	8,768,600,000	4155.73
OD	22,549	9,320,599,000	4133.49	24	AT	21,027	8,712,068,000	4143.28
BK	16,624	6,760,905,000	4066.95	25	EP	13,959	5,735,332,000	4108.70
AT	15,329	6,374,845,000	4158.68	26	IF	12,675	5,217,288,000	4116.20
KZ	14,131	5,732,432,000	4056.64	27	XA	11,413	4,780,371,000	4188.53
YB	13,769	5,692,757,000	4134.47	28	DH	10,511	4,330,735,000	4120.19
ZR	10,137	4,170,677,000	4114.31	29	AZ	10,605	4,328,462,000	4081.53
LS	8,749	3,582,491,000	4094.74	30	ZR	9,887	4,051,088,000	4097.39
XA	8,134	3,372,478,000	4146.15	31	AG	7,494	3,119,252,000	4162.33
DH	7,593	3,143,049,000	4139.40	32	KI	6,983	2,929,719,000	4195.50
BR	6,120	2,537,840,000	4146.80	33	LS	6,872	2,826,163,000	4112.58
BS	5,435	2,263,030,000	4163.81	34	YB	6,791	2,820,838,000	4153.79
TP	5,582	2,256,447,000	4042.36	35	AI	6,753	2,778,686,000	4114.74
IF	5,237	2,130,129,000	4067.46	36	BB	6,000	2,440,104,000	4066.84
AI	4,580	1,884,988,000	4115.69	37	BR	5,548	2,243,647,000	4044.06
KI	3,805	1,541,463,000	4051.15	38	PF	5,005	2,127,005,000	4249.76
HP	1,617	664,685,000	4110.61	39	AO	3,325	1,369,448,000	4118.64
DX	1,541	646,158,000	4193.11	40	ES	2,623	1,097,835,000	4185.42
FS	1,575	640,900,000	4069.21	41	SS	2,400	992,900,000	4137.08
YJ	1,406	577,101,000	4104.56	42	HP	1,793	740,386,000	4129.31
AO	1,387	566,781,000	4086.38	43	YJ	1,682	697,975,000	4149.67
ES	1,102	457,918,000	4155.34	44	FZ	1,593	668,494,000	4196.45
PG	1,030	424,050,000	4116.99	45	CD	1,259	506,840,000	4025.73
PC	923	372,049,000	4030.87	46	PC	990	404,394,000	4084.79
SF	630	258,260,000	4099.37	47	RX	861	349,631,000	4060.75
CD	223	91,811,000	4117.09	48	SF	626	259,750,000	4149.36
IU	188	78,242,000	4161.81	49	RS	591	242,710,000	4106.77
FZ	150	60,650,000	4043.33	50	AF	580	235,510,000	4060.52
SH	80	32,320,000	4040.00	51	SH	500	212,500,000	4250.00
QA	51	20,590,000	4037.25	52	SA	400	168,800,000	4220.00
RG	50	20,530,000	4106.00	53	AR	397	166,667,000	4198.16
ID	50	20,050,000	4010.00	54	GI	400	165,100,000	4127.50
RS	30	12,510,000	4170.00	55	IT	300	125,500,000	4183.33
RB	9	3,627,000	4030.00	56	OK	300	122,700,000	4090.00
 	 	 	 	57	RO	250	101,750,000	4070.00
 	 	 	 	58	PP	234	96,408,000	4120.00
