ANTMToBrokerCode	ANTM	Start	2026-02-03	End	2026-02-03	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
AK	223,135	87,480,359,000	3920.51	1	AK	411,737	161,595,812,000	3924.73
XL	222,647	87,399,922,000	3925.49	2	CC	350,649	137,825,325,000	3930.58
CC	188,938	73,967,001,000	3914.88	3	BK	269,940	105,914,344,000	3923.63
BB	181,203	71,603,431,000	3951.56	4	XL	163,859	64,337,693,000	3926.41
PD	132,194	51,817,645,000	3919.82	5	YP	127,420	50,009,572,000	3924.78
BK	95,971	37,688,866,000	3927.11	6	ZP	96,607	37,933,797,000	3926.61
YU	94,458	37,251,430,000	3943.70	7	PD	73,151	28,828,137,000	3940.91
YP	87,309	34,258,424,000	3923.81	8	SQ	53,408	21,046,099,000	3940.63
NI	78,891	31,010,384,000	3930.79	9	MG	45,283	17,777,591,000	3925.89
LG	61,486	24,203,106,000	3936.36	10	XC	40,217	15,841,482,000	3939.00
MG	59,906	23,564,552,000	3933.59	11	AZ	39,414	15,482,375,000	3928.14
AZ	55,023	21,688,252,000	3941.67	12	YU	39,298	15,461,334,000	3934.38
XC	45,774	17,982,262,000	3928.49	13	NI	32,532	12,810,134,000	3937.70
OD	45,022	17,638,343,000	3917.72	14	CP	28,930	11,406,035,000	3942.63
GR	43,689	17,275,715,000	3954.25	15	OD	25,507	10,056,345,000	3942.58
SQ	42,540	16,682,164,000	3921.52	16	KK	25,254	9,924,677,000	3929.94
ZP	40,658	15,984,763,000	3931.52	17	HD	23,795	9,341,203,000	3925.70
CP	40,171	15,771,436,000	3926.08	18	BB	21,756	8,517,001,000	3914.78
KK	38,582	15,135,546,000	3922.96	19	DR	21,464	8,459,982,000	3941.48
DR	25,359	9,930,941,000	3916.14	20	GR	17,216	6,709,371,000	3897.17
HD	24,525	9,629,580,000	3926.43	21	BQ	13,005	5,121,403,000	3938.03
DX	21,768	8,574,694,000	3939.13	22	IF	10,977	4,322,995,000	3938.23
BQ	17,665	6,939,622,000	3928.46	23	YJ	10,289	4,092,200,000	3977.26
AG	16,522	6,516,767,000	3944.30	24	AI	9,419	3,692,837,000	3920.63
AI	14,301	5,642,319,000	3945.40	25	XA	9,343	3,654,861,000	3911.87
EP	14,246	5,588,786,000	3923.06	26	DH	9,181	3,613,122,000	3935.43
IF	13,807	5,459,794,000	3954.37	27	EP	7,956	3,138,791,000	3945.19
DH	12,496	4,904,464,000	3924.83	28	LG	6,931	2,725,687,000	3932.60
XA	12,189	4,793,223,000	3932.42	29	AO	6,570	2,587,900,000	3938.96
KZ	10,368	4,075,628,000	3930.97	30	LS	5,697	2,244,520,000	3939.83
TP	8,178	3,221,276,000	3938.95	31	TP	4,958	1,952,928,000	3938.94
AT	7,110	2,793,123,000	3928.44	32	AT	4,919	1,940,698,000	3945.31
YB	6,801	2,656,300,000	3905.75	33	YB	4,130	1,628,429,000	3942.93
AO	6,779	2,649,757,000	3908.77	34	KI	3,650	1,437,251,000	3937.67
LS	6,642	2,603,574,000	3919.86	35	AG	3,593	1,410,806,000	3926.54
BR	6,598	2,577,486,000	3906.47	36	CD	2,182	856,732,000	3926.36
IN	5,145	2,017,375,000	3921.04	37	BR	1,903	740,746,000	3892.52
YJ	4,850	1,901,993,000	3921.64	38	ES	1,825	722,676,000	3959.87
KI	4,678	1,839,698,000	3932.66	39	HP	1,728	678,743,000	3927.91
CD	2,870	1,128,174,000	3930.92	40	AF	1,300	517,700,000	3982.31
FS	2,105	805,535,000	3826.77	41	DX	1,255	493,248,000	3930.26
ES	1,803	701,785,000	3892.32	42	RX	806	316,758,000	3930.00
SF	1,516	595,756,000	3929.79	43	IT	800	316,300,000	3953.75
DD	1,025	404,600,000	3947.32	44	PG	627	246,625,000	3933.41
SH	1,010	393,970,000	3900.69	45	GI	400	158,200,000	3955.00
HP	1,001	391,983,000	3915.91	46	ZR	300	118,400,000	3946.67
PG	600	235,800,000	3930.00	47	RO	235	92,355,000	3930.00
GI	401	154,195,000	3845.26	48	FZ	200	80,000,000	4000.00
ZR	360	140,500,000	3902.78	49	QA	106	41,853,000	3948.40
RO	319	125,832,000	3944.58	50	ID	85	33,915,000	3990.00
BF	250	97,750,000	3910.00	51	FS	70	27,650,000	3950.00
GA	200	78,800,000	3940.00	52	RG	36	14,180,000	3938.89
MI	150	58,950,000	3930.00	53	TF	27	10,464,000	3875.56
SS	110	42,925,000	3902.27	54	BS	10	3,930,000	3930.00
RF	100	39,400,000	3940.00	55	SH	10	3,900,000	3900.00
EL	100	39,400,000	3940.00	56	PC	7	2,759,000	3941.43
AH	100	39,000,000	3900.00	57	DU	5	2,007,000	4014.00
AF	100	38,200,000	3820.00	58	JB	2	783,000	3915.00
RG	34	13,356,000	3928.24	59	 	 	 	 
PP	32	12,576,000	3930.00	60	 	 	 	 
PC	28	10,943,000	3908.21	61	 	 	 	 
QA	21	8,171,000	3890.95	62	 	 	 	 
DU	20	7,850,000	3925.00	63	 	 	 	 
TF	20	7,840,000	3920.00	64	 	 	 	 
OK	20	7,740,000	3870.00	65	 	 	 	 
MU	15	5,867,000	3911.33	66	 	 	 	 
IU	12	4,716,000	3930.00	67	 	 	 	 
JB	11	4,399,000	3999.09	68	 	 	 	 
PF	10	3,920,000	3920.00	69	 	 	 	 
RB	7	2,727,000	3895.71	70	 	 	 	 
