ANTMToBrokerCode	ANTM	Start	2026-01-02	End	2026-01-02	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
PD	103,423	33,136,886,000	3204.02	1	YP	105,792	33,914,688,000	3205.79
ZP	86,140	27,637,979,000	3208.50	2	CC	101,503	32,513,044,000	3203.16
BK	57,941	18,584,129,000	3207.42	3	XL	93,311	29,876,012,000	3201.77
XL	57,778	18,523,504,000	3205.98	4	BK	73,992	23,687,613,000	3201.37
YP	51,217	16,411,891,000	3204.38	5	AK	73,093	23,415,790,000	3203.56
CC	49,319	15,796,370,000	3202.90	6	LG	46,293	14,776,251,000	3191.90
AK	43,750	14,033,792,000	3207.72	7	PD	32,407	10,377,174,000	3202.14
GR	41,051	13,109,467,000	3193.46	8	CP	31,962	10,237,132,000	3202.91
YU	35,471	11,370,274,000	3205.51	9	XC	31,763	10,176,782,000	3203.97
MG	29,620	9,472,990,000	3198.17	10	MG	24,895	7,978,793,000	3204.98
LG	28,411	9,069,394,000	3192.21	11	NI	16,231	5,183,295,000	3193.45
RX	27,000	8,603,040,000	3186.31	12	AZ	16,134	5,156,492,000	3196.04
BB	22,599	7,254,800,000	3210.23	13	OD	15,024	4,801,460,000	3195.86
XC	21,244	6,790,701,000	3196.53	14	EP	13,985	4,468,433,000	3195.16
DH	17,177	5,477,815,000	3189.04	15	KK	12,082	3,866,936,000	3200.58
CP	15,015	4,795,763,000	3193.98	16	DR	11,578	3,705,182,000	3200.19
NI	14,404	4,607,142,000	3198.52	17	DX	10,885	3,490,439,000	3206.65
AZ	13,197	4,230,938,000	3205.98	18	IH	10,500	3,370,500,000	3210.00
IF	10,276	3,285,335,000	3197.10	19	SQ	8,595	2,757,790,000	3208.60
KK	9,034	2,893,306,000	3202.69	20	AT	7,554	2,426,873,000	3212.70
HD	8,381	2,678,216,000	3195.58	21	HD	6,737	2,158,067,000	3203.31
DX	7,306	2,338,280,000	3200.49	22	ZP	6,413	2,054,248,000	3203.26
AT	7,300	2,328,991,000	3190.40	23	BQ	6,230	1,987,843,000	3190.76
DR	6,536	2,090,675,000	3198.71	24	YB	5,483	1,755,053,000	3200.90
SQ	6,294	2,014,393,000	3200.50	25	KZ	5,160	1,656,386,000	3210.05
EP	5,290	1,694,815,000	3203.81	26	TP	4,603	1,477,193,000	3209.20
BQ	5,046	1,618,719,000	3207.93	27	XA	3,988	1,281,328,000	3212.96
OD	4,190	1,340,660,000	3199.67	28	LS	3,796	1,219,471,000	3212.52
YB	4,175	1,334,609,000	3196.67	29	YU	3,755	1,203,021,000	3203.78
TP	3,672	1,179,424,000	3211.94	30	IF	3,596	1,151,958,000	3203.44
AI	2,466	789,125,000	3200.02	31	BS	3,500	1,116,500,000	3190.00
XA	2,428	777,051,000	3200.37	32	GR	2,915	934,246,000	3204.96
AO	2,060	661,270,000	3210.05	33	AG	1,848	593,066,000	3209.23
HP	1,562	500,075,000	3201.50	34	KI	1,767	568,394,000	3216.72
AG	1,121	355,447,000	3170.80	35	AI	1,742	556,943,000	3197.15
YJ	1,025	329,225,000	3211.95	36	QA	1,500	483,000,000	3220.00
ZR	1,017	326,442,000	3209.85	37	DH	1,067	342,267,000	3207.75
LS	1,018	325,258,000	3195.07	38	CD	1,071	341,850,000	3191.88
KZ	710	227,729,000	3207.45	39	ZR	1,000	321,000,000	3210.00
KI	615	197,315,000	3208.37	40	MU	908	290,560,000	3200.00
SH	500	160,000,000	3200.00	41	YJ	693	222,683,000	3213.32
BR	200	64,000,000	3200.00	42	HP	565	181,231,000	3207.63
CD	41	13,201,000	3219.76	43	IT	500	160,000,000	3200.00
FS	18	5,760,000	3200.00	44	SH	229	73,053,000	3190.09
SF	18	5,742,000	3190.00	45	FS	110	35,200,000	3200.00
JB	11	3,487,000	3170.00	46	ES	60	19,320,000	3220.00
DU	7	2,231,000	3187.14	47	RG	50	16,100,000	3220.00
TF	5	1,605,000	3210.00	48	AF	50	16,050,000	3210.00
IT	5	1,595,000	3190.00	49	AO	47	15,049,000	3201.91
ES	1	317,000	3170.00	50	SF	39	12,480,000	3200.00
 	 	 	 	51	SS	32	10,272,000	3210.00
 	 	 	 	52	OK	30	9,600,000	3200.00
 	 	 	 	53	JB	11	3,531,000	3210.00
 	 	 	 	54	PC	6	1,926,000	3210.00
 	 	 	 	55	EL	4	1,286,000	3215.00
 	 	 	 	56	TF	1	319,000	3190.00
