ANTMToBrokerCode	ANTM	Start	2025-11-25	End	2025-11-25	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
PD	191,651	57,450,838,000	2997.68	1	ZP	141,245	42,181,442,000	2986.40
BK	186,481	55,922,402,000	2998.83	2	CC	127,474	38,240,617,000	2999.88
CC	108,651	32,514,717,000	2992.58	3	YP	116,145	34,712,416,000	2988.71
AK	72,766	21,726,174,000	2985.76	4	XL	95,218	28,570,651,000	3000.55
BB	62,567	18,818,519,000	3007.74	5	RX	72,693	21,515,294,000	2959.75
YP	53,902	16,084,203,000	2983.97	6	XC	42,078	12,611,890,000	2997.26
AZ	47,573	14,189,425,000	2982.66	7	SQ	40,200	12,119,060,000	3014.69
XL	37,658	11,248,905,000	2987.12	8	NI	29,476	8,809,185,000	2988.60
XC	20,298	6,063,564,000	2987.27	9	PD	29,171	8,756,051,000	3001.63
ZP	17,907	5,315,736,000	2968.52	10	GR	28,761	8,663,353,000	3012.19
OD	17,252	5,168,786,000	2996.05	11	KK	22,373	6,685,905,000	2988.38
MG	15,460	4,616,475,000	2986.08	12	TP	21,435	6,378,774,000	2975.87
SQ	14,617	4,364,885,000	2986.17	13	OD	16,757	5,030,205,000	3001.85
LG	13,262	3,930,625,000	2963.83	14	AZ	15,857	4,732,776,000	2984.66
NI	11,890	3,548,291,000	2984.26	15	MG	15,223	4,610,824,000	3028.85
IH	10,000	3,030,000,000	3030.00	16	BK	14,692	4,400,264,000	2995.01
CP	9,938	2,976,810,000	2995.38	17	AK	14,702	4,366,338,000	2969.89
RX	9,186	2,759,048,000	3003.54	18	LG	14,267	4,282,053,000	3001.37
EP	9,025	2,688,911,000	2979.40	19	DR	14,117	4,243,880,000	3006.22
HD	6,837	2,039,400,000	2982.89	20	BQ	10,210	3,047,457,000	2984.78
DR	5,659	1,688,458,000	2983.67	21	EP	10,063	3,022,932,000	3004.01
ZR	4,100	1,240,000,000	3024.39	22	YU	7,489	2,243,285,000	2995.44
AI	3,858	1,158,054,000	3001.70	23	CP	6,842	2,046,735,000	2991.43
FS	3,500	1,036,000,000	2960.00	24	HD	5,811	1,743,800,000	3000.86
GR	3,347	998,280,000	2982.61	25	AG	5,807	1,733,372,000	2984.97
BR	3,050	915,630,000	3002.07	26	DX	5,255	1,584,666,000	3015.54
KK	2,660	795,575,000	2990.88	27	HP	5,233	1,579,993,000	3019.29
AG	2,587	768,672,000	2971.29	28	PF	5,000	1,510,000,000	3020.00
YB	2,411	719,119,000	2982.66	29	ZR	4,100	1,234,500,000	3010.98
HP	2,177	655,983,000	3013.24	30	YJ	3,666	1,096,567,000	2991.18
YJ	1,881	561,065,000	2982.80	31	DH	3,651	1,090,639,000	2987.23
DH	1,697	502,877,000	2963.33	32	AI	2,871	865,653,000	3015.16
XA	1,674	501,966,000	2998.60	33	AT	2,678	806,487,000	3011.53
YU	1,672	501,567,000	2999.80	34	KI	2,406	715,410,000	2973.44
ES	1,010	305,000,000	3019.80	35	AO	2,150	647,145,000	3009.98
IU	1,000	302,000,000	3020.00	36	YB	1,713	513,034,000	2994.94
KZ	787	236,100,000	3000.00	37	LS	1,644	493,975,000	3004.71
TP	769	228,156,000	2966.92	38	IT	1,300	391,500,000	3011.54
BQ	664	199,438,000	3003.58	39	PC	1,057	313,968,000	2970.37
DX	611	181,582,000	2971.88	40	BS	1,053	310,082,000	2944.75
AT	457	135,796,000	2971.47	41	XA	761	229,915,000	3021.22
IF	435	130,069,000	2990.09	42	ES	583	175,740,000	3014.41
AO	401	121,299,000	3024.91	43	SF	500	148,500,000	2970.00
AH	370	109,150,000	2950.00	44	PP	288	86,400,000	3000.00
QA	330	97,590,000	2957.27	45	CD	202	60,868,000	3013.27
LS	175	52,621,000	3006.91	46	IF	191	57,169,000	2993.14
KI	162	48,271,000	2979.69	47	RG	114	34,200,000	3000.00
SF	162	47,952,000	2960.00	48	ID	104	31,416,000	3020.77
ID	100	30,300,000	3030.00	49	MI	100	29,900,000	2990.00
DD	100	30,200,000	3020.00	50	PO	57	16,976,000	2978.25
IN	40	12,000,000	3000.00	51	FS	5	1,500,000	3000.00
PC	11	3,297,000	2997.27	52	RO	1	301,000	3010.00
BS	5	1,500,000	3000.00	53	 	 	 	 
PO	3	897,000	2990.00	54	 	 	 	 
CD	2	590,000	2950.00	55	 	 	 	 
JB	1	295,000	2950.00	56	 	 	 	 
