ANTMToBrokerCode	ANTM	Start	2025-11-06	End	2025-11-06	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XL	89,922	26,460,920,000	2942.65	1	ZP	232,226	68,272,122,000	2939.90
YP	87,637	25,778,659,000	2941.53	2	AK	70,661	20,821,556,000	2946.68
AK	82,273	24,240,295,000	2946.32	3	CC	65,981	19,466,384,000	2950.30
CC	63,299	18,617,993,000	2941.28	4	YP	58,596	17,239,725,000	2942.13
XC	51,623	15,189,234,000	2942.34	5	KZ	52,519	15,470,570,000	2945.71
BK	40,033	11,758,948,000	2937.31	6	BK	33,538	9,859,621,000	2939.84
PD	35,483	10,436,971,000	2941.40	7	LG	29,339	8,621,378,000	2938.54
SQ	33,923	9,972,913,000	2939.87	8	PD	28,953	8,522,560,000	2943.58
DR	26,278	7,764,961,000	2954.93	9	XL	23,173	6,824,127,000	2944.86
AF	20,200	5,978,600,000	2959.70	10	KK	19,602	5,766,222,000	2941.65
OD	19,590	5,769,032,000	2944.89	11	XC	18,739	5,515,215,000	2943.17
KZ	18,890	5,548,540,000	2937.29	12	OD	17,724	5,213,810,000	2941.67
NI	18,246	5,361,836,000	2938.64	13	MG	10,136	2,980,055,000	2940.07
AZ	16,820	4,962,685,000	2950.47	14	NI	7,126	2,097,868,000	2943.96
GR	14,911	4,389,295,000	2943.66	15	DR	6,373	1,875,989,000	2943.65
CP	12,069	3,547,136,000	2939.05	16	DH	5,595	1,665,338,000	2976.48
YU	11,847	3,490,870,000	2946.63	17	EP	5,538	1,628,145,000	2939.95
EP	10,995	3,240,966,000	2947.67	18	YU	5,400	1,595,807,000	2955.20
KK	10,136	2,988,338,000	2948.24	19	AZ	5,089	1,498,070,000	2943.74
TP	8,368	2,457,611,000	2936.92	20	ES	5,005	1,471,460,000	2939.98
BQ	6,950	2,042,388,000	2938.69	21	SQ	4,637	1,366,085,000	2946.05
QA	5,901	1,739,458,000	2947.73	22	CP	4,372	1,290,248,000	2951.16
DH	4,787	1,405,655,000	2936.40	23	GR	3,813	1,118,035,000	2932.17
LG	4,770	1,403,235,000	2941.79	24	AT	3,396	995,760,000	2932.16
ZP	4,368	1,285,936,000	2943.99	25	AG	2,606	772,776,000	2965.37
KI	4,267	1,252,334,000	2934.93	26	BQ	2,609	767,667,000	2942.38
YJ	3,573	1,050,203,000	2939.28	27	DX	1,220	358,695,000	2940.12
AI	3,086	907,599,000	2941.02	28	HD	1,065	314,873,000	2956.55
DX	2,231	656,456,000	2942.43	29	YB	611	179,785,000	2942.47
HP	1,524	448,501,000	2942.92	30	AI	561	165,714,000	2953.90
AG	1,353	397,551,000	2938.29	31	TP	550	162,200,000	2949.09
MG	1,276	379,136,000	2971.29	32	FS	500	148,000,000	2960.00
YB	1,279	376,041,000	2940.12	33	IN	500	146,000,000	2920.00
LS	1,154	338,128,000	2930.05	34	XA	462	136,170,000	2947.40
XA	1,143	335,293,000	2933.45	35	DP	438	128,334,000	2930.00
HD	1,088	321,297,000	2953.10	36	YJ	400	117,300,000	2932.50
AT	1,090	320,554,000	2940.86	37	KI	356	104,697,000	2940.93
RS	1,075	314,975,000	2930.00	38	BR	250	73,250,000	2930.00
ZR	1,050	307,700,000	2930.48	39	HP	211	62,201,000	2947.91
SF	1,010	296,441,000	2935.06	40	IF	107	31,565,000	2950.00
BF	1,000	294,000,000	2940.00	41	SH	30	8,820,000	2940.00
CD	655	192,623,000	2940.81	42	AR	20	5,900,000	2950.00
FS	642	188,606,000	2937.79	43	AO	18	5,302,000	2945.56
IF	414	121,447,000	2933.50	44	RG	10	2,950,000	2950.00
AO	412	121,030,000	2937.62	45	RO	6	1,782,000	2970.00
BB	260	76,580,000	2945.38	46	SF	2	588,000	2940.00
MU	202	59,202,000	2930.79	47	IH	2	588,000	2940.00
IT	150	43,970,000	2931.33	48	ZR	1	295,000	2950.00
RG	131	38,860,000	2966.41	49	 	 	 	 
ID	130	38,190,000	2937.69	50	 	 	 	 
GI	100	29,500,000	2950.00	51	 	 	 	 
IU	100	29,350,000	2935.00	52	 	 	 	 
RO	74	21,842,000	2951.62	53	 	 	 	 
PC	57	16,703,000	2930.35	54	 	 	 	 
RF	50	14,700,000	2940.00	55	 	 	 	 
OK	50	14,650,000	2930.00	56	 	 	 	 
ES	46	13,500,000	2934.78	57	 	 	 	 
SH	30	8,880,000	2960.00	58	 	 	 	 
JB	23	6,802,000	2957.39	59	 	 	 	 
FO	10	2,965,000	2965.00	60	 	 	 	 
PO	10	2,930,000	2930.00	61	 	 	 	 
BS	1	295,000	2950.00	62	 	 	 	 
AN	1	293,000	2930.00	63	 	 	 	 
