ANTMToBrokerCode	ANTM	Start	2025-10-08	End	2025-10-08	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
YP	465,918	153,207,007,000	3288.28	1	YP	428,212	140,565,882,000	3282.62
AK	381,485	124,991,029,430	3276.43	2	CC	414,440	135,682,624,000	3273.88
XL	284,031	93,460,712,000	3290.51	3	XL	312,680	102,492,317,000	3277.87
CC	282,334	92,493,481,000	3276.03	4	AK	302,137	99,187,302,430	3282.86
ZP	269,848	87,606,448,000	3246.51	5	ZP	138,310	45,402,189,000	3282.64
MG	177,024	58,222,348,000	3288.95	6	PD	134,809	44,201,586,000	3278.83
PD	140,338	46,235,847,000	3294.61	7	MG	133,074	43,808,876,000	3292.07
LG	107,213	35,386,060,000	3300.54	8	XC	130,131	42,494,653,000	3265.53
EP	91,929	30,465,050,000	3313.98	9	YU	111,375	36,485,773,940	3275.93
BK	89,481	29,160,445,000	3258.84	10	CP	94,700	31,152,869,000	3289.64
CP	80,401	26,399,157,000	3283.44	11	NI	87,592	28,710,296,000	3277.73
KK	74,327	24,357,763,000	3277.11	12	OD	78,383	25,711,286,000	3280.21
XC	66,716	21,979,458,000	3294.48	13	DR	75,444	24,531,931,000	3251.67
GR	52,935	17,220,545,000	3253.15	14	SQ	69,412	22,804,846,000	3285.43
NI	48,860	16,060,877,000	3287.12	15	BK	69,042	22,636,606,000	3278.67
YU	46,170	15,134,874,940	3278.06	16	GR	45,379	14,874,937,000	3277.93
HD	40,625	13,332,293,000	3281.80	17	KK	41,123	13,444,264,000	3269.28
DR	40,737	13,331,454,000	3272.57	18	HD	40,510	13,335,103,000	3291.81
SQ	36,616	12,036,091,000	3287.11	19	AI	36,978	12,216,125,000	3303.62
YB	35,682	11,741,724,000	3290.66	20	LG	30,937	10,220,088,000	3303.52
OD	32,946	10,767,394,000	3268.19	21	EP	25,821	8,508,128,000	3295.04
IF	27,797	9,231,214,000	3320.94	22	YB	20,876	6,943,469,000	3326.05
AZ	18,158	5,896,568,000	3247.37	23	XA	19,864	6,583,628,000	3314.35
BQ	15,165	4,991,068,000	3291.18	24	AG	18,544	6,073,753,000	3275.32
AO	14,768	4,904,916,000	3321.31	25	BQ	17,186	5,681,867,000	3306.10
AT	14,385	4,719,126,000	3280.59	26	AZ	17,092	5,570,286,000	3259.00
DH	11,912	3,890,879,000	3266.35	27	DH	16,763	5,484,431,000	3271.75
