ANTMToBrokerCode	ANTM	Start	2025-09-03	End	2025-09-03	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
CC	611,438	211,014,394,000	3451.12	1	AK	753,413	260,959,504,000	3463.70
YP	586,017	203,697,176,000	3475.96	2	YP	550,605	190,698,721,000	3463.44
XL	279,167	97,050,650,000	3476.44	3	CC	330,086	114,516,204,000	3469.28
BK	222,249	76,517,239,000	3442.86	4	XL	319,987	110,225,931,000	3444.70
XC	192,887	67,393,345,000	3493.93	5	CP	223,991	77,472,090,000	3458.71
CP	189,659	65,827,841,000	3470.85	6	MG	209,764	73,151,504,000	3487.32
AK	167,650	57,559,461,000	3433.31	7	PD	160,708	55,510,165,000	3454.10
PD	162,860	56,182,887,000	3449.77	8	XC	145,676	50,283,245,000	3451.72
SQ	151,287	52,541,217,000	3472.95	9	ZP	140,009	48,358,620,000	3453.97
ZP	137,545	47,548,708,000	3456.96	10	BK	121,865	42,187,523,000	3461.82
YB	122,805	42,523,969,000	3462.72	11	YU	104,318	35,734,958,000	3425.58
KK	122,323	42,246,382,000	3453.67	12	KK	89,824	31,154,283,000	3468.37
YU	118,674	40,862,138,000	3443.23	13	DR	85,092	29,751,975,000	3496.45
MG	118,696	40,453,354,000	3408.15	14	NI	69,689	24,059,938,000	3452.47
NI	88,591	30,677,239,000	3462.79	15	SQ	62,295	21,470,820,000	3446.64
GR	74,084	25,680,989,000	3466.47	16	OD	55,273	19,216,283,000	3476.61
DR	72,637	25,105,774,000	3456.33	17	GR	54,410	18,696,492,000	3436.22
OD	64,037	22,349,607,000	3490.11	18	DX	42,364	14,523,281,000	3428.21
HD	48,098	16,667,782,000	3465.38	19	HD	37,858	13,205,360,000	3488.13
LG	40,446	14,036,181,000	3470.35	20	BQ	37,551	12,960,706,000	3451.49
BB	39,258	13,603,580,000	3465.17	21	DH	32,918	11,418,265,000	3468.70
BQ	39,250	13,536,460,000	3448.78	22	EP	29,910	10,405,384,000	3478.90
DH	31,006	10,649,348,000	3434.61	23	AZ	30,104	10,391,504,000	3451.87
DX	29,851	10,270,611,000	3440.63	24	TP	28,460	9,849,479,000	3460.81
AG	28,927	10,199,707,000	3526.02	25	AF	24,609	8,474,914,000	3443.83
EP	21,866	7,595,229,000	3473.53	26	YB	22,285	7,764,049,000	3483.98
SS	20,000	6,880,000,000	3440.00	27	AI	19,279	6,619,625,000	3433.59
AZ	19,269	6,719,290,000	3487.10	28	ES	14,950	5,168,300,000	3457.06
XA	16,347	5,681,923,000	3475.82	29	KI	11,104	3,861,644,000	3477.71
HP	13,455	4,714,056,000	3503.57	30	LS	11,192	3,833,010,000	3424.78
AI	12,119	4,204,624,000	3469.45	31	LG	10,265	3,554,277,000	3462.52
AO	12,007	4,159,086,000	3463.88	32	AT	9,403	3,289,007,000	3497.83
TP	11,951	4,114,502,000	3442.81	33	AO	8,674	2,985,364,000	3441.74
AT	11,033	3,839,709,000	3480.20	34	HP	8,174	2,863,161,000	3502.77
KI	8,602	2,998,565,000	3485.89	35	XA	7,273	2,505,256,000	3444.60
YJ	7,353	2,533,701,000	3445.81	36	PC	7,017	2,398,966,000	3418.79
ZR	5,022	1,753,598,000	3491.83	37	YJ	6,731	2,355,270,000	3499.14
CD	4,635	1,621,207,000	3497.75	38	AR	5,535	1,961,220,000	3543.31
FS	4,415	1,501,495,000	3400.89	39	ZR	5,212	1,807,644,000	3468.23
BR	3,770	1,305,574,000	3463.06	40	BR	5,026	1,731,050,000	3444.19
IF	3,356	1,170,963,000	3489.16	41	AG	4,892	1,688,571,000	3451.70
ES	3,150	1,072,600,000	3405.08	42	FS	4,072	1,409,959,000	3462.57
IU	2,958	1,025,853,000	3468.06	43	IU	4,018	1,400,502,000	3485.57
LS	2,441	849,808,000	3481.39	44	IH	3,400	1,191,600,000	3504.71
PC	2,128	724,898,000	3406.48	45	MI	2,500	884,500,000	3538.00
SH	1,600	548,400,000	3427.50	46	GA	2,100	740,900,000	3528.10
RF	976	337,404,000	3457.01	47	CD	1,934	664,971,000	3438.32
GA	740	251,470,000	3398.24	48	AD	1,449	509,954,000	3519.35
IT	315	109,050,000	3461.90	49	BS	1,430	488,068,000	3413.06
RO	240	83,740,000	3489.17	50	SH	1,400	485,600,000	3468.57
OK	200	69,900,000	3495.00	51	PG	1,360	477,550,000	3511.40
AF	200	68,600,000	3430.00	52	SA	1,120	391,760,000	3497.86
SF	136	48,142,000	3539.85	53	RF	1,089	373,344,000	3428.32
ID	70	24,460,000	3494.29	54	IF	1,047	367,155,000	3506.73
BS	60	20,490,000	3415.00	55	KZ	719	243,741,000	3390.00
MI	58	19,836,000	3420.00	56	RO	660	226,402,000	3430.33
AN	40	13,700,000	3425.00	57	PP	607	211,236,000	3480.00
IN	30	10,410,000	3470.00	58	RS	600	204,900,000	3415.00
RG	30	10,250,000	3416.67	59	MU	580	204,170,000	3520.17
JB	24	8,504,000	3543.33	60	FZ	488	165,462,000	3390.61
PG	20	6,780,000	3390.00	61	RX	441	151,119,000	3426.73
GI	19	6,669,000	3510.00	62	OK	305	107,575,000	3527.05
FZ	10	3,450,000	3450.00	63	SF	301	105,399,000	3501.63
AR	10	3,420,000	3420.00	64	RG	220	76,670,000	3485.00
PO	5	1,748,000	3496.00	65	PO	215	73,520,000	3419.53
RB	4	1,360,000	3400.00	66	ID	75	25,880,000	3450.67
QA	3	1,022,000	3406.67	67	IT	65	22,770,000	3503.08
RS	3	1,020,000	3400.00	68	DD	55	19,525,000	3550.00
