BBTNToBrokerCode	BBTN	Start	2025-12-18	End	2025-12-18	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
AK	87,547	10,364,514,000	1183.88	1	CC	90,074	10,664,381,000	1183.96
CC	67,927	8,062,906,000	1187.00	2	YP	81,679	9,689,703,500	1186.32
KK	67,855	8,028,490,000	1183.18	3	XL	42,644	5,042,607,000	1182.49
AG	53,857	6,380,133,000	1184.64	4	SQ	37,366	4,418,493,000	1182.49
ZP	45,679	5,415,945,500	1185.65	5	ZP	25,764	3,054,025,000	1185.38
YP	37,154	4,396,386,500	1183.29	6	CP	25,515	3,032,528,000	1188.53
XL	23,204	2,752,987,500	1186.43	7	XC	22,309	2,643,267,500	1184.84
CP	23,235	2,747,132,500	1182.33	8	NI	21,526	2,547,219,000	1183.32
BK	20,176	2,396,750,000	1187.92	9	EP	21,404	2,543,222,000	1188.20
XC	15,034	1,784,078,000	1186.70	10	KK	21,325	2,527,279,000	1185.12
FZ	15,000	1,780,000,000	1186.67	11	AK	20,144	2,387,159,000	1185.05
LG	11,690	1,383,168,500	1183.21	12	MG	17,508	2,074,548,000	1184.91
BB	11,539	1,368,245,500	1185.76	13	PD	17,021	2,016,107,500	1184.48
MG	10,001	1,180,118,500	1180.00	14	OD	14,512	1,718,563,000	1184.24
YB	7,091	838,635,500	1182.68	15	GR	14,430	1,704,279,500	1181.07
TP	6,698	793,180,000	1184.20	16	YB	11,233	1,330,881,500	1184.80
PD	5,874	694,816,500	1182.87	17	YJ	8,702	1,033,887,000	1188.10
SQ	5,479	650,219,000	1186.75	18	YU	8,658	1,025,913,000	1184.93
DR	5,491	644,935,000	1174.53	19	AG	8,135	966,517,500	1188.10
IF	5,427	642,990,000	1184.80	20	AT	7,999	945,048,000	1181.46
NI	4,934	584,238,000	1184.11	21	DR	7,840	926,866,000	1182.23
AZ	4,687	555,508,000	1185.21	22	BB	4,585	543,886,000	1186.23
GR	4,598	546,151,000	1187.80	23	DH	3,671	433,786,500	1181.66
AT	4,040	478,746,500	1185.02	24	LG	3,222	380,070,500	1179.61
OD	3,611	427,328,000	1183.41	25	AO	3,000	354,000,000	1180.00
HD	3,519	417,109,000	1185.31	26	BK	2,958	347,689,500	1175.42
YU	3,442	406,678,000	1181.52	27	AI	2,660	315,825,000	1187.31
EP	3,149	372,652,000	1183.40	28	HD	2,059	243,566,500	1182.94
DH	2,298	272,240,000	1184.68	29	LS	2,050	241,950,000	1180.24
XA	971	115,355,500	1188.01	30	AP	2,000	236,000,000	1180.00
HP	510	59,925,000	1175.00	31	AR	1,982	234,867,000	1185.00
DX	305	36,081,500	1183.00	32	DX	1,346	159,724,500	1186.66
AO	223	26,325,500	1180.52	33	XA	1,261	148,873,500	1180.60
FS	200	23,400,000	1170.00	34	ZR	1,125	133,212,500	1184.11
KI	169	19,940,000	1179.88	35	BQ	950	112,653,000	1185.82
PC	40	4,725,000	1181.25	36	RG	774	91,847,000	1186.65
YJ	29	3,427,500	1181.90	37	KI	625	74,052,500	1184.84
AI	20	2,370,000	1185.00	38	TP	574	67,955,500	1183.89
BQ	8	943,500	1179.38	39	AZ	536	63,368,500	1182.25
QA	1	119,000	1190.00	40	IH	305	35,985,000	1179.84
TF	1	119,000	1190.00	41	PC	215	25,427,500	1182.67
 	 	 	 	42	HP	198	23,426,500	1183.16
 	 	 	 	43	FS	158	18,772,000	1188.10
 	 	 	 	44	IF	132	15,588,000	1180.91
 	 	 	 	45	RO	105	12,495,000	1190.00
 	 	 	 	46	RS	103	12,205,500	1185.00
 	 	 	 	47	BR	100	11,875,000	1187.50
 	 	 	 	48	SA	100	11,850,000	1185.00
 	 	 	 	49	RB	85	10,115,000	1190.00
 	 	 	 	50	PP	42	4,977,000	1185.00
 	 	 	 	51	JB	2	237,000	1185.00
 	 	 	 	52	SH	2	237,000	1185.00
