BBTNToBrokerCode	BBTN	Start	2025-12-08	End	2025-12-08	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
YP	107,741	12,472,433,740	1157.63	1	YU	252,274	29,138,236,500	1155.02
SQ	89,636	10,328,469,500	1152.27	2	YP	80,688	9,310,643,240	1153.91
CC	41,917	4,840,746,500	1154.84	3	ZP	75,046	8,654,232,500	1153.19
CP	34,548	3,982,880,500	1152.85	4	XL	17,181	1,984,130,000	1154.84
XL	33,966	3,920,306,000	1154.19	5	AK	14,259	1,645,876,500	1154.27
PD	22,840	2,638,530,000	1155.22	6	CC	9,441	1,097,081,500	1162.04
NI	22,120	2,555,850,500	1155.45	7	RF	8,620	999,920,000	1160.00
AZ	18,076	2,093,153,500	1157.97	8	SQ	7,629	874,282,500	1146.00
KK	16,104	1,857,457,500	1153.41	9	LG	5,149	594,710,500	1155.00
OD	15,171	1,747,836,000	1152.09	10	PD	5,019	580,205,000	1156.02
DR	13,499	1,562,409,000	1157.43	11	DX	4,525	524,124,500	1158.29
XC	12,559	1,448,404,000	1153.28	12	OD	3,543	408,876,500	1154.04
BB	11,911	1,377,958,000	1156.88	13	NI	3,010	350,477,000	1164.38
ZP	8,124	940,200,500	1157.31	14	CP	2,747	321,395,000	1169.99
AK	6,137	711,516,500	1159.39	15	XC	2,371	273,972,500	1155.51
GR	5,551	640,129,500	1153.18	16	RG	1,999	230,884,500	1155.00
EP	4,401	506,904,500	1151.79	17	EP	1,470	170,717,500	1161.34
DH	4,279	494,283,500	1155.14	18	KK	1,436	167,178,000	1164.19
YB	3,769	435,433,000	1155.30	19	BQ	1,383	159,968,000	1156.67
BK	3,457	400,033,500	1157.17	20	DH	1,338	154,455,500	1154.38
YU	3,332	384,475,000	1153.89	21	HP	891	104,247,000	1170.00
DX	2,672	308,755,000	1155.52	22	YB	597	68,869,500	1153.59
YJ	2,654	305,886,500	1152.55	23	HD	526	60,836,000	1156.58
AT	2,635	303,664,500	1152.43	24	FZ	500	57,750,000	1155.00
IF	2,237	257,716,500	1152.06	25	GR	481	55,750,500	1159.05
BS	2,050	236,250,000	1152.44	26	CD	391	45,551,500	1165.00
TP	1,466	168,580,000	1149.93	27	DR	218	25,350,000	1162.84
AI	1,361	157,194,000	1154.99	28	XA	190	21,853,000	1150.16
BQ	1,255	144,993,500	1155.33	29	AI	150	17,600,000	1173.33
HP	1,152	134,167,000	1164.64	30	AT	58	6,786,000	1170.00
LS	1,140	130,672,500	1146.25	31	AZ	51	5,911,500	1159.12
OK	1,000	114,750,000	1147.50	32	AG	30	3,465,000	1155.00
XA	812	93,584,000	1152.51	33	MI	26	2,977,000	1145.00
RS	750	86,900,000	1158.67	34	MG	10	1,165,000	1165.00
AG	476	54,752,000	1150.25	35	TP	7	819,000	1170.00
ZR	400	46,200,000	1155.00	36	 	 	 	 
HD	380	43,940,500	1156.33	37	 	 	 	 
LG	379	43,682,000	1152.56	38	 	 	 	 
IH	200	23,100,000	1155.00	39	 	 	 	 
AO	200	22,900,000	1145.00	40	 	 	 	 
BR	180	20,675,000	1148.61	41	 	 	 	 
KI	126	14,449,500	1146.79	42	 	 	 	 
FS	115	13,230,000	1150.43	43	 	 	 	 
MU	100	11,550,000	1155.00	44	 	 	 	 
FZ	100	11,550,000	1155.00	45	 	 	 	 
MI	82	9,419,000	1148.66	46	 	 	 	 
PC	70	8,050,000	1150.00	47	 	 	 	 
RO	50	5,755,000	1151.00	48	 	 	 	 
CD	42	4,845,000	1153.57	49	 	 	 	 
EL	10	1,150,000	1150.00	50	 	 	 	 
MG	10	1,147,500	1147.50	51	 	 	 	 
SS	10	1,147,500	1147.50	52	 	 	 	 
RB	2	231,000	1155.00	53	 	 	 	 
