BBTNToBrokerCode	BBTN	Start	2026-02-10	End	2026-02-10	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
AK	164,582	21,247,155,500	1290.98	1	YP	66,304	8,552,104,500	1289.83
ZP	103,936	13,380,618,000	1287.39	2	XL	57,859	7,458,888,500	1289.15
GR	39,599	5,047,444,000	1274.64	3	PD	48,433	6,215,181,000	1283.25
BK	32,704	4,227,522,000	1292.66	4	CC	46,816	6,033,343,000	1288.74
CC	31,193	4,007,406,500	1284.71	5	ZP	44,920	5,775,971,500	1285.84
DR	27,999	3,592,010,500	1282.91	6	KK	39,602	5,074,038,500	1281.26
XL	27,474	3,533,122,500	1285.99	7	AK	28,273	3,645,804,500	1289.50
YP	26,009	3,342,710,000	1285.21	8	AG	27,297	3,491,056,000	1278.92
KK	24,593	3,179,020,000	1292.65	9	EP	24,398	3,153,656,000	1292.59
CP	22,178	2,861,525,000	1290.25	10	SQ	24,173	3,127,529,000	1293.81
SQ	14,862	1,908,517,000	1284.16	11	XC	21,047	2,703,614,500	1284.56
AZ	10,489	1,347,360,500	1284.55	12	NI	20,192	2,594,772,500	1285.05
XC	8,806	1,128,252,000	1281.23	13	CP	19,143	2,463,323,000	1286.80
HD	8,639	1,112,655,500	1287.94	14	DR	16,848	2,174,206,000	1290.48
PD	5,446	701,665,000	1288.40	15	LG	12,079	1,546,612,000	1280.41
NI	4,955	637,887,500	1287.36	16	HD	8,209	1,056,119,500	1286.54
MG	3,820	493,500,000	1291.88	17	HP	6,942	885,182,000	1275.11
TP	3,665	472,136,500	1288.23	18	YB	6,747	868,674,500	1287.50
YB	3,191	410,418,500	1286.18	19	YU	6,693	865,578,000	1293.26
YJ	2,683	341,146,000	1271.51	20	DH	5,773	741,830,000	1285.00
YU	2,647	339,003,500	1280.71	21	OD	5,728	738,430,000	1289.16
BQ	2,386	306,083,500	1282.83	22	XA	5,743	736,508,000	1282.44
EP	2,174	280,921,000	1292.18	23	YJ	4,815	626,758,500	1301.68
XA	1,838	236,246,000	1285.34	24	IT	4,080	528,400,000	1295.10
DH	1,520	195,849,500	1288.48	25	AT	4,042	524,752,500	1298.25
IH	1,500	195,000,000	1300.00	26	AD	3,846	499,980,000	1300.00
AI	1,500	190,500,000	1270.00	27	AI	3,100	398,156,000	1284.37
OD	1,334	171,457,000	1285.28	28	GR	2,691	348,198,500	1293.94
FS	1,000	128,000,000	1280.00	29	DX	2,609	337,380,500	1293.14
SA	1,000	127,500,000	1275.00	30	BK	2,588	332,623,500	1285.25
CD	885	113,397,500	1281.33	31	MG	2,195	282,112,500	1285.25
AG	537	69,017,500	1285.24	32	AO	2,061	263,099,500	1276.56
AO	500	63,750,000	1275.00	33	LS	2,024	263,098,500	1299.89
LG	489	63,130,000	1291.00	34	PG	2,000	259,500,000	1297.50
DX	476	61,482,500	1291.65	35	BQ	1,962	253,858,000	1293.87
RS	200	25,900,000	1295.00	36	ES	1,200	154,900,000	1290.83
KI	118	15,168,000	1285.42	37	AZ	1,111	142,407,000	1281.79
LS	113	14,553,500	1287.92	38	RS	992	128,204,000	1292.38
IU	82	10,660,500	1300.06	39	TP	847	109,408,000	1291.71
ID	50	6,475,000	1295.00	40	KI	527	68,201,000	1294.14
AT	27	3,486,000	1291.11	41	SH	500	64,250,000	1285.00
HP	20	2,584,000	1292.00	42	CD	350	45,150,000	1290.00
RG	15	1,912,500	1275.00	43	IF	320	41,289,000	1290.28
IF	7	900,000	1285.71	44	SA	95	12,212,500	1285.53
GI	1	129,500	1295.00	45	AN	50	6,500,000	1300.00
PC	1	128,500	1285.00	46	PI	13	1,670,500	1285.00
 	 	 	 	47	PC	3	390,000	1300.00
 	 	 	 	48	QA	3	385,500	1285.00
