BBTNToBrokerCode	BBTN	Start	2026-02-12	End	2026-02-12	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
ZP	176,039	23,960,067,000	1361.07	1	CC	114,925	15,644,980,000	1361.32
CC	145,273	19,810,481,000	1363.67	2	YP	86,286	11,734,379,500	1359.94
AK	115,929	15,782,118,000	1361.36	3	NI	66,971	9,136,808,000	1364.29
BB	49,786	6,786,156,500	1363.07	4	KZ	53,459	7,309,228,500	1367.26
BK	45,542	6,201,027,000	1361.61	5	XL	53,335	7,253,422,500	1359.97
CP	43,962	6,015,735,500	1368.39	6	PD	47,983	6,515,268,500	1357.83
XL	34,331	4,664,691,000	1358.74	7	AZ	33,990	4,633,450,000	1363.18
YP	29,971	4,077,203,000	1360.38	8	AK	31,029	4,230,870,500	1363.52
PD	26,723	3,615,492,500	1352.95	9	KK	29,307	4,004,364,000	1366.35
DR	25,680	3,504,228,500	1364.57	10	YU	28,527	3,877,747,500	1359.33
LG	17,428	2,388,450,000	1370.47	11	CP	26,144	3,559,527,000	1361.51
KK	13,520	1,837,089,500	1358.79	12	BB	19,457	2,628,210,500	1350.78
SQ	10,113	1,378,177,500	1362.78	13	XC	17,532	2,383,056,000	1359.26
HD	9,723	1,328,050,500	1365.89	14	SQ	17,058	2,321,152,000	1360.74
XC	8,034	1,092,062,500	1359.30	15	BQ	15,865	2,161,432,000	1362.39
BQ	5,504	749,260,500	1361.30	16	AG	12,390	1,703,415,500	1374.83
NI	3,654	495,313,000	1355.54	17	LG	11,818	1,608,151,500	1360.76
EP	3,363	459,182,000	1365.39	18	EP	11,479	1,561,675,500	1360.46
YB	2,652	359,412,500	1355.25	19	YJ	11,281	1,533,309,000	1359.20
OD	2,534	343,598,000	1355.95	20	DX	10,865	1,483,449,500	1365.35
GR	2,166	293,572,500	1355.37	21	HD	10,818	1,474,212,000	1362.74
DX	2,056	279,524,000	1359.55	22	ZP	9,561	1,307,904,000	1367.96
IT	2,000	271,250,000	1356.25	23	DH	9,329	1,271,997,500	1363.49
YU	1,559	211,619,000	1357.40	24	OD	9,221	1,256,348,500	1362.49
YJ	1,500	205,325,000	1368.83	25	DR	8,255	1,117,848,500	1354.15
MG	1,438	195,292,000	1358.08	26	XA	6,429	880,352,000	1369.35
DH	1,371	186,014,000	1356.78	27	TP	5,351	734,420,500	1372.49
AZ	1,109	150,676,000	1358.67	28	GR	4,511	612,949,000	1358.79
IF	1,040	140,770,000	1353.56	29	IT	3,550	489,125,000	1377.82
BR	650	89,396,000	1375.32	30	MG	3,455	470,298,500	1361.21
AT	654	88,981,500	1360.57	31	YB	2,979	405,038,500	1359.65
CD	354	47,815,500	1350.72	32	BS	2,050	280,350,000	1367.56
KI	324	44,042,000	1359.32	33	PG	2,000	271,000,000	1355.00
AI	300	41,175,000	1372.50	34	PP	1,764	240,654,000	1364.25
XA	262	35,577,000	1357.90	35	AO	1,200	162,900,000	1357.50
HP	224	30,611,500	1366.58	36	LS	1,049	144,170,000	1374.36
AG	150	20,425,000	1361.67	37	IF	1,041	142,055,000	1364.60
TP	130	17,485,000	1345.00	38	AT	957	129,510,500	1353.30
ID	50	6,775,000	1355.00	39	HP	818	111,548,000	1363.67
PC	10	1,365,000	1365.00	40	BK	795	108,483,000	1364.57
LS	5	672,500	1345.00	41	FS	515	70,800,000	1374.76
AO	2	271,500	1357.50	42	KI	421	57,379,500	1362.93
MU	1	134,500	1345.00	43	AI	402	54,795,000	1363.06
 	 	 	 	44	RS	350	47,625,000	1360.71
 	 	 	 	45	SA	102	14,019,000	1374.41
 	 	 	 	46	AF	100	13,750,000	1375.00
 	 	 	 	47	MU	100	13,587,500	1358.75
 	 	 	 	48	BR	100	13,450,000	1345.00
 	 	 	 	49	PC	86	11,655,500	1355.29
 	 	 	 	50	ID	50	6,850,000	1370.00
 	 	 	 	51	CD	38	5,152,000	1355.79
 	 	 	 	52	SS	10	1,347,500	1347.50
 	 	 	 	53	GI	5	680,000	1360.00
 	 	 	 	54	SH	3	412,500	1375.00
