BBTNToBrokerCode	BBTN	Start	2026-02-03	End	2026-02-03	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
AZ	49,542	6,078,434,000	1226.93	1	CC	83,456	10,137,335,500	1214.69
DX	36,021	4,393,662,000	1219.75	2	YP	36,236	4,434,481,500	1223.78
BB	35,557	4,333,428,500	1218.73	3	ZP	30,501	3,684,413,000	1207.96
CC	34,533	4,180,524,500	1210.59	4	BK	27,291	3,323,751,500	1217.89
SQ	25,562	3,118,854,500	1220.11	5	XL	25,554	3,112,315,000	1217.94
AK	22,432	2,734,093,000	1218.84	6	RF	24,390	2,999,970,000	1230.00
LG	17,520	2,146,280,500	1225.05	7	AK	20,615	2,506,492,000	1215.86
YP	17,058	2,072,816,000	1215.16	8	NI	15,681	1,918,759,000	1223.62
XL	15,458	1,868,690,500	1208.88	9	BQ	11,173	1,362,735,500	1219.67
PD	14,051	1,716,868,500	1221.88	10	OD	9,964	1,218,372,500	1222.77
GR	13,311	1,629,378,000	1224.08	11	KK	9,803	1,199,799,000	1223.91
NI	10,320	1,257,431,000	1218.44	12	SQ	7,111	867,999,500	1220.64
BK	8,537	1,040,966,500	1219.36	13	DR	6,984	856,848,500	1226.87
BQ	6,733	820,890,000	1219.20	14	PD	4,431	541,590,500	1222.28
KK	4,639	562,126,500	1211.74	15	YB	4,064	493,032,000	1213.17
XC	4,326	527,134,000	1218.53	16	EP	3,710	453,489,500	1222.34
MG	4,125	503,125,000	1219.70	17	BB	3,603	439,566,000	1220.00
PG	4,000	482,000,000	1205.00	18	XC	3,598	439,381,500	1221.18
ZP	3,218	394,502,500	1225.92	19	YU	3,416	419,106,500	1226.62
XA	3,226	389,620,500	1207.75	20	XA	2,286	279,436,000	1222.38
KI	3,152	381,785,500	1211.25	21	LG	2,276	277,707,000	1220.15
YU	2,560	310,356,500	1211.98	22	HD	1,743	211,056,000	1210.88
EP	2,379	290,039,000	1219.16	23	GR	1,657	202,249,500	1220.58
CP	2,167	265,592,500	1225.62	24	DX	1,621	198,138,000	1222.32
DR	1,982	241,048,500	1216.19	25	DH	1,450	177,934,500	1227.13
HD	1,607	193,301,000	1202.87	26	AZ	1,170	143,685,500	1228.08
YB	1,244	150,339,500	1208.52	27	CP	1,155	140,091,500	1212.91
YJ	1,014	122,388,500	1206.99	28	TP	843	103,199,000	1224.19
OD	962	116,389,500	1209.87	29	MG	680	83,403,000	1226.51
DH	611	73,682,500	1205.93	30	RX	427	52,307,500	1225.00
TP	326	39,860,000	1222.70	31	AT	334	40,893,500	1224.36
PP	276	33,810,000	1225.00	32	KI	339	40,505,000	1194.84
AT	274	33,169,000	1210.55	33	YJ	283	34,653,000	1224.49
AG	94	11,460,000	1219.15	34	AG	261	32,103,000	1230.00
IF	52	6,320,000	1215.38	35	LS	205	25,213,000	1229.90
HP	41	4,998,500	1219.15	36	ZR	200	24,500,000	1225.00
PC	35	4,282,500	1223.57	37	PC	157	19,230,000	1224.84
AI	5	610,000	1220.00	38	RG	123	15,067,500	1225.00
SH	5	597,500	1195.00	39	CD	80	9,770,000	1221.25
QA	3	369,000	1230.00	40	HP	25	3,044,500	1217.80
 	 	 	 	41	RS	20	2,460,000	1230.00
 	 	 	 	42	SS	20	2,450,000	1225.00
 	 	 	 	43	SF	10	1,220,000	1220.00
 	 	 	 	44	FS	7	857,500	1225.00
 	 	 	 	45	SH	5	612,500	1225.00
