BBTNToBrokerCode	BBTN	Start	2026-01-23	End	2026-01-23	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
ZP	93,155	11,457,585,000	1229.95	1	CC	50,564	6,180,332,500	1222.28
AK	41,310	5,048,444,500	1222.09	2	RF	48,500	5,892,750,000	1215.00
DX	41,101	4,993,772,500	1215.00	3	CP	41,740	5,120,335,000	1226.72
BK	26,945	3,280,219,000	1217.38	4	YP	30,769	3,763,623,000	1223.19
NI	21,739	2,642,323,500	1215.48	5	XL	24,052	2,947,951,000	1225.66
YP	18,058	2,196,136,000	1216.16	6	PD	21,086	2,575,627,500	1221.49
MG	10,525	1,274,575,000	1211.00	7	SQ	14,752	1,797,951,500	1218.78
AZ	10,185	1,248,128,500	1225.46	8	XC	13,711	1,682,387,000	1227.03
XC	8,562	1,044,435,500	1219.85	9	AO	8,000	976,014,000	1220.02
DH	8,319	1,018,901,000	1224.79	10	NI	7,959	972,049,500	1221.32
CC	7,999	978,560,500	1223.35	11	DR	7,474	914,098,000	1223.04
BQ	7,600	925,565,500	1217.85	12	GR	6,954	849,489,000	1221.58
XL	6,955	850,722,500	1223.18	13	BQ	6,701	811,070,500	1210.37
YU	6,250	761,698,500	1218.72	14	OD	6,475	790,823,500	1221.35
PD	5,926	724,398,500	1222.41	15	YU	5,564	679,883,500	1221.93
SQ	4,649	569,802,000	1225.64	16	ZP	5,252	642,994,500	1224.29
TP	3,594	437,013,500	1215.95	17	BK	4,663	567,947,500	1217.99
KK	3,534	429,929,000	1216.55	18	AK	4,257	518,251,000	1217.41
AO	2,706	332,825,500	1229.95	19	HP	4,140	509,172,500	1229.89
OD	2,426	296,200,000	1220.94	20	YB	3,757	457,891,000	1218.77
DR	1,620	196,388,000	1212.27	21	KK	3,266	401,660,500	1229.82
HD	1,149	140,731,500	1224.82	22	LG	2,285	279,156,500	1221.69
XA	483	58,452,000	1210.19	23	AZ	1,867	227,667,500	1219.43
EP	261	31,724,000	1215.48	24	YJ	1,746	213,915,000	1225.17
YJ	209	25,293,000	1210.19	25	EP	1,497	183,799,000	1227.78
CP	135	16,501,000	1222.30	26	HD	1,427	174,294,000	1221.40
GR	89	10,923,000	1227.30	27	DX	1,148	140,372,500	1222.76
AI	51	6,222,000	1220.00	28	IF	958	117,034,000	1221.65
HP	20	2,445,000	1222.50	29	MG	908	111,372,000	1226.56
AG	10	1,215,000	1215.00	30	RG	835	102,287,500	1225.00
LG	9	1,095,500	1217.22	31	DH	834	102,120,500	1224.47
LS	8	984,000	1230.00	32	XA	830	102,031,500	1229.30
YB	3	364,500	1215.00	33	AI	562	68,126,000	1212.21
QA	1	121,500	1215.00	34	PC	310	38,130,000	1230.00
 	 	 	 	35	AT	264	32,229,000	1220.80
 	 	 	 	36	TP	157	19,229,000	1224.78
 	 	 	 	37	RS	100	12,350,000	1235.00
 	 	 	 	38	LS	91	11,209,500	1231.81
 	 	 	 	39	ES	40	4,920,000	1230.00
 	 	 	 	40	AG	40	4,905,000	1226.25
 	 	 	 	41	KI	26	3,194,000	1228.46
 	 	 	 	42	CD	23	2,806,000	1220.00
 	 	 	 	43	FS	2	245,000	1225.00
