BBTNToBrokerCode	BBTN	Start	2026-01-08	End	2026-01-08	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
BK	28,725	3,387,228,500	1179.19	1	AZ	76,848	8,991,618,500	1170.05
DR	28,467	3,321,341,500	1166.73	2	RF	25,751	2,999,991,500	1165.00
YP	25,890	3,032,880,000	1171.45	3	CC	18,188	2,135,091,500	1173.90
XL	17,614	2,064,691,500	1172.19	4	YP	16,091	1,891,979,000	1175.80
BB	17,539	2,057,110,000	1172.88	5	XL	12,311	1,449,539,000	1177.43
CC	12,151	1,425,298,000	1172.99	6	ZP	10,681	1,251,141,000	1171.37
SQ	12,072	1,407,262,000	1165.72	7	DR	8,781	1,034,460,500	1178.07
XC	11,925	1,392,751,500	1167.93	8	AK	7,819	923,648,500	1181.29
PD	10,214	1,200,389,175	1175.21	9	OD	6,798	790,328,500	1162.59
YJ	10,110	1,176,815,000	1164.01	10	NI	6,296	741,068,500	1177.05
AK	8,827	1,041,758,500	1180.20	11	PD	5,145	602,484,675	1170.96
EP	6,119	718,097,500	1173.55	12	XC	4,064	478,044,000	1176.29
ZP	5,725	672,684,500	1174.99	13	XA	3,217	380,085,000	1181.49
NI	4,458	522,322,000	1171.65	14	YB	3,147	369,371,500	1173.73
GR	2,889	341,368,000	1181.61	15	YJ	2,799	330,109,000	1179.38
KK	2,813	328,569,500	1168.04	16	SQ	2,721	319,448,500	1174.01
YU	2,752	321,935,000	1169.82	17	DX	2,483	292,244,000	1176.98
RF	2,500	293,750,000	1175.00	18	KK	2,146	249,185,000	1161.16
OD	2,298	269,086,000	1170.96	19	DH	1,950	229,733,000	1178.12
TP	2,000	235,214,500	1176.07	20	EP	1,034	121,019,000	1170.40
DH	1,482	172,638,500	1164.90	21	HD	930	109,742,000	1180.02
HD	1,037	122,090,000	1177.34	22	KI	901	105,869,500	1175.02
DX	965	113,029,000	1171.28	23	GR	586	69,255,000	1181.83
YB	946	111,207,500	1175.55	24	YU	341	40,146,000	1177.30
CP	737	86,190,000	1169.47	25	BQ	205	24,286,000	1184.68
XA	533	62,112,000	1165.33	26	BR	200	23,600,000	1180.00
ES	300	35,100,000	1170.00	27	IF	186	21,585,500	1160.51
LG	276	32,267,000	1169.09	28	CP	133	15,714,500	1181.54
BQ	255	30,058,500	1178.76	29	LG	118	13,829,000	1171.95
AZ	219	25,623,500	1170.02	30	HP	112	13,072,000	1167.14
AT	109	12,830,000	1177.06	31	AT	110	12,980,000	1180.00
RB	84	9,954,000	1185.00	32	BK	78	9,165,000	1175.00
HP	80	9,360,000	1170.00	33	LS	58	6,868,000	1184.14
MG	50	5,900,000	1180.00	34	SF	50	5,875,000	1175.00
ID	50	5,900,000	1180.00	35	AI	45	5,307,500	1179.44
KI	34	3,963,000	1165.59	36	MU	2	236,000	1180.00
RS	30	3,525,000	1175.00	37	 	 	 	 
IF	25	2,912,500	1165.00	38	 	 	 	 
LS	10	1,165,000	1165.00	39	 	 	 	 
AG	10	1,160,000	1160.00	40	 	 	 	 
QA	3	349,500	1165.00	41	 	 	 	 
CD	1	117,500	1175.00	42	 	 	 	 
TF	1	116,000	1160.00	43	 	 	 	 
