BBTNToBrokerCode	BBTN	Start	2025-11-12	End	2025-11-12	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
ZP	37,571	4,539,403,500	1208.22	1	BK	31,268	3,772,165,000	1206.40
AK	21,361	2,587,021,000	1211.10	2	CC	30,834	3,724,122,500	1207.80
YP	17,424	2,103,465,000	1207.22	3	YP	16,891	2,040,923,500	1208.29
PD	9,807	1,183,378,500	1206.67	4	XL	14,105	1,706,223,000	1209.66
XL	9,158	1,105,497,500	1207.14	5	AK	10,418	1,260,823,500	1210.24
DR	7,120	860,123,000	1208.04	6	DR	10,045	1,214,386,500	1208.95
LG	5,945	718,812,500	1209.10	7	PD	6,837	826,157,500	1208.36
CC	5,725	692,100,000	1208.91	8	ZP	5,657	684,194,500	1209.47
AG	5,593	676,412,000	1209.39	9	BQ	4,440	536,952,000	1209.35
SQ	5,369	647,847,500	1206.64	10	XC	3,858	466,387,000	1208.88
KK	5,307	641,318,000	1208.44	11	SQ	3,462	419,475,000	1211.66
BK	5,038	607,959,000	1206.75	12	YU	2,823	341,571,500	1209.96
AO	4,123	498,883,000	1210.00	13	KK	2,526	305,643,000	1209.99
XC	3,178	384,209,000	1208.96	14	NI	2,148	259,869,500	1209.82
EP	1,763	213,159,000	1209.07	15	OD	2,117	255,788,000	1208.26
DX	1,554	188,558,000	1213.37	16	RG	2,000	242,000,000	1210.00
TP	1,559	188,476,000	1208.95	17	GR	1,739	210,405,000	1209.92
NI	1,442	174,222,000	1208.20	18	EP	1,182	142,968,500	1209.55
XA	1,381	166,642,500	1206.68	19	PS	963	116,497,000	1209.73
DH	1,178	141,972,500	1205.20	20	DH	957	115,794,000	1209.97
YU	1,138	137,596,500	1209.11	21	DX	590	70,940,500	1202.38
CP	1,071	129,616,500	1210.24	22	MG	322	38,962,000	1210.00
AT	762	91,832,000	1205.14	23	AZ	298	36,008,000	1208.32
OD	389	47,007,500	1208.42	24	TP	278	33,609,500	1208.97
YB	312	37,646,000	1206.60	25	HP	254	30,731,500	1209.90
PS	270	32,555,000	1205.74	26	CP	141	17,078,500	1211.24
YJ	266	32,053,000	1205.00	27	AI	105	12,707,500	1210.24
IT	250	30,125,000	1205.00	28	SH	100	12,100,000	1210.00
HD	209	25,184,500	1205.00	29	YJ	100	12,100,000	1210.00
RS	200	24,200,000	1210.00	30	YB	77	9,307,000	1208.70
GR	115	13,860,000	1205.22	31	KI	75	9,099,500	1213.27
AZ	41	4,941,500	1205.24	32	BR	50	6,050,000	1210.00
SA	36	4,364,000	1212.22	33	LG	20	2,425,000	1212.50
SF	25	3,025,000	1210.00	34	AT	14	1,697,000	1212.14
KI	10	1,211,500	1211.50	35	GI	1	120,500	1205.00
HP	3	363,500	1211.67	36	 	 	 	 
BQ	2	242,000	1210.00	37	 	 	 	 
