BBTNToBrokerCode	2	Start	2025-11-25	End	2025-11-25	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
AZ	27,107	3,266,340,500	1204.98	1	CC	28,281	3,405,835,000	1204.28
CP	24,475	2,945,732,000	1203.57	2	YP	18,413	2,216,817,000	1203.94
CC	9,116	1,097,162,500	1203.56	3	ZP	12,166	1,463,275,000	1202.76
YP	8,251	991,763,000	1201.99	4	XL	8,934	1,072,751,500	1200.75
SQ	7,231	868,040,000	1200.44	5	PD	8,626	1,033,843,500	1198.52
MG	5,210	627,697,500	1204.79	6	AK	6,489	781,687,500	1204.63
XC	4,772	572,649,500	1200.02	7	XC	4,980	598,464,500	1201.74
BB	3,586	431,033,000	1201.99	8	NI	4,439	532,261,500	1199.06
XL	3,452	414,679,500	1201.27	9	SQ	3,424	410,580,500	1199.13
XA	3,132	374,322,500	1195.15	10	CP	3,261	392,886,500	1204.80
AK	2,782	333,963,500	1200.44	11	DR	2,709	325,399,000	1201.18
DH	2,170	260,379,500	1199.91	12	EP	2,109	252,846,500	1198.89
EP	2,165	260,009,000	1200.97	13	YU	1,842	221,440,000	1202.17
YU	1,382	165,651,500	1198.64	14	DX	1,564	188,670,000	1206.33
OD	1,359	163,158,000	1200.57	15	OD	1,454	174,667,000	1201.29
PD	1,344	161,549,500	1202.01	16	YB	1,065	128,297,500	1204.67
NI	1,164	139,673,500	1199.94	17	BQ	1,053	127,358,500	1209.48
AO	1,005	120,600,000	1200.00	18	KK	541	65,087,000	1203.09
DR	952	114,234,500	1199.94	19	YJ	454	54,434,000	1198.99
AG	890	107,035,000	1202.64	20	GR	365	43,777,500	1199.38
AT	511	61,191,000	1197.48	21	LG	362	43,504,500	1201.78
ZP	459	55,330,000	1205.45	22	AZ	360	43,196,500	1199.90
PP	430	51,600,000	1200.00	23	TP	301	36,120,500	1200.02
KK	393	47,218,000	1201.48	24	HP	262	31,414,000	1199.01
GR	357	42,850,000	1200.28	25	HD	220	26,400,000	1200.00
YJ	277	33,215,000	1199.10	26	BK	214	25,864,000	1208.60
HD	220	26,400,000	1200.00	27	MG	170	20,400,000	1200.00
RS	200	24,000,000	1200.00	28	LS	100	12,050,000	1205.00
HP	31	3,721,000	1200.32	29	DH	100	12,021,500	1202.15
YB	28	3,346,000	1195.00	30	IF	84	10,080,000	1200.00
BQ	23	2,761,500	1200.65	31	PS	75	9,039,000	1205.20
PS	15	1,800,000	1200.00	32	XA	30	3,600,000	1200.00
LG	10	1,198,000	1198.00	33	AI	20	2,400,000	1200.00
TP	5	605,000	1210.00	34	AG	17	2,040,000	1200.00
DX	5	600,000	1200.00	35	PP	14	1,680,000	1200.00
KI	3	361,000	1203.33	36	KI	13	1,558,500	1198.85
ID	3	360,000	1200.00	37	AR	5	602,500	1205.00
DU	1	120,500	1205.00	38	AT	1	121,000	1210.00
TF	1	120,500	1205.00	39	BR	1	120,000	1200.00
IH	1	120,000	1200.00	40	 	 	 	 
