BBTNToBrokerCode	BBTN	Start	2025-11-27	End	2025-11-27	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
YP	17,914	2,134,930,500	1191.77	1	NI	37,423	4,450,312,500	1189.19
CC	13,267	1,580,722,000	1191.47	2	CC	18,123	2,164,540,000	1194.36
SQ	11,046	1,315,689,000	1191.10	3	AK	13,028	1,557,097,000	1195.19
AZ	10,084	1,210,006,500	1199.93	4	YP	8,649	1,028,990,500	1189.72
CP	10,032	1,188,815,000	1185.02	5	PD	7,500	892,836,500	1190.45
XL	8,525	1,015,486,000	1191.19	6	XL	7,074	843,483,000	1192.37
TP	8,208	978,826,000	1192.53	7	ZP	6,902	823,021,000	1192.44
PD	7,972	951,135,000	1193.09	8	SQ	5,344	637,208,500	1192.38
XC	4,899	584,831,000	1193.78	9	XC	3,517	421,222,500	1197.68
NI	4,527	539,585,500	1191.93	10	YU	3,143	375,217,000	1193.82
YU	3,708	441,293,500	1190.11	11	CP	1,661	198,240,000	1193.50
DR	2,523	300,814,500	1192.29	12	YJ	1,407	168,791,000	1199.65
OD	1,636	194,809,000	1190.76	13	OD	1,093	130,762,500	1196.36
AI	1,507	179,586,500	1191.68	14	DR	970	115,449,000	1190.20
ZP	1,240	148,061,500	1194.04	15	KK	600	71,587,000	1193.12
KK	1,169	139,390,500	1192.39	16	EP	420	50,073,500	1192.23
DX	1,070	127,333,500	1190.03	17	AZ	285	33,836,500	1187.25
EP	1,046	124,832,500	1193.43	18	YB	230	27,400,000	1191.30
KI	1,029	122,457,000	1190.06	19	MG	205	24,395,000	1190.00
GR	980	116,696,500	1190.78	20	DX	151	17,986,500	1191.16
HP	936	111,676,500	1193.13	21	GR	141	16,849,000	1194.96
DH	861	102,732,000	1193.17	22	LG	138	16,422,000	1190.00
IF	800	95,200,000	1190.00	23	XA	133	15,827,000	1190.00
FZ	500	59,750,000	1195.00	24	AI	107	12,783,000	1194.67
AT	465	55,442,500	1192.31	25	PC	100	12,000,000	1200.00
LG	435	52,112,500	1197.99	26	DH	97	11,553,500	1191.08
BQ	391	46,751,000	1195.68	27	CD	50	5,975,000	1195.00
LS	350	41,725,000	1192.14	28	HP	17	2,025,500	1191.47
AO	300	35,700,000	1190.00	29	BK	15	1,794,000	1196.00
RS	250	29,875,000	1195.00	30	BQ	12	1,439,000	1199.17
HD	192	22,800,000	1187.50	31	IH	10	1,200,000	1200.00
XA	191	22,711,500	1189.08	32	AT	5	595,000	1190.00
YJ	170	20,235,000	1190.29	33	AO	5	595,000	1190.00
YB	103	12,232,500	1187.62	34	KI	4	477,500	1193.75
PC	101	12,019,000	1190.00	35	HD	2	238,000	1190.00
RG	50	5,950,000	1190.00	36	DU	1	119,500	1195.00
MI	50	5,950,000	1190.00	37	 	 	 	 
AK	19	2,280,000	1200.00	38	 	 	 	 
MG	11	1,303,500	1185.00	39	 	 	 	 
ES	5	595,000	1190.00	40	 	 	 	 
