BRISToBrokerCode	BRIS	Start	2025-12-02	End	2025-12-02	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
CC	24,646	5,904,646,000	2395.78	1	AK	25,054	6,000,242,000	2394.92
BK	21,808	5,190,304,000	2380.00	2	CC	19,883	4,746,749,000	2387.34
NI	21,617	5,187,765,000	2399.85	3	ZP	14,659	3,514,095,000	2397.23
XL	14,295	3,421,734,000	2393.66	4	PD	12,323	2,947,793,000	2392.11
YP	11,775	2,818,902,000	2393.97	5	DX	10,000	2,400,000,000	2400.00
PD	7,685	1,838,491,000	2392.31	6	YU	8,863	2,117,040,000	2388.63
XC	7,107	1,700,520,000	2392.74	7	MG	6,030	1,441,140,000	2389.95
LG	6,407	1,535,371,000	2396.40	8	XL	5,806	1,392,740,000	2398.79
MG	6,060	1,454,377,000	2399.96	9	BB	5,733	1,369,958,000	2389.60
YU	5,582	1,338,673,000	2398.20	10	KZ	5,540	1,324,904,000	2391.52
SQ	2,110	504,632,000	2391.62	11	XC	4,261	1,019,189,000	2391.90
EP	1,582	378,011,000	2389.45	12	YP	3,042	730,043,000	2399.88
AZ	1,352	323,346,000	2391.61	13	SQ	2,859	687,608,000	2405.06
OD	891	212,795,000	2388.27	14	BQ	2,859	681,039,000	2382.09
AK	888	212,158,000	2389.17	15	OD	2,646	632,321,000	2389.72
AI	714	169,848,000	2378.82	16	AT	2,603	619,589,000	2380.29
IF	632	151,074,000	2390.41	17	LG	1,650	396,079,000	2400.48
ZP	622	149,103,000	2397.15	18	EP	1,612	386,270,000	2396.22
GR	623	148,726,000	2387.26	19	AI	1,330	317,671,000	2388.50
DX	589	140,287,000	2381.78	20	KK	890	213,239,000	2395.94
DR	522	124,444,000	2383.98	21	AZ	770	184,872,000	2400.94
KK	410	98,138,000	2393.61	22	NI	768	183,964,000	2395.36
TP	361	86,587,000	2398.53	23	GR	368	88,200,000	2396.74
AT	347	83,091,000	2394.55	24	LS	300	71,400,000	2380.00
AO	301	72,429,000	2406.28	25	HD	150	35,700,000	2380.00
KI	302	72,301,000	2394.07	26	TP	105	25,100,000	2390.48
DD	300	71,400,000	2380.00	27	DR	85	20,301,000	2388.35
BQ	263	62,784,000	2387.22	28	CP	66	15,774,000	2390.00
YB	218	52,144,000	2391.93	29	PP	47	11,186,000	2380.00
XA	115	27,571,000	2397.48	30	IF	41	9,758,000	2380.00
HD	100	23,800,000	2380.00	31	YB	23	5,502,000	2392.17
CP	70	16,827,000	2403.86	32	XA	18	4,284,000	2380.00
DH	54	12,925,000	2393.52	33	JB	15	3,585,000	2390.00
AG	46	10,952,000	2380.87	34	DH	14	3,353,000	2395.00
LS	11	2,618,000	2380.00	35	RS	10	2,400,000	2400.00
HP	10	2,400,000	2400.00	36	KI	3	720,000	2400.00
YJ	7	1,680,000	2400.00	37	QA	2	480,000	2400.00
RG	5	1,195,000	2390.00	38	 	 	 	 
CD	1	239,000	2390.00	39	 	 	 	 
