BRISToBrokerCode	BRIS	Start	2026-02-11	End	2026-02-11	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
PD	49,864	12,103,037,000	2427.21	1	YU	48,957	11,866,758,000	2423.91
XL	44,232	10,702,596,000	2419.65	2	YP	36,244	8,821,189,000	2433.83
CC	36,449	8,822,804,000	2420.59	3	XL	26,763	6,496,015,000	2427.24
YP	25,140	6,121,282,000	2434.88	4	CC	20,859	5,074,942,000	2432.97
KZ	21,111	5,117,700,000	2424.19	5	PD	19,095	4,620,227,000	2419.60
NI	17,314	4,193,570,000	2422.07	6	KK	18,056	4,341,581,000	2404.51
XC	14,874	3,602,645,000	2422.11	7	AZ	17,538	4,234,531,000	2414.49
ZP	10,871	2,680,794,000	2466.00	8	XC	13,989	3,399,780,000	2430.32
SQ	11,035	2,676,761,000	2425.70	9	ZP	13,804	3,353,692,000	2429.51
AZ	11,015	2,665,085,000	2419.51	10	YB	12,986	3,129,693,000	2410.05
AK	8,819	2,141,922,000	2428.76	11	OD	12,038	2,948,215,000	2449.09
DR	5,454	1,329,696,000	2438.02	12	LG	10,170	2,464,714,000	2423.51
OD	5,292	1,277,492,000	2414.01	13	AK	8,738	2,127,526,000	2434.80
MG	4,612	1,123,683,000	2436.43	14	SQ	7,230	1,767,362,000	2444.48
EP	4,160	1,008,867,000	2425.16	15	DR	5,047	1,227,202,000	2431.55
KK	3,814	927,295,000	2431.29	16	XA	4,245	1,020,035,000	2402.91
BK	3,610	877,170,000	2429.83	17	KZ	4,045	978,400,000	2418.79
YU	3,587	867,557,000	2418.61	18	BK	3,638	883,025,000	2427.23
YB	3,579	866,864,000	2422.08	19	GR	3,579	866,829,000	2421.99
LG	3,531	854,651,000	2420.42	20	NI	3,448	835,904,000	2424.32
KI	3,312	800,365,000	2416.56	21	BQ	3,401	833,784,000	2451.58
AT	2,131	518,259,000	2432.00	22	EP	3,209	774,579,000	2413.77
BB	1,885	455,743,000	2417.73	23	KI	2,064	497,202,000	2408.92
DH	1,546	376,912,000	2437.98	24	SF	1,972	487,084,000	2470.00
DX	1,314	316,202,000	2406.41	25	MG	1,728	418,760,000	2423.38
XA	1,147	280,252,000	2443.35	26	AT	912	221,520,000	2428.95
CP	1,056	255,628,000	2420.72	27	DX	732	177,424,000	2423.83
GR	1,003	242,596,000	2418.70	28	CP	695	167,829,000	2414.81
LS	1,010	242,400,000	2400.00	29	DH	309	74,810,000	2421.04
BQ	611	148,726,000	2434.14	30	TP	177	42,911,000	2424.35
TP	526	127,877,000	2431.12	31	AI	170	41,400,000	2435.29
FS	500	120,500,000	2410.00	32	IF	128	30,969,000	2419.45
YJ	346	83,692,000	2418.84	33	YJ	111	26,717,000	2406.94
AI	313	75,940,000	2426.20	34	RG	54	12,968,000	2401.48
HP	301	72,813,000	2419.04	35	HP	53	12,839,000	2422.45
AG	163	39,556,000	2426.75	36	CD	25	6,033,000	2413.20
DD	150	36,750,000	2450.00	37	MU	20	4,900,000	2450.00
ZR	100	24,200,000	2420.00	38	PC	10	2,460,000	2460.00
PC	90	21,922,000	2435.78	39	HD	9	2,178,000	2420.00
MU	87	21,204,000	2437.24	40	GI	2	484,000	2420.00
IU	68	16,428,000	2415.88	41	 	 	 	 
AO	65	15,600,000	2400.00	42	 	 	 	 
IF	53	12,895,000	2433.02	43	 	 	 	 
PG	30	7,250,000	2416.67	44	 	 	 	 
CD	30	7,200,000	2400.00	45	 	 	 	 
HD	23	5,608,000	2438.26	46	 	 	 	 
MI	16	3,840,000	2400.00	47	 	 	 	 
AN	10	2,400,000	2400.00	48	 	 	 	 
IH	1	242,000	2420.00	49	 	 	 	 
