BRISToBrokerCode	BRIS	Start	2026-01-08	End	2026-01-08	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
YU	41,702	8,992,379,000	2156.34	1	AK	83,673	18,081,924,640	2161.00
XL	41,601	8,943,339,000	2149.79	2	CC	81,694	17,587,206,000	2152.81
CC	33,041	7,107,437,000	2151.10	3	RX	35,166	7,590,801,000	2158.56
BK	27,408	5,928,549,000	2163.07	4	SQ	27,619	5,925,166,000	2145.32
AK	26,886	5,829,084,640	2168.01	5	YU	24,697	5,314,150,000	2151.74
YP	23,613	5,086,441,000	2154.09	6	XL	10,334	2,225,117,000	2153.20
ZP	16,287	3,508,571,000	2154.22	7	XC	5,742	1,233,701,000	2148.56
XC	15,901	3,416,229,000	2148.44	8	AT	5,488	1,175,406,000	2141.77
OD	11,966	2,574,067,000	2151.15	9	OD	5,228	1,115,205,000	2133.14
PD	9,969	2,141,581,680	2148.19	10	YP	4,461	962,822,000	2158.31
NI	7,290	1,566,504,000	2148.84	11	NI	3,939	851,001,000	2160.45
SQ	6,465	1,386,299,000	2144.31	12	PD	1,956	421,527,680	2154.80
TP	5,094	1,105,069,000	2169.35	13	BK	1,122	242,833,000	2164.29
AT	4,415	952,661,000	2157.78	14	GR	519	111,071,000	2140.10
CP	3,959	845,528,000	2135.71	15	HD	400	85,200,000	2130.00
KK	3,230	696,223,000	2155.49	16	EP	319	68,301,000	2141.10
LG	2,552	548,486,000	2149.24	17	AZ	248	53,574,000	2160.24
EP	2,104	451,558,000	2146.19	18	CD	236	51,288,000	2173.22
DR	1,561	335,842,000	2151.45	19	ZP	221	47,376,000	2143.71
MG	1,377	298,809,000	2170.00	20	DR	169	36,417,000	2154.85
GR	1,207	260,472,000	2158.01	21	KK	159	34,240,000	2153.46
DH	1,067	230,250,000	2157.92	22	ZR	120	25,755,000	2146.25
YJ	776	166,842,000	2150.03	23	YB	101	21,761,000	2154.55
BQ	666	142,807,000	2144.25	24	XA	100	21,300,000	2130.00
AZ	634	136,545,000	2153.71	25	BQ	97	20,758,000	2140.00
XA	629	135,871,000	2160.11	26	DH	79	17,145,000	2170.25
CD	407	87,306,000	2145.11	27	DX	35	7,525,000	2150.00
KI	325	70,094,000	2156.74	28	HP	23	4,975,000	2163.04
PP	309	65,817,000	2130.00	29	MU	20	4,320,000	2160.00
AI	255	54,730,000	2146.27	30	TP	15	3,213,000	2142.00
MU	237	50,885,000	2147.05	31	LG	14	2,999,000	2142.14
ZR	225	48,175,000	2141.11	32	KI	13	2,821,000	2170.00
YB	204	43,808,000	2147.45	33	PP	13	2,769,000	2130.00
LS	118	25,392,000	2151.86	34	PC	3	650,000	2166.67
HD	100	21,700,000	2170.00	35	CP	1	217,000	2170.00
AN	100	21,400,000	2140.00	36	 	 	 	 
IF	77	16,644,000	2161.56	37	 	 	 	 
DX	61	13,050,000	2139.34	38	 	 	 	 
PC	60	12,834,000	2139.00	39	 	 	 	 
GI	50	10,650,000	2130.00	40	 	 	 	 
AG	36	7,689,000	2135.83	41	 	 	 	 
HP	32	6,878,000	2149.38	42	 	 	 	 
RG	20	4,300,000	2150.00	43	 	 	 	 
SF	7	1,526,000	2180.00	44	 	 	 	 
TF	1	213,000	2130.00	45	 	 	 	 
