BRISToBrokerCode	BRIS	Start	2025-11-17	End	2025-11-17	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
LG	50,625	12,554,901,000	2479.98	1	LG	51,179	12,692,040,000	2479.93
AK	42,271	10,490,546,000	2481.74	2	AK	41,478	10,281,511,000	2478.79
XL	13,197	3,272,493,000	2479.72	3	XL	12,928	3,211,747,000	2484.33
CC	12,160	3,015,752,000	2480.06	4	KZ	11,518	2,850,039,000	2474.42
YP	8,405	2,088,302,000	2484.59	5	YP	7,852	1,945,441,000	2477.64
XC	7,184	1,780,769,000	2478.80	6	XC	5,445	1,352,403,000	2483.75
PD	5,190	1,287,411,000	2480.56	7	NI	5,372	1,336,143,000	2487.24
SQ	3,879	960,910,000	2477.21	8	PD	5,150	1,280,056,000	2485.55
NI	3,105	769,439,000	2478.06	9	CC	5,008	1,244,116,000	2484.26
DH	3,048	755,756,000	2479.51	10	OD	4,868	1,208,114,000	2481.75
CP	2,134	529,050,000	2479.15	11	YU	1,955	484,849,000	2480.05
OD	1,626	403,085,000	2479.00	12	XA	1,283	319,448,000	2489.85
DR	1,356	336,210,000	2479.42	13	BB	1,258	312,095,000	2480.88
BQ	1,226	304,281,000	2481.90	14	SQ	1,247	309,214,000	2479.66
YB	1,011	250,708,000	2479.80	15	AT	1,061	263,396,000	2482.53
ZP	861	213,237,000	2476.62	16	DR	994	246,487,000	2479.75
YU	807	199,930,000	2477.45	17	DH	821	204,377,000	2489.37
GR	626	155,336,000	2481.41	18	GR	654	162,480,000	2484.40
AT	450	111,453,000	2476.73	19	BQ	571	142,078,000	2488.23
KK	410	101,646,000	2479.17	20	KK	388	96,442,000	2485.62
EP	363	89,656,000	2469.86	21	AZ	296	73,912,000	2497.03
BK	293	73,250,000	2500.00	22	YB	239	59,274,000	2480.08
DX	236	58,528,000	2480.00	23	RG	200	49,600,000	2480.00
TP	231	57,295,000	2480.30	24	EP	92	22,813,000	2479.67
AG	214	52,929,000	2473.32	25	ZP	66	16,296,000	2469.09
AZ	209	51,817,000	2479.28	26	HP	64	15,812,000	2470.63
MG	191	47,397,000	2481.52	27	TP	40	9,960,000	2490.00
YJ	181	44,788,000	2474.48	28	CD	30	7,440,000	2480.00
XA	126	31,242,000	2479.52	29	KI	18	4,467,000	2481.67
SH	115	28,490,000	2477.39	30	DX	15	3,720,000	2480.00
ZR	70	17,360,000	2480.00	31	CP	13	3,200,000	2461.54
KI	59	14,637,000	2480.85	32	AG	11	2,728,000	2480.00
HP	51	12,689,000	2488.04	33	PS	2	496,000	2480.00
LS	50	12,400,000	2480.00	34	 	 	 	 
HD	50	12,350,000	2470.00	35	 	 	 	 
AI	42	10,380,000	2471.43	36	 	 	 	 
CD	31	7,629,000	2460.97	37	 	 	 	 
MI	12	2,952,000	2460.00	38	 	 	 	 
PC	8	1,983,000	2478.75	39	 	 	 	 
PS	8	1,968,000	2460.00	40	 	 	 	 
IF	1	249,000	2490.00	41	 	 	 	 
BR	1	248,000	2480.00	42	 	 	 	 
RG	1	248,000	2480.00	43	 	 	 	 
IN	1	247,000	2470.00	44	 	 	 	 
SF	1	247,000	2470.00	45	 	 	 	 
