BRISToBrokerCode	BRIS	Start	2025-11-06	End	2025-11-06	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
AK	36,793	9,179,022,000	2494.77	1	KZ	35,205	8,774,890,000	2492.51
XL	26,339	6,568,883,000	2493.98	2	PD	34,556	8,620,591,000	2494.67
CC	15,491	3,860,589,000	2492.15	3	ZP	10,959	2,732,764,000	2493.63
XC	10,212	2,545,139,000	2492.30	4	AK	10,909	2,724,563,000	2497.54
BK	7,017	1,750,963,000	2495.32	5	KI	10,029	2,497,221,000	2490.00
OD	6,807	1,697,903,000	2494.35	6	XL	6,201	1,547,506,000	2495.57
YP	6,447	1,607,115,000	2492.81	7	XC	5,253	1,308,111,000	2490.22
PD	6,233	1,553,793,000	2492.85	8	YU	3,739	932,267,000	2493.36
SQ	2,814	701,221,000	2491.90	9	CC	3,551	884,498,000	2490.84
NI	2,665	663,662,000	2490.29	10	BK	2,560	637,739,000	2491.17
BB	1,967	490,070,000	2491.46	11	DR	2,486	619,688,000	2492.71
KK	1,683	419,130,000	2490.37	12	YP	2,319	578,096,000	2492.87
GR	1,471	367,165,000	2496.02	13	NI	1,009	251,803,000	2495.57
DR	1,265	314,436,000	2485.66	14	RX	1,005	250,737,000	2494.90
DH	1,126	280,381,000	2490.06	15	OD	762	190,364,000	2498.22
EP	732	182,617,000	2494.77	16	BB	500	124,500,000	2490.00
AT	505	125,766,000	2490.42	17	SQ	426	106,379,000	2497.16
LG	471	117,328,000	2491.04	18	GR	367	91,389,000	2490.16
CP	442	110,078,000	2490.45	19	BQ	305	75,990,000	2491.48
XA	353	88,147,000	2497.08	20	XA	300	74,700,000	2490.00
RX	354	88,146,000	2490.00	21	KK	294	73,266,000	2492.04
AZ	321	80,137,000	2496.48	22	DP	265	65,985,000	2490.00
TP	282	70,376,000	2495.60	23	AZ	254	63,307,000	2492.40
KI	273	68,120,000	2495.24	24	DX	252	62,948,000	2497.94
YB	252	62,646,000	2485.95	25	HD	218	54,300,000	2490.83
MU	250	62,100,000	2484.00	26	EP	199	49,560,000	2490.45
IF	226	56,075,000	2481.19	27	LG	78	19,432,000	2491.28
YU	210	52,303,000	2490.62	28	TP	50	12,500,000	2500.00
BQ	193	48,069,000	2490.62	29	DH	27	6,723,000	2490.00
HD	150	37,500,000	2500.00	30	AI	25	6,250,000	2500.00
YJ	140	34,860,000	2490.00	31	PC	20	5,000,000	2500.00
DX	130	32,476,000	2498.15	32	MU	19	4,731,000	2490.00
ZP	114	28,486,000	2498.77	33	YB	10	2,500,000	2500.00
BS	100	24,900,000	2490.00	34	CD	4	1,000,000	2500.00
CD	55	13,695,000	2490.00	35	AT	4	997,000	2492.50
AG	52	12,948,000	2490.00	36	CP	3	747,000	2490.00
PS	50	12,450,000	2490.00	37	MG	1	249,000	2490.00
PC	46	11,464,000	2492.17	38	 	 	 	 
AI	33	8,218,000	2490.30	39	 	 	 	 
MG	21	5,249,000	2499.52	40	 	 	 	 
AP	20	4,980,000	2490.00	41	 	 	 	 
BR	18	4,476,000	2486.67	42	 	 	 	 
QA	15	3,735,000	2490.00	43	 	 	 	 
HP	12	2,988,000	2490.00	44	 	 	 	 
SS	10	2,490,000	2490.00	45	 	 	 	 
SF	4	996,000	2490.00	46	 	 	 	 
