BUMIToBrokerCode	BUMI	Start	2025-12-17	End	2025-12-17	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
MG	8,566,671	302,321,897,000	352.90	1	AK	9,453,177	332,438,699,800	351.67
XL	4,893,119	172,530,752,200	352.60	2	MG	5,327,418	187,857,174,200	352.62
YU	4,204,968	147,483,999,600	350.74	3	YU	4,822,003	169,812,614,800	352.16
XC	2,243,411	79,076,908,800	352.49	4	XL	3,350,398	118,219,131,600	352.85
CP	2,135,888	75,548,778,000	353.71	5	CC	2,761,806	97,286,494,400	352.26
YP	2,070,776	73,053,585,000	352.78	6	XC	2,033,882	71,782,937,800	352.94
PD	1,783,501	62,905,994,800	352.71	7	ZP	1,937,407	68,211,919,600	352.08
CC	1,619,380	57,132,453,400	352.80	8	CP	1,826,045	64,580,117,800	353.66
AK	1,560,115	55,135,590,000	353.41	9	YP	1,688,140	59,665,805,800	353.44
SQ	1,054,193	37,106,501,400	351.99	10	PD	1,115,552	39,335,580,400	352.61
KK	1,012,059	35,725,119,400	352.99	11	SQ	821,636	29,016,262,200	353.15
BQ	960,332	33,978,838,800	353.82	12	DR	806,019	28,597,778,000	354.80
AZ	951,003	33,401,924,600	351.23	13	AZ	802,293	28,263,777,400	352.29
SS	920,000	32,428,000,000	352.48	14	KK	668,392	23,421,290,200	350.41
DR	890,844	31,345,697,800	351.87	15	NI	476,211	16,846,447,800	353.76
ZP	763,503	26,868,514,400	351.91	16	OD	357,333	12,627,159,200	353.37
NI	673,609	23,736,909,800	352.38	17	HD	348,890	12,323,328,800	353.22
XA	580,031	20,481,139,000	353.10	18	YB	345,585	12,197,672,400	352.96
EP	451,808	16,016,391,800	354.50	19	SS	300,000	10,700,000,000	356.67
YB	448,479	15,875,166,400	353.98	20	DH	260,913	9,259,785,600	354.90
HD	406,394	14,321,350,600	352.40	21	BQ	233,295	8,199,002,000	351.44
OD	364,740	12,833,259,800	351.85	22	YJ	216,977	7,645,754,600	352.38
LG	361,407	12,766,335,200	353.24	23	EP	211,981	7,499,481,200	353.78
GR	353,739	12,450,899,200	351.98	24	GR	202,706	7,167,155,800	353.57
BK	344,455	12,100,866,200	351.30	25	XA	197,034	6,928,903,000	351.66
AT	227,741	8,062,780,800	354.03	26	BK	186,856	6,590,455,000	352.70
AI	211,209	7,459,581,400	353.18	27	AO	175,232	6,171,886,400	352.21
BB	205,223	7,188,304,600	350.27	28	AG	168,879	5,977,825,400	353.97
YJ	198,086	6,932,141,000	349.96	29	AT	159,855	5,651,341,000	353.53
HP	185,743	6,547,595,000	352.51	30	LG	153,849	5,438,304,400	353.48
