BUMIToBrokerCode	BUMI	Start	2026-02-09	End	2026-02-09	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
MG	6,375,238	150,859,953,200	236.63	1	YU	8,472,371	199,812,958,400	235.84
XL	5,836,380	138,200,835,800	236.79	2	MG	7,397,829	174,939,094,800	236.47
LG	5,443,780	128,694,903,800	236.41	3	AK	7,192,952	170,090,449,400	236.47
AK	4,094,826	96,793,970,000	236.38	4	XL	5,287,954	124,912,203,400	236.22
PD	3,665,081	86,467,014,800	235.92	5	CC	4,333,645	102,127,222,600	235.66
CC	3,291,030	77,547,022,200	235.63	6	CP	3,533,954	83,423,190,200	236.06
YP	3,057,794	72,356,227,200	236.63	7	YP	2,940,652	69,549,837,200	236.51
CP	2,736,827	64,579,994,000	235.97	8	XC	2,539,045	59,931,346,200	236.04
ZP	2,638,150	62,235,535,400	235.91	9	PD	1,712,681	40,487,225,400	236.40
XC	1,948,389	45,851,760,200	235.33	10	BQ	1,666,879	39,317,021,800	235.87
BQ	1,926,297	45,038,577,200	233.81	11	HD	1,622,977	38,430,153,000	236.79
YU	1,839,256	43,325,256,800	235.56	12	YB	1,049,898	24,927,231,600	237.43
YJ	1,638,401	38,990,792,600	237.98	13	KK	1,008,933	23,771,572,000	235.61
HD	1,562,951	36,925,616,800	236.26	14	NI	923,841	21,819,374,800	236.18
BK	1,423,121	34,152,964,600	239.99	15	AZ	658,535	15,704,825,400	238.48
NI	1,134,750	26,492,484,800	233.47	16	AI	617,706	14,657,366,600	237.29
DR	1,114,395	26,270,605,200	235.74	17	LG	614,658	14,602,702,000	237.57
YB	1,039,929	24,772,579,200	238.21	18	SQ	609,136	14,384,364,200	236.14
KK	1,024,527	24,052,580,800	234.77	19	DR	604,271	14,186,543,200	234.77
AZ	854,459	20,194,009,200	236.34	20	YJ	556,162	13,023,752,000	234.17
AI	620,910	14,610,919,200	235.31	21	IN	521,000	12,378,764,600	237.60
SS	602,200	14,450,160,000	239.96	22	OD	475,849	11,240,291,200	236.22
OD	593,885	13,931,711,800	234.59	23	BK	436,372	10,281,108,200	235.60
DP	500,000	12,000,000,000	240.00	24	XA	432,219	10,194,496,400	235.86
SQ	465,477	10,967,036,400	235.61	25	ZP	420,929	9,916,827,600	235.59
EP	381,622	8,971,945,200	235.10	26	DH	373,043	8,553,162,800	229.28
IN	367,500	8,647,406,200	235.30	27	GR	340,923	8,071,935,200	236.77
