BUMIToBrokerCode	BUMI	Start	2026-01-13	End	2026-01-13	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XL	11,264,696	470,252,720,000	417.46	1	XL	11,571,720	482,956,324,600	417.36
YP	9,586,741	399,608,469,600	416.83	2	YU	8,189,024	344,120,304,000	420.22
MG	8,689,423	357,491,290,000	411.41	3	YP	8,011,623	334,688,477,000	417.75
CC	7,032,537	292,744,404,800	416.27	4	MG	7,309,987	303,366,505,000	415.00
PD	5,372,042	225,624,895,400	420.00	5	CC	6,633,697	277,122,577,800	417.75
AK	5,041,571	211,022,545,000	418.57	6	PD	5,445,462	225,852,167,000	414.75
XC	4,861,642	204,109,387,800	419.84	7	AK	4,466,544	190,111,730,400	425.63
YU	3,884,801	161,738,337,400	416.34	8	XC	4,465,798	185,831,333,200	416.12
BQ	3,184,163	130,403,098,800	409.54	9	IF	3,855,979	156,908,405,000	406.92
CP	3,092,200	128,721,651,600	416.28	10	AZ	3,129,639	128,866,268,000	411.76
ZP	3,087,383	128,566,197,600	416.42	11	BQ	3,139,342	128,426,063,000	409.09
AZ	2,986,219	124,663,604,400	417.46	12	KK	2,971,007	122,574,751,800	412.57
HD	2,502,427	104,044,767,600	415.78	13	CP	2,817,008	116,819,541,600	414.69
KK	2,129,093	88,856,830,400	417.35	14	SQ	2,354,718	97,136,267,600	412.52
SQ	2,013,196	84,025,423,000	417.37	15	HD	2,217,926	92,532,051,800	417.20
DR	1,779,764	74,107,178,800	416.39	16	LG	1,957,630	82,815,923,000	423.04
NI	1,773,206	74,003,777,800	417.34	17	NI	1,707,924	71,217,813,000	416.98
YJ	1,736,041	72,699,722,200	418.77	18	YJ	1,525,222	64,136,997,200	420.51
LG	1,702,299	71,685,234,400	421.11	19	OD	1,402,659	58,501,968,600	417.08
OD	1,698,473	70,350,454,000	414.20	20	DR	1,351,464	56,595,659,800	418.77
SS	1,625,090	69,455,034,000	427.39	21	GR	1,235,912	51,455,406,200	416.34
GR	1,180,852	48,812,857,400	413.37	22	RF	1,199,132	49,188,106,000	410.20
BK	1,120,140	46,049,238,200	411.10	23	ZP	1,124,448	46,766,230,200	415.90
YB	1,073,193	44,867,953,200	418.08	24	AI	1,119,248	46,206,896,200	412.84
XA	964,236	40,392,894,400	418.91	25	EP	1,000,850	41,952,272,600	419.17
TP	770,359	32,312,685,600	419.45	26	YB	953,123	39,712,669,600	416.66
BB	679,000	27,987,400,000	412.19	27	XA	787,521	33,326,691,600	423.18
DH	676,089	27,868,631,400	412.20	28	DH	743,341	31,374,598,400	422.08
EP	666,898	27,764,833,200	416.33	29	RG	569,528	23,321,148,200	409.48
AI	650,451	27,080,368,000	416.33	30	TP	529,755	21,639,314,600	408.48
IF	505,892	21,059,747,400	416.29	31	IU	424,114	18,227,633,200	429.78
KI	486,908	20,011,685,800	411.00	32	KI	368,177	15,411,333,600	418.58
RG	389,312	16,192,430,600	415.92	33	DP	299,271	12,698,182,000	424.30
IU	374,129	15,701,767,800	419.69	34	AO	247,860	10,463,496,000	422.15
HP	311,448	12,910,858,200	414.54	35	SS	205,500	8,950,100,000	435.53
RF	237,781	9,641,564,400	405.48	36	PI	215,000	8,849,000,000	411.58
AO	208,992	8,659,883,000	414.36	37	HP	169,161	7,159,747,600	423.25
AT	179,171	7,433,538,400	414.89	38	TS	150,000	6,240,000,000	416.00
AG	158,257	6,529,345,000	412.58	39	FZ	138,899	5,748,767,000	413.88
DX	152,037	6,420,581,200	422.30	40	BK	133,983	5,467,698,200	408.09
EL	127,120	5,282,496,000	415.55	41	RB	119,128	4,917,401,200	412.78
FZ	117,460	4,878,655,600	415.35	42	AT	109,023	4,564,298,600	418.65
IN	113,611	4,639,505,600	408.37	43	IN	97,035	4,089,849,000	421.48
LS	103,923	4,396,700,600	423.07	44	BR	92,875	3,854,136,000	414.98
CD	104,340	4,351,093,200	417.01	45	ES	90,288	3,769,796,000	417.53
RX	100,000	4,140,000,000	414.00	46	PF	75,000	3,015,000,000	402.00
BR	87,977	3,647,410,800	414.59	47	AG	57,387	2,384,606,400	415.53
ES	78,917	3,227,211,200	408.94	48	DX	56,557	2,333,775,200	412.64
DP	78,477	3,186,166,200	406.00	49	GA	53,650	2,230,490,000	415.75
GA	63,800	2,671,960,000	418.80	50	LS	38,799	1,608,124,600	414.48
PC	52,099	2,185,003,800	419.39	51	CD	35,535	1,501,982,400	422.68
IH	50,888	2,097,563,400	412.19	52	PC	31,951	1,353,470,200	423.61
FS	48,326	2,077,022,600	429.79	53	MI	31,902	1,336,660,800	418.99
OK	39,610	1,669,060,000	421.37	54	RO	20,970	898,146,000	428.30
RO	31,140	1,299,787,400	417.40	55	PG	21,242	879,591,600	414.08
PG	20,134	835,595,200	415.02	56	IH	20,426	857,435,800	419.78
AF	19,791	804,221,400	406.36	57	BS	20,000	808,000,000	404.00
RS	15,756	638,919,400	405.51	58	BB	15,000	620,895,200	413.93
AR	12,122	505,302,800	416.85	59	EL	10,105	410,243,000	405.98
MI	8,897	374,947,400	421.43	60	FS	7,855	331,877,600	422.50
AN	8,517	349,800,200	410.71	61	QA	4,361	184,198,800	422.38
