CDIAToBrokerCode	CDIA	Start	2026-02-10	End	2026-02-10	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XL	194,084	21,290,243,500	1096.96	1	XL	219,708	24,190,830,000	1101.04
AK	133,213	14,686,070,500	1102.45	2	CC	113,194	12,520,145,000	1106.08
CC	122,185	13,337,116,500	1091.55	3	AK	89,698	9,858,527,500	1099.08
MG	95,637	10,657,377,500	1114.36	4	XC	76,775	8,451,175,500	1100.77
XC	69,704	7,661,023,500	1099.08	5	YP	69,870	7,665,342,000	1097.09
NI	62,267	6,920,278,000	1111.39	6	PD	69,511	7,632,154,500	1097.98
BK	62,042	6,814,443,000	1098.36	7	CP	46,252	5,060,824,000	1094.18
ZP	57,480	6,308,457,500	1097.50	8	NI	42,744	4,724,792,000	1105.37
YP	52,516	5,775,918,500	1099.84	9	KK	40,525	4,453,912,000	1099.05
CP	46,274	5,118,810,500	1106.20	10	LG	37,975	4,152,653,500	1093.52
PD	41,586	4,562,689,500	1097.17	11	SQ	31,099	3,435,804,000	1104.80
SQ	22,898	2,506,889,500	1094.81	12	MG	26,195	2,869,683,000	1095.51
KK	11,634	1,272,949,000	1094.16	13	GR	24,047	2,619,660,500	1089.39
HP	10,991	1,203,990,000	1095.43	14	BK	23,298	2,561,143,000	1099.30
AO	9,498	1,035,252,500	1089.97	15	OD	22,202	2,435,472,500	1096.96
EP	9,292	1,010,547,000	1087.55	16	YU	16,503	1,830,462,000	1109.17
GR	9,068	992,648,000	1094.67	17	EP	15,477	1,707,574,000	1103.30
YB	8,397	931,745,500	1109.62	18	YB	12,887	1,410,480,000	1094.50
ZR	8,000	896,000,000	1120.00	19	ZP	12,386	1,362,581,000	1100.10
AZ	8,217	893,855,500	1087.81	20	AO	11,388	1,258,698,000	1105.28
OD	7,962	877,190,500	1101.72	21	AZ	9,287	1,012,489,500	1090.22
DR	4,745	525,831,000	1108.18	22	DR	8,093	894,912,500	1105.79
MI	4,500	496,900,000	1104.22	23	AT	6,506	733,078,500	1126.77
DX	4,332	476,232,000	1099.34	24	DH	5,488	605,986,500	1104.20
DH	3,126	344,209,500	1101.12	25	YJ	5,394	590,770,500	1095.24
FS	2,801	307,359,000	1097.32	26	DX	5,266	585,251,500	1111.38
BR	2,503	275,334,500	1100.02	27	LS	3,645	411,267,500	1128.31
KI	2,475	268,502,500	1084.86	28	AI	3,668	399,256,000	1088.48
AI	1,771	195,238,000	1102.42	29	BR	3,325	365,300,000	1098.65
BQ	1,668	183,606,000	1100.76	30	FS	3,250	358,267,500	1102.36
YJ	1,390	152,535,000	1097.37	31	ZR	3,020	327,720,000	1085.17
LG	1,069	116,832,500	1092.91	32	HP	2,764	306,407,000	1108.56
XA	688	73,452,500	1067.62	33	TP	2,661	287,938,000	1082.07
TP	614	67,959,500	1106.83	34	KI	2,538	279,735,000	1102.19
AG	491	54,172,500	1103.31	35	GA	2,100	228,550,000	1088.33
YU	464	51,390,000	1107.54	36	BQ	1,566	173,008,500	1104.78
AT	355	38,977,500	1097.96	37	AG	1,351	148,032,500	1095.73
LS	350	37,850,000	1081.43	38	ES	1,000	110,500,000	1105.00
RG	200	22,150,000	1107.50	39	SH	777	87,258,500	1123.02
AF	200	22,100,000	1105.00	40	XA	528	57,996,500	1098.42
HD	206	22,060,000	1070.87	41	OK	485	53,872,500	1110.77
IU	150	16,575,000	1105.00	42	FZ	500	52,500,000	1050.00
CD	102	11,002,000	1078.63	43	RG	350	39,500,000	1128.57
SH	100	10,800,000	1080.00	44	HD	312	34,150,000	1094.55
DU	75	8,152,000	1086.93	45	PG	300	32,550,000	1085.00
RB	37	4,031,500	1089.59	46	RO	284	30,854,500	1086.43
IF	33	3,716,500	1126.21	47	RB	251	27,576,000	1098.65
RF	10	1,095,000	1095.00	48	IU	230	25,275,000	1098.91
QA	6	663,500	1105.83	49	SA	200	21,850,000	1092.50
FZ	4	436,000	1090.00	50	QA	100	10,952,500	1095.25
MU	3	327,000	1090.00	51	CD	82	8,926,000	1088.54
 	 	 	 	52	SF	80	8,629,000	1078.63
 	 	 	 	53	DU	75	8,250,000	1100.00
 	 	 	 	54	PC	51	5,759,000	1129.22
 	 	 	 	55	SS	50	5,475,000	1095.00
 	 	 	 	56	MU	33	3,721,500	1127.73
 	 	 	 	57	IF	29	3,175,500	1095.00
 	 	 	 	58	BS	20	2,180,000	1090.00
 	 	 	 	59	PF	20	2,150,000	1075.00
