CDIAToBrokerCode	CDIA	Start	2026-02-18	End	2026-02-18	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XL	138,875	16,412,697,500	1181.83	1	XL	184,066	21,627,182,000	1174.97
AK	102,167	12,097,498,500	1184.09	2	XC	95,998	11,355,048,000	1182.84
CC	69,738	8,240,046,500	1181.57	3	NI	93,046	11,036,447,000	1186.13
ZP	60,585	7,132,474,500	1177.27	4	CC	83,285	9,851,315,000	1182.84
PD	51,393	6,044,614,000	1176.16	5	PD	62,781	7,435,046,000	1184.28
YP	51,134	6,042,069,000	1181.61	6	YP	48,682	5,756,539,500	1182.48
EP	51,043	6,021,883,000	1179.77	7	CP	37,285	4,412,899,000	1183.56
AO	47,152	5,606,898,500	1189.11	8	AK	30,565	3,599,189,500	1177.55
CP	42,616	5,075,950,500	1191.09	9	LG	28,673	3,395,281,500	1184.14
XC	41,501	4,888,053,500	1177.82	10	KK	26,413	3,105,236,000	1175.65
BK	37,099	4,396,766,000	1185.14	11	AO	25,364	3,005,703,000	1185.03
NI	31,381	3,705,484,000	1180.80	12	DR	25,399	3,001,746,000	1181.84
SQ	28,572	3,359,929,500	1175.95	13	CD	19,683	2,328,984,000	1183.25
GR	24,034	2,846,942,500	1184.55	14	DP	19,683	2,327,926,000	1182.71
XA	22,753	2,698,118,500	1185.83	15	MG	15,952	1,888,958,500	1184.15
OD	19,776	2,321,055,000	1173.67	16	OD	15,286	1,810,900,000	1184.68
AZ	16,434	1,935,401,500	1177.68	17	AZ	12,240	1,439,087,500	1175.73
DR	13,864	1,640,353,500	1183.17	18	GR	11,993	1,422,106,500	1185.78
KK	9,029	1,062,371,000	1176.62	19	HP	11,451	1,357,010,000	1185.06
MG	7,099	830,520,500	1169.91	20	SQ	11,366	1,349,425,500	1187.25
YB	5,972	708,526,500	1186.41	21	YU	8,451	1,005,043,000	1189.26
DH	4,983	592,113,500	1188.27	22	ZP	5,695	669,333,000	1175.30
AI	4,617	542,620,000	1175.27	23	FS	5,605	659,387,500	1176.43
LG	3,337	392,766,500	1177.00	24	EP	5,553	658,235,000	1185.37
TP	2,753	325,010,000	1180.57	25	YB	4,575	541,994,500	1184.69
HP	2,298	264,610,500	1151.48	26	YJ	2,677	315,165,000	1177.31
SH	2,000	237,500,000	1187.50	27	IF	2,549	304,780,500	1195.69
IN	2,000	235,500,000	1177.50	28	XA	1,880	222,146,500	1181.63
YU	1,774	208,035,500	1172.69	29	BR	1,800	213,000,000	1183.33
BQ	1,306	154,839,500	1185.60	30	BK	1,156	135,830,000	1175.00
KI	1,182	138,452,500	1171.34	31	BQ	1,070	127,806,500	1194.45
IF	1,085	128,012,500	1179.84	32	RO	1,054	124,582,000	1181.99
IH	1,000	119,000,000	1190.00	33	AI	1,053	123,821,000	1175.89
HD	1,002	118,235,000	1179.99	34	KI	896	105,342,500	1175.70
GA	1,000	113,500,000	1135.00	35	DH	848	100,088,000	1180.28
SF	628	73,608,000	1172.10	36	AT	793	93,972,000	1185.02
LS	615	72,302,500	1175.65	37	LS	506	60,311,000	1191.92
FZ	500	58,950,000	1179.00	38	RG	306	36,167,000	1181.93
ID	500	58,750,000	1175.00	39	AG	289	34,502,500	1193.86
RO	435	51,412,500	1181.90	40	TP	282	33,522,500	1188.74
AT	385	45,131,500	1172.25	41	IU	280	33,315,000	1189.82
YJ	358	42,025,000	1173.88	42	FZ	200	24,100,000	1205.00
DX	318	37,368,000	1175.09	43	PI	200	23,650,000	1182.50
AG	259	30,258,000	1168.26	44	DX	128	15,129,000	1181.95
RG	200	23,700,000	1185.00	45	SF	110	13,075,000	1188.64
BR	201	23,613,500	1174.80	46	PF	88	10,362,000	1177.50
IU	185	21,847,500	1180.95	47	SA	60	7,110,000	1185.00
QA	105	12,527,500	1193.10	48	HD	50	5,875,000	1175.00
ES	102	12,036,000	1180.00	49	GA	50	5,800,000	1160.00
PG	50	5,850,000	1170.00	50	MU	19	2,253,500	1186.05
JB	31	3,638,500	1173.71	51	QA	18	2,128,500	1182.50
SA	30	3,480,000	1160.00	52	JB	5	587,500	1175.00
RB	5	580,000	1160.00	53	GI	4	482,000	1205.00
