CDIAToBrokerCode	CDIA	Start	2026-01-13	End	2026-01-13	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
AK	268,980	40,941,145,000	1522.09	1	XL	258,442	39,152,793,000	1514.95
XL	210,246	31,883,868,000	1516.50	2	CC	164,931	24,991,650,000	1515.28
CC	202,683	30,689,897,000	1514.18	3	AK	155,109	23,486,202,500	1514.17
XC	91,085	13,801,470,000	1515.23	4	YP	120,291	18,202,485,500	1513.20
BK	74,358	11,280,722,500	1517.08	5	XC	109,806	16,660,626,500	1517.28
OD	74,312	11,233,822,000	1511.71	6	NI	63,221	9,584,652,500	1516.06
YP	68,302	10,353,489,000	1515.84	7	PD	58,923	8,938,100,000	1516.91
PD	59,797	9,053,979,500	1514.12	8	SQ	53,146	8,059,312,500	1516.45
ZP	54,559	8,242,424,000	1510.74	9	BK	33,556	5,086,835,500	1515.92
SQ	38,930	5,885,256,000	1511.75	10	LG	27,696	4,198,880,500	1516.06
AO	27,447	4,144,898,500	1510.15	11	BB	27,181	4,119,449,500	1515.56
GR	25,221	3,809,945,000	1510.62	12	BQ	25,895	3,951,279,500	1525.89
NI	25,143	3,809,250,500	1515.03	13	YU	24,881	3,790,448,500	1523.43
CP	21,003	3,210,286,500	1528.49	14	EP	24,285	3,684,057,000	1517.01
LG	21,065	3,166,014,000	1502.97	15	DH	23,943	3,633,469,500	1517.55
DH	14,181	2,138,338,000	1507.89	16	GR	21,889	3,315,600,500	1514.73
YU	14,204	2,135,719,000	1503.60	17	CD	20,066	3,033,813,000	1511.92
EP	13,511	2,058,251,500	1523.39	18	CP	19,758	3,008,361,500	1522.60
XA	13,134	1,984,287,500	1510.80	19	IF	18,088	2,726,347,500	1507.27
KK	13,023	1,974,939,000	1516.50	20	KK	16,797	2,544,400,000	1514.79
BQ	12,403	1,872,505,000	1509.72	21	DP	16,501	2,502,868,000	1516.80
PC	10,194	1,543,826,500	1514.45	22	DR	16,294	2,461,315,000	1510.57
BB	9,000	1,366,250,000	1518.06	23	AZ	14,164	2,155,103,000	1521.54
AZ	8,731	1,319,238,000	1510.98	24	TP	11,823	1,798,752,000	1521.40
DR	7,895	1,191,487,000	1509.17	25	HP	10,134	1,545,657,000	1525.22
TP	7,639	1,162,477,000	1521.77	26	EL	9,647	1,463,192,000	1516.73
KI	5,945	895,553,000	1506.40	27	OD	9,415	1,422,894,000	1511.31
MG	4,608	704,351,000	1528.54	28	AO	7,586	1,161,228,000	1530.75
HP	3,918	592,805,000	1513.03	29	RF	7,203	1,102,059,000	1530.00
YB	3,854	584,189,500	1515.80	30	HD	7,100	1,068,650,000	1505.14
BS	2,500	382,500,000	1530.00	31	XA	6,861	1,034,212,500	1507.38
ES	2,500	379,700,000	1518.80	32	AG	6,821	1,029,639,500	1509.51
FS	2,405	368,775,000	1533.37	33	YB	6,238	948,584,000	1520.65
LS	1,930	292,457,000	1515.32	34	ZP	4,886	746,443,500	1527.72
MU	1,657	250,587,000	1512.29	35	KI	4,198	637,704,500	1519.07
AT	1,235	187,024,000	1514.36	36	FZ	4,000	606,950,000	1517.38
HD	1,191	182,063,500	1528.66	37	YJ	3,696	559,183,500	1512.94
AG	1,201	180,858,500	1505.90	38	BR	2,705	410,472,500	1517.46
IF	1,172	178,082,500	1519.48	39	MG	2,557	390,771,000	1528.24
BR	1,060	161,510,000	1523.68	40	AI	2,107	321,405,500	1525.42
YJ	711	107,551,000	1512.67	41	AT	1,491	225,561,500	1512.82
FZ	601	91,951,000	1529.97	42	IN	800	123,600,000	1545.00
EL	500	75,750,000	1515.00	43	SA	334	50,935,000	1525.00
AI	424	64,305,500	1516.64	44	IU	250	37,325,000	1493.00
RF	350	53,675,000	1533.57	45	SF	237	35,732,000	1507.68
ID	210	31,420,000	1496.19	46	RG	150	22,400,000	1493.33
RO	203	30,656,500	1510.17	47	JB	140	21,140,000	1510.00
DX	184	27,880,500	1515.24	48	LS	127	19,293,000	1519.13
TS	100	15,250,000	1525.00	49	ID	100	15,100,000	1510.00
MI	100	15,250,000	1525.00	50	IH	95	14,277,500	1502.89
JB	100	14,850,000	1485.00	51	SH	95	14,215,000	1496.32
RS	50	7,550,000	1510.00	52	DX	91	13,923,000	1530.00
PG	50	7,500,000	1500.00	53	FS	78	11,828,000	1516.41
SH	30	4,560,000	1520.00	54	PC	30	4,590,000	1530.00
CD	12	1,805,500	1504.58	55	GI	26	4,004,000	1540.00
AN	11	1,661,500	1510.45	56	MU	1	150,500	1505.00
RG	10	1,500,000	1500.00	57	 	 	 	 
SF	9	1,354,000	1504.44	58	 	 	 	 
DU	3	454,500	1515.00	59	 	 	 	 
AD	2	305,000	1525.00	60	 	 	 	 
QA	2	302,000	1510.00	61	 	 	 	 
PO	1	150,000	1500.00	62	 	 	 	 
