CDIAToBrokerCode	CDIA	Start	2026-01-29	End	2026-01-29	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XL	856,958	97,902,127,500	1142.44	1	XL	853,780	95,958,043,500	1123.92
AK	740,890	85,051,040,500	1147.96	2	AK	692,819	81,505,812,500	1176.44
CC	514,030	57,681,342,500	1122.14	3	YP	408,434	45,426,976,000	1112.22
YP	429,804	47,972,331,000	1116.14	4	CC	385,899	44,830,231,500	1161.71
SQ	175,746	20,846,943,000	1186.20	5	XC	192,114	21,292,010,000	1108.30
MG	190,713	19,598,881,000	1027.66	6	MG	199,926	21,156,898,000	1058.24
PD	134,205	15,379,923,000	1146.00	7	PD	189,158	21,019,529,000	1111.22
XC	131,302	15,135,177,000	1152.70	8	CP	152,246	16,807,833,500	1103.99
BK	114,275	13,298,042,000	1163.69	9	AO	143,506	16,018,838,000	1116.25
NI	119,969	13,122,977,500	1093.86	10	ZP	137,765	15,835,654,000	1149.47
KK	89,222	10,167,984,000	1139.63	11	NI	118,199	13,454,499,000	1138.29
CP	91,672	10,124,543,000	1104.43	12	SQ	94,957	10,874,123,500	1145.16
AO	86,501	9,064,543,500	1047.91	13	YB	84,413	9,165,102,500	1085.75
ZP	80,531	8,961,932,500	1112.85	14	KK	63,558	7,061,218,000	1110.99
OD	70,559	8,276,516,000	1172.99	15	GR	52,312	5,828,340,000	1114.15
YB	56,799	6,217,457,500	1094.64	16	DR	49,626	5,694,997,500	1147.58
XA	51,337	5,834,371,000	1136.48	17	LG	49,856	5,637,578,500	1130.77
AZ	50,126	5,425,368,000	1082.35	18	AZ	50,861	5,451,010,000	1071.75
GR	44,842	4,964,814,000	1107.18	19	YU	44,922	5,132,834,000	1142.61
BQ	38,259	4,162,480,000	1087.97	20	BK	40,078	4,822,255,000	1203.22
EP	33,930	3,837,864,000	1131.11	21	OD	37,281	4,198,221,000	1126.10
DR	33,355	3,828,332,500	1147.75	22	BQ	35,556	3,904,428,000	1098.11
LG	31,764	3,681,075,500	1158.88	23	RF	30,000	3,045,000,000	1015.00
HP	24,542	2,804,913,500	1142.90	24	HP	27,930	2,971,340,500	1063.85
FZ	25,338	2,677,206,500	1056.60	25	EP	24,994	2,713,803,500	1085.78
YU	18,352	2,174,819,000	1185.06	26	FZ	23,226	2,422,936,500	1043.20
YJ	14,850	1,760,354,500	1185.42	27	CD	19,548	2,243,300,500	1147.59
AI	12,309	1,496,152,500	1215.49	28	DP	19,423	2,239,934,000	1153.24
BR	13,257	1,441,498,500	1087.35	29	XA	19,091	2,159,771,000	1131.30
SH	11,116	1,233,043,000	1109.25	30	SH	13,787	1,623,124,500	1177.29
TP	8,858	947,444,000	1069.59	31	BR	12,227	1,388,034,500	1135.22
DH	7,842	901,770,500	1149.92	32	TP	11,493	1,361,837,500	1184.93
AT	7,137	857,018,000	1200.81	33	KI	10,173	1,176,909,000	1156.89
KI	6,784	807,315,000	1190.03	34	YJ	9,159	1,023,756,500	1117.76
ID	4,190	491,230,000	1172.39	35	AT	7,638	928,948,500	1216.22
ES	2,620	290,906,500	1110.33	36	DH	8,016	889,316,500	1109.43
CD	2,674	280,530,500	1049.10	37	AI	8,068	859,076,000	1064.79
LS	2,483	265,554,500	1069.49	38	AG	3,204	356,050,000	1111.27
AF	2,549	260,748,000	1022.94	39	RO	2,933	351,568,000	1198.66
IF	2,008	238,189,500	1186.20	40	LS	2,743	305,083,000	1112.22
RO	1,808	186,487,500	1031.46	41	IF	2,456	259,049,500	1054.76
RG	1,625	178,412,500	1097.92	42	RG	1,798	214,750,500	1194.39
SS	1,475	149,712,500	1015.00	43	HD	1,910	211,730,000	1108.53
AG	1,408	149,129,000	1059.15	44	DX	1,362	158,143,000	1161.11
QA	1,167	143,480,500	1229.48	45	BF	1,300	143,000,000	1100.00
AR	1,000	115,250,000	1152.50	46	MU	1,354	142,563,000	1052.90
FS	944	107,372,000	1137.42	47	ID	1,200	136,430,000	1136.92
DX	922	104,419,000	1132.53	48	AF	1,063	120,747,500	1135.91
PC	657	72,145,500	1098.11	49	PG	807	83,860,500	1039.16
JB	505	60,512,500	1198.27	50	IN	515	61,577,500	1195.68
IN	470	55,315,000	1176.91	51	AR	500	57,500,000	1150.00
SA	430	47,050,000	1094.19	52	IU	515	56,297,500	1093.16
MU	360	42,475,000	1179.86	53	PC	401	46,713,500	1164.93
DU	400	42,400,000	1060.00	54	SA	370	44,575,000	1204.73
TF	300	31,500,000	1050.00	55	DU	400	41,600,000	1040.00
HD	252	28,328,000	1124.13	56	OK	355	36,682,500	1033.31
IH	251	28,023,000	1116.45	57	TF	300	34,050,000	1135.00
IU	210	23,090,000	1099.52	58	GI	200	25,300,000	1265.00
RS	116	13,277,500	1144.61	59	IH	220	24,300,000	1104.55
RF	100	11,000,000	1100.00	60	FS	139	15,588,500	1121.47
MI	100	10,150,000	1015.00	61	SF	128	14,366,500	1122.38
PG	75	9,275,000	1236.67	62	ES	110	13,165,000	1196.82
SF	78	8,423,500	1079.94	63	RB	111	11,561,500	1041.58
AN	68	7,289,000	1071.91	64	RS	50	5,812,500	1162.50
OK	50	5,499,500	1099.90	65	PF	30	3,330,000	1110.00
EL	50	5,075,000	1015.00	66	JB	20	2,030,000	1015.00
PF	30	3,045,000	1015.00	67	ZR	15	1,822,000	1214.67
BS	10	1,210,000	1210.00	68	AP	10	1,240,000	1240.00
AP	10	1,100,000	1100.00	69	QA	7	788,000	1125.71
 	 	 	 	70	AN	4	410,000	1025.00
