CUANToBrokerCode	CUAN	Start	2025-12-19	End	2025-12-19	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
CC	129,855	29,235,742,000	2251.41	1	BK	120,188	27,015,411,000	2247.76
AK	81,430	18,346,538,000	2253.04	2	CC	89,266	20,268,226,000	2270.54
BB	80,102	18,158,900,000	2266.97	3	RX	75,964	17,128,835,000	2254.86
XL	70,387	15,929,146,000	2263.08	4	AK	73,742	16,583,780,000	2248.89
YU	68,184	15,377,627,000	2255.31	5	XL	71,235	16,091,076,000	2258.87
ZP	53,711	12,070,129,000	2247.24	6	ZP	56,281	12,768,945,000	2268.78
YP	25,030	5,640,448,000	2253.48	7	YP	29,932	6,766,903,000	2260.76
XC	24,735	5,590,443,000	2260.13	8	PD	29,675	6,710,275,000	2261.26
BK	20,586	4,631,632,000	2249.89	9	YU	28,765	6,445,428,000	2240.72
MG	19,041	4,297,216,000	2256.82	10	XC	27,709	6,269,725,000	2262.70
SQ	13,902	3,137,530,000	2256.89	11	SQ	20,784	4,715,632,000	2268.88
PD	13,704	3,096,167,000	2259.32	12	CD	18,517	4,157,058,000	2245.00
LG	13,233	3,030,034,000	2289.76	13	LG	15,248	3,424,646,000	2245.96
KZ	12,960	2,903,040,000	2240.00	14	NI	9,064	2,045,030,000	2256.21
YB	12,415	2,834,032,000	2282.75	15	OD	8,902	1,994,562,000	2240.58
PO	10,100	2,283,500,000	2260.89	16	MG	5,577	1,269,053,000	2275.51
NI	10,009	2,263,614,000	2261.58	17	AZ	5,529	1,248,210,000	2257.57
CP	5,210	1,170,614,000	2246.86	18	CP	4,099	924,831,000	2256.24
RX	5,190	1,162,560,000	2240.00	19	KK	4,052	915,234,000	2258.72
HP	4,913	1,121,429,000	2282.57	20	YB	3,755	844,319,000	2248.52
CD	4,772	1,091,259,000	2286.80	21	EP	3,559	804,900,000	2261.59
KK	4,319	973,517,000	2254.03	22	BQ	2,845	644,700,000	2266.08
ES	4,100	926,400,000	2259.51	23	GR	2,619	594,034,000	2268.17
AZ	4,077	923,848,000	2266.00	24	DH	1,729	391,721,000	2265.59
OD	3,676	830,952,000	2260.48	25	AT	1,694	383,557,000	2264.21
YJ	3,488	782,337,000	2242.94	26	ES	1,650	376,200,000	2280.00
GR	3,353	753,956,000	2248.60	27	AG	1,655	374,045,000	2260.09
BQ	2,789	629,721,000	2257.87	28	HP	1,609	364,213,000	2263.60
TP	2,685	605,975,000	2256.89	29	KI	1,578	354,138,000	2244.22
AG	2,300	515,467,000	2241.16	30	DR	1,427	322,257,000	2258.28
DR	2,152	487,166,000	2263.78	31	YJ	1,286	290,153,000	2256.24
EP	2,126	481,179,000	2263.31	32	BR	1,200	274,500,000	2287.50
SH	2,000	452,000,000	2260.00	33	HD	1,195	272,340,000	2279.00
AT	1,630	367,238,000	2252.99	34	SH	1,000	227,000,000	2270.00
DH	1,307	294,137,000	2250.47	35	RG	1,005	225,145,000	2240.25
XA	1,257	285,921,000	2274.63	36	LS	790	180,400,000	2283.54
BR	1,231	279,864,000	2273.47	37	IF	765	174,520,000	2281.31
LS	1,200	272,800,000	2273.33	38	AO	505	115,085,000	2278.91
KI	909	203,912,000	2243.26	39	IN	500	112,500,000	2250.00
FZ	800	180,175,000	2252.19	40	TP	391	87,774,000	2244.86
AF	800	177,600,000	2220.00	41	XA	381	86,561,000	2271.94
FS	700	157,050,000	2243.57	42	AI	194	43,842,000	2259.90
AO	657	146,924,000	2236.29	43	DX	104	23,903,000	2298.37
IU	350	78,400,000	2240.00	44	FZ	104	23,319,000	2242.21
PG	310	69,590,000	2244.84	45	IU	90	20,490,000	2276.67
RF	200	45,000,000	2250.00	46	RF	50	11,200,000	2240.00
DX	122	27,530,000	2256.56	47	PO	10	2,310,000	2310.00
RO	80	18,000,000	2250.00	48	PF	6	1,356,000	2260.00
IF	73	16,481,000	2257.67	49	QA	1	224,000	2240.00
AI	44	9,856,000	2240.00	50	 	 	 	 
HD	10	2,260,000	2260.00	51	 	 	 	 
PC	6	1,359,000	2265.00	52	 	 	 	 
SS	3	676,000	2253.33	53	 	 	 	 
SF	1	226,000	2260.00	54	 	 	 	 
MU	1	225,000	2250.00	55	 	 	 	 
TF	1	224,000	2240.00	56	 	 	 	 
