CUANToBrokerCode	CUAN	Start	2025-12-09	End	2025-12-09	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XL	198,802	51,645,494,000	2597.84	1	XL	146,141	37,972,429,000	2598.34
YB	79,881	20,779,937,000	2601.36	2	AK	141,750	36,852,236,000	2599.81
ZP	67,579	17,572,622,000	2600.31	3	CC	90,499	23,630,100,000	2611.09
CC	67,437	17,495,385,000	2594.33	4	DR	78,392	20,335,358,000	2594.06
YP	60,043	15,595,701,000	2597.42	5	PD	73,704	19,071,168,000	2587.54
AK	57,346	14,912,119,000	2600.38	6	YP	57,973	15,064,227,000	2598.49
XC	56,033	14,584,713,000	2602.88	7	YB	57,359	14,830,624,000	2585.58
PD	38,992	10,125,656,000	2596.85	8	XC	48,237	12,555,743,000	2602.93
CD	38,396	10,027,926,000	2611.71	9	MG	30,268	7,906,852,000	2612.28
HP	36,196	9,391,280,000	2594.56	10	BK	29,377	7,674,260,000	2612.34
LG	23,947	6,224,664,000	2599.35	11	AZ	27,343	7,096,156,000	2595.24
AZ	23,513	6,105,267,000	2596.55	12	EP	26,569	6,931,558,000	2608.89
BK	21,105	5,466,253,000	2590.03	13	ZP	22,694	5,915,222,000	2606.51
SQ	20,090	5,211,856,000	2594.25	14	CP	19,502	5,076,586,000	2603.11
XA	19,025	4,941,854,000	2597.56	15	NI	19,044	4,937,805,000	2592.84
YU	18,616	4,899,525,000	2631.89	16	AO	17,321	4,489,671,000	2592.04
NI	18,812	4,864,745,000	2585.98	17	BB	14,147	3,675,656,000	2598.19
CP	15,861	4,111,444,000	2592.17	18	HP	12,872	3,343,906,000	2597.81
KK	13,673	3,547,181,000	2594.30	19	KK	12,553	3,262,444,000	2598.94
MG	13,234	3,431,959,000	2593.29	20	SQ	11,772	3,070,764,000	2608.53
RX	12,559	3,281,890,000	2613.18	21	YU	10,647	2,748,853,000	2581.81
DR	12,395	3,216,626,000	2595.10	22	GR	10,277	2,667,735,000	2595.83
EP	12,319	3,191,969,000	2591.09	23	DH	10,200	2,643,076,000	2591.25
OD	11,002	2,854,130,000	2594.19	24	AT	6,875	1,792,164,000	2606.78
YJ	10,949	2,846,604,000	2599.88	25	AG	6,453	1,671,078,000	2589.61
DH	10,212	2,624,202,000	2569.72	26	LG	6,441	1,668,051,000	2589.74
AT	9,627	2,518,046,000	2615.61	27	OD	5,777	1,501,249,000	2598.67
BQ	7,660	1,982,455,000	2588.06	28	BR	4,780	1,242,080,000	2598.49
TP	5,631	1,469,387,000	2609.46	29	AI	4,453	1,147,601,000	2577.14
BR	5,237	1,363,425,000	2603.45	30	RG	4,100	1,055,189,000	2573.63
GR	5,083	1,315,485,000	2588.01	31	YJ	2,917	757,568,000	2597.08
AO	4,588	1,185,892,000	2584.77	32	PC	2,500	652,500,000	2610.00
AI	4,402	1,141,472,000	2593.08	33	CD	2,310	594,973,000	2575.64
KI	3,907	1,006,256,000	2575.52	34	XA	1,477	382,956,000	2592.80
BB	3,777	982,555,000	2601.42	35	TP	1,193	309,676,000	2595.78
PC	2,507	649,304,000	2589.96	36	LS	980	252,980,000	2581.43
IF	2,047	535,354,000	2615.31	37	BQ	942	244,830,000	2599.04
AH	1,870	496,640,000	2655.83	38	IF	678	175,673,000	2591.05
HD	1,805	473,940,000	2625.71	39	HD	500	128,500,000	2570.00
AG	1,681	434,248,000	2583.27	40	KI	452	117,616,000	2602.12
LS	790	205,194,000	2597.39	41	SA	150	39,150,000	2610.00
RF	650	170,100,000	2616.92	42	IU	150	38,750,000	2583.33
AR	600	154,500,000	2575.00	43	SH	110	28,730,000	2611.82
MU	460	119,680,000	2601.74	44	FS	100	26,100,000	2610.00
TF	370	96,200,000	2600.00	45	ID	40	10,440,000	2610.00
PO	300	77,900,000	2596.67	46	QA	39	10,154,000	2603.59
FZ	257	66,697,000	2595.21	47	DX	26	6,759,000	2599.62
IU	154	39,496,000	2564.68	48	RO	25	6,475,000	2590.00
RG	140	36,020,000	2572.86	49	ES	6	1,560,000	2600.00
DX	131	34,197,000	2610.46	50	DU	5	1,300,000	2600.00
SH	110	28,390,000	2580.91	51	 	 	 	 
FS	100	25,900,000	2590.00	52	 	 	 	 
AN	100	25,900,000	2590.00	53	 	 	 	 
RO	95	24,610,000	2590.53	54	 	 	 	 
ES	14	3,684,000	2631.43	55	 	 	 	 
RS	5	1,305,000	2610.00	56	 	 	 	 
QA	5	1,297,000	2594.00	57	 	 	 	 
