CUANToBrokerCode	CUAN	Start	2026-02-11	End	2026-02-11	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XL	748,116	137,726,909,000	1840.98	1	XL	873,784	160,496,471,500	1836.80
AK	457,963	82,782,129,000	1807.62	2	YP	359,470	66,497,284,000	1849.87
YP	334,271	61,805,981,500	1848.98	3	AK	263,548	48,764,373,500	1850.30
CC	223,046	40,658,516,500	1822.88	4	CC	248,695	45,637,462,000	1835.08
PD	212,797	39,261,356,500	1845.01	5	XC	237,243	43,617,842,500	1838.53
XC	183,862	33,841,197,500	1840.58	6	PD	208,505	38,061,227,000	1825.43
BK	147,722	27,774,201,000	1880.17	7	CP	108,930	19,999,353,000	1835.98
CP	132,858	24,373,552,500	1834.56	8	KK	86,115	15,765,899,000	1830.80
XA	85,055	15,204,983,500	1787.66	9	XA	86,619	15,483,446,000	1787.53
ZP	81,281	14,828,106,000	1824.30	10	NI	78,430	14,259,182,500	1818.08
HD	73,507	13,445,536,000	1829.15	11	HD	75,784	13,958,148,500	1841.83
KK	69,429	12,880,596,000	1855.22	12	MG	70,473	12,971,671,000	1840.66
NI	69,506	12,806,953,500	1842.57	13	SQ	56,320	10,278,938,500	1825.10
MG	69,312	12,651,755,500	1825.33	14	GR	51,354	9,495,198,500	1848.97
YJ	58,053	10,955,814,500	1887.21	15	OD	47,467	8,549,659,500	1801.18
GR	54,489	10,112,670,000	1855.91	16	YB	45,314	8,334,914,000	1839.37
BQ	47,478	8,736,201,500	1840.05	17	ZP	44,390	8,220,061,000	1851.78
YB	43,113	7,951,822,000	1844.41	18	BQ	44,844	8,181,786,000	1824.50
EP	38,334	7,012,321,500	1829.27	19	PO	43,130	7,757,485,000	1798.63
LG	35,706	6,421,997,000	1798.58	20	BK	40,268	7,455,416,500	1851.45
AZ	33,132	6,080,241,000	1835.16	21	LG	39,628	7,322,390,000	1847.78
BB	27,648	5,038,568,500	1822.40	22	YU	33,688	6,060,245,000	1798.93
SQ	25,368	4,651,826,500	1833.74	23	AZ	32,437	5,986,551,000	1845.59
DH	22,724	4,083,575,500	1797.03	24	DH	32,648	5,889,739,500	1804.01
HP	21,208	3,844,061,500	1812.55	25	EP	31,958	5,826,995,500	1823.33
AT	20,928	3,833,561,000	1831.79	26	AT	28,948	5,304,991,500	1832.59
YU	20,483	3,642,230,000	1778.17	27	AO	23,362	4,374,824,000	1872.62
IF	19,037	3,452,894,500	1813.78	28	IF	22,811	4,111,974,500	1802.63
AO	17,195	3,188,235,500	1854.16	29	DR	21,679	3,975,186,500	1833.66
DR	16,575	3,060,486,000	1846.45	30	TP	19,459	3,581,483,500	1840.53
IN	15,150	2,850,850,000	1881.75	31	HP	15,721	2,880,910,000	1832.52
OD	11,482	2,089,815,000	1820.08	32	CD	12,450	2,324,066,500	1866.72
KI	9,251	1,729,780,500	1869.83	33	BB	12,644	2,310,905,500	1827.67
AI	8,003	1,427,603,500	1783.84	34	KI	10,589	1,921,640,000	1814.75
FZ	6,510	1,183,965,000	1818.69	35	AI	9,970	1,804,982,500	1810.41
ES	4,584	843,948,000	1841.07	36	YJ	9,357	1,682,760,000	1798.40
CD	3,706	686,117,500	1851.37	37	AG	6,106	1,116,170,000	1827.99
PC	2,000	375,000,000	1875.00	38	DX	4,503	809,963,000	1798.72
TP	1,888	340,522,500	1803.61	39	LS	3,168	575,892,000	1817.84
SH	1,627	303,186,000	1863.47	40	PC	3,050	544,775,000	1786.15
DX	1,381	252,678,000	1829.67	41	ES	2,871	527,563,500	1837.56
PO	1,000	171,000,000	1710.00	42	FS	3,055	524,055,000	1715.40
AG	867	161,066,000	1857.74	43	FZ	2,815	523,482,500	1859.62
IU	605	114,900,000	1899.17	44	RF	2,231	420,477,000	1884.70
RF	600	111,700,000	1861.67	45	SH	1,650	308,960,000	1872.48
MI	535	100,312,500	1875.00	46	RO	550	104,140,000	1893.45
IH	500	92,850,000	1857.00	47	IH	500	94,150,000	1883.00
BR	378	71,694,000	1896.67	48	IU	375	68,087,500	1815.67
RO	331	61,886,500	1869.68	49	ID	360	67,445,000	1873.47
RG	150	26,375,000	1758.33	50	PG	304	55,849,000	1837.14
SS	100	18,400,000	1840.00	51	SA	230	41,690,000	1812.61
LS	100	17,200,000	1720.00	52	IN	179	33,222,500	1856.01
JB	35	6,455,000	1844.29	53	MU	175	32,862,500	1877.86
QA	33	5,659,000	1714.85	54	QA	144	26,653,500	1850.94
SA	30	5,310,000	1770.00	55	RG	141	25,839,500	1832.59
AN	4	748,000	1870.00	56	BR	122	21,879,000	1793.36
 	 	 	 	57	PF	100	18,975,000	1897.50
 	 	 	 	58	IT	100	17,500,000	1750.00
 	 	 	 	59	SS	80	14,880,000	1860.00
 	 	 	 	60	OK	50	9,500,000	1900.00
 	 	 	 	61	AN	35	6,632,500	1895.00
 	 	 	 	62	JB	35	5,985,000	1710.00
 	 	 	 	63	BS	30	5,130,000	1710.00
 	 	 	 	64	TF	23	4,347,000	1890.00
 	 	 	 	65	RB	12	2,198,500	1832.08
 	 	 	 	66	PI	8	1,356,000	1695.00
 	 	 	 	67	AR	6	1,056,000	1760.00
 	 	 	 	68	SF	4	740,000	1850.00
 	 	 	 	69	ZR	2	381,000	1905.00
