CUANToBrokerCode	CUAN	Start	2026-02-06	End	2026-02-06	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XL	163,099	27,193,642,000	1667.31	1	XL	152,087	25,282,623,500	1662.38
AK	98,438	16,313,785,500	1657.27	2	BB	122,966	20,267,781,500	1648.24
CC	71,407	11,859,693,500	1660.86	3	AK	83,775	14,017,196,500	1673.20
NI	68,951	11,428,756,000	1657.52	4	CC	72,239	12,091,904,000	1673.87
YP	53,298	8,911,036,000	1671.93	5	XC	55,802	9,247,733,500	1657.24
ZP	47,078	7,864,554,500	1670.54	6	YP	48,243	8,021,159,000	1662.66
XC	43,167	7,163,566,500	1659.50	7	ZP	28,121	4,607,727,500	1638.54
CP	41,287	6,800,657,500	1647.17	8	MG	26,542	4,386,143,000	1652.53
PD	37,183	6,146,352,000	1653.00	9	PD	25,809	4,313,486,000	1671.31
KK	30,533	5,031,824,500	1648.00	10	NI	22,105	3,706,266,000	1676.66
OD	22,517	3,784,875,500	1680.90	11	CP	19,592	3,234,939,000	1651.15
YB	15,924	2,637,030,500	1656.01	12	ES	17,129	2,895,051,000	1690.15
SQ	14,308	2,386,065,000	1667.64	13	YU	17,443	2,873,597,500	1647.42
XA	12,173	2,000,234,000	1643.17	14	YB	16,606	2,750,046,500	1656.06
EP	11,404	1,920,462,500	1684.03	15	KK	14,317	2,374,851,500	1658.76
AZ	9,210	1,524,260,000	1655.01	16	OD	12,457	2,074,106,500	1665.01
KI	8,386	1,379,503,000	1645.01	17	XA	11,038	1,807,754,000	1637.76
AG	7,991	1,305,939,000	1634.26	18	EP	10,823	1,805,784,500	1668.47
BQ	7,530	1,264,681,000	1679.52	19	SQ	7,894	1,317,543,000	1669.04
LG	7,197	1,199,737,500	1667.00	20	AG	7,404	1,239,154,500	1673.63
GR	6,483	1,077,306,000	1661.74	21	BK	7,485	1,237,674,000	1653.54
HD	6,096	1,014,723,500	1664.57	22	HD	7,197	1,203,113,500	1671.69
MG	5,746	975,874,500	1698.35	23	AZ	7,126	1,185,826,500	1664.08
TP	5,821	954,873,500	1640.39	24	HP	6,299	1,062,432,500	1686.67
DH	5,600	936,694,000	1672.67	25	DR	6,203	1,026,701,500	1655.17
FZ	5,192	879,799,000	1694.53	26	FZ	5,192	866,149,000	1668.24
DR	5,292	872,908,500	1649.49	27	LG	4,632	780,883,500	1685.85
BK	4,924	830,646,500	1686.93	28	BQ	3,768	631,370,500	1675.61
YU	3,897	648,241,000	1663.44	29	YJ	3,672	609,570,000	1660.05
AO	3,666	608,210,000	1659.06	30	AO	2,895	477,905,000	1650.79
RX	2,857	481,404,500	1685.00	31	DH	2,757	464,615,500	1685.22
HP	2,279	374,663,500	1643.98	32	CD	2,049	344,827,500	1682.91
LS	2,277	372,655,000	1636.61	33	GR	1,483	247,304,000	1667.59
YJ	2,076	341,351,500	1644.28	34	LS	1,010	171,695,000	1699.95
CD	1,653	279,086,500	1688.36	35	KI	1,006	169,313,500	1683.04
AT	1,280	209,769,500	1638.82	36	IF	905	148,886,500	1645.15
AI	739	121,001,000	1637.36	37	TP	810	137,072,500	1692.25
PC	631	103,994,000	1648.08	38	ID	760	123,465,500	1624.55
ES	553	92,173,000	1666.78	39	KZ	715	118,634,000	1659.22
AN	500	83,000,000	1660.00	40	AN	500	85,500,000	1710.00
FS	225	36,705,000	1631.33	41	AI	399	68,194,000	1709.12
DU	200	32,500,000	1625.00	42	AT	251	41,037,500	1634.96
DX	194	31,971,500	1648.02	43	PC	220	36,835,000	1674.32
IF	133	22,170,000	1666.92	44	DU	200	32,300,000	1615.00
ID	120	19,350,000	1612.50	45	RO	90	14,970,000	1663.33
SA	110	18,210,000	1655.45	46	DX	56	9,243,000	1650.54
AF	100	16,950,000	1695.00	47	IU	50	8,250,000	1650.00
MU	100	16,700,000	1670.00	48	RF	50	8,150,000	1630.00
PG	100	16,700,000	1670.00	49	SH	25	4,162,500	1665.00
IT	100	16,500,000	1650.00	50	JB	11	1,800,000	1636.36
RO	90	14,640,000	1626.67	51	RG	10	1,660,000	1660.00
IU	50	8,175,000	1635.00	52	SA	10	1,615,000	1615.00
SH	37	6,115,000	1652.70	53	QA	2	335,000	1675.00
RG	20	3,290,000	1645.00	54	PI	1	171,500	1715.00
PI	9	1,504,500	1671.67	55	 	 	 	 
