CUANToBrokerCode	CUAN	Start	2026-01-09	End	2026-01-09	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XL	97,434	19,711,056,000	2023.02	1	AK	88,440	17,952,324,000	2029.89
CC	67,440	13,650,353,000	2024.07	2	XL	64,972	13,159,745,000	2025.45
XC	43,209	8,747,404,000	2024.44	3	CC	62,530	12,688,748,000	2029.23
YP	40,997	8,294,582,000	2023.22	4	AZ	44,933	9,055,470,000	2015.33
AK	40,119	8,131,149,000	2026.76	5	XC	28,271	5,698,687,000	2015.74
OD	38,278	7,741,678,000	2022.49	6	YB	27,510	5,574,927,000	2026.51
PD	22,412	4,532,118,000	2022.18	7	YP	25,278	5,108,206,000	2020.81
ZP	20,955	4,252,697,000	2029.44	8	BK	21,016	4,286,397,000	2039.59
BK	20,603	4,157,869,000	2018.09	9	ZP	20,859	4,207,982,000	2017.35
CP	15,113	3,048,107,000	2016.88	10	HP	18,154	3,675,882,000	2024.83
KK	13,284	2,687,458,000	2023.08	11	SQ	14,195	2,861,290,000	2015.70
NI	13,102	2,645,951,000	2019.50	12	PD	13,949	2,823,873,000	2024.43
LG	12,772	2,596,197,000	2032.73	13	GR	13,217	2,682,453,000	2029.55
CD	9,430	1,906,183,000	2021.40	14	TP	13,003	2,609,633,000	2006.95
PO	9,055	1,832,035,000	2023.23	15	LG	10,992	2,211,644,000	2012.05
AZ	8,476	1,719,577,000	2028.76	16	CP	10,605	2,143,399,000	2021.12
DR	8,363	1,684,049,000	2013.69	17	IF	10,003	2,009,563,000	2008.96
TP	8,088	1,649,820,000	2039.84	18	AI	9,415	1,894,483,000	2012.20
SQ	7,143	1,447,751,000	2026.81	19	CD	9,094	1,838,491,000	2021.65
BQ	6,782	1,369,932,000	2019.95	20	NI	6,499	1,316,639,000	2025.91
YB	6,141	1,241,594,000	2021.81	21	EP	5,988	1,209,885,000	2020.52
GR	6,124	1,236,693,000	2019.42	22	MG	5,212	1,056,515,000	2027.08
EP	6,043	1,226,540,000	2029.69	23	KK	5,177	1,050,999,000	2030.13
DH	3,446	695,634,000	2018.67	24	DR	3,891	785,003,000	2017.48
HP	3,397	686,259,000	2020.19	25	YU	3,833	771,930,000	2013.91
AI	3,285	663,900,000	2021.00	26	OD	3,321	672,310,000	2024.42
XA	3,077	622,627,000	2023.49	27	ES	2,860	584,940,000	2045.24
MG	2,595	527,397,000	2032.36	28	PC	2,065	415,000,000	2009.69
YU	2,591	521,612,000	2013.17	29	XA	1,754	353,247,000	2013.95
YJ	1,976	397,784,000	2013.08	30	YJ	1,174	237,176,000	2020.24
LS	1,110	223,600,000	2014.41	31	DH	1,109	224,870,000	2027.68
HD	1,035	210,025,000	2029.23	32	HD	980	196,980,000	2010.00
PG	1,000	200,000,000	2000.00	33	KI	597	122,946,000	2059.40
FS	900	182,400,000	2026.67	34	GA	500	100,500,000	2010.00
ES	861	177,365,000	2059.99	35	AO	339	68,706,000	2026.73
DX	769	155,463,000	2021.63	36	DX	277	55,881,000	2017.36
AT	671	135,319,000	2016.68	37	AG	145	29,557,000	2038.41
IN	600	120,800,000	2013.33	38	IU	115	23,575,000	2050.00
KI	571	115,201,000	2017.53	39	BQ	111	22,426,000	2020.36
GA	500	103,000,000	2060.00	40	IN	110	22,100,000	2009.09
IF	483	97,302,000	2014.53	41	AT	56	11,272,000	2012.86
QA	459	92,690,000	2019.39	42	FS	52	10,660,000	2050.00
SH	406	83,206,000	2049.41	43	ZR	50	10,175,000	2035.00
AG	257	51,696,000	2011.52	44	SA	35	7,035,000	2010.00
BR	250	50,500,000	2020.00	45	LS	8	1,608,000	2010.00
AO	200	40,268,000	2013.40	46	QA	1	203,000	2030.00
BS	150	30,450,000	2030.00	47	 	 	 	 
JB	105	21,315,000	2030.00	48	 	 	 	 
PC	102	20,670,000	2026.47	49	 	 	 	 
OK	100	20,100,000	2010.00	50	 	 	 	 
AR	100	20,000,000	2000.00	51	 	 	 	 
MU	87	17,515,000	2013.22	52	 	 	 	 
IH	50	10,200,000	2040.00	53	 	 	 	 
RG	50	10,150,000	2030.00	54	 	 	 	 
RO	50	10,050,000	2010.00	55	 	 	 	 
FZ	40	8,110,000	2027.50	56	 	 	 	 
ZR	29	5,854,000	2018.62	57	 	 	 	 
IU	20	4,060,000	2030.00	58	 	 	 	 
PF	4	812,000	2030.00	59	 	 	 	 
AN	3	600,000	2000.00	60	 	 	 	 
SS	2	407,000	2035.00	61	 	 	 	 
RS	1	201,000	2010.00	62	 	 	 	 
