CUANToBrokerCode	CUAN	Start	2025-11-20	End	2025-11-20	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XL	244,236	55,368,677,000	2267.02	1	XL	385,787	87,572,063,000	2269.96
MG	183,839	41,854,696,000	2276.70	2	CC	249,821	56,667,814,000	2268.34
CC	178,835	40,564,781,000	2268.28	3	MG	175,644	39,906,012,000	2271.98
YP	176,187	39,855,309,000	2262.10	4	YP	175,103	39,755,272,000	2270.39
AK	163,956	37,249,222,000	2271.90	5	XC	110,024	24,970,506,000	2269.55
KZ	156,568	35,572,064,000	2271.99	6	AK	98,808	22,406,087,000	2267.64
SQ	116,158	26,275,947,000	2262.09	7	PD	81,011	18,351,821,000	2265.35
BB	85,998	19,461,368,000	2263.00	8	SQ	47,735	10,826,464,000	2268.03
PD	69,602	15,832,058,000	2274.66	9	CP	46,353	10,519,202,000	2269.37
XC	58,439	13,220,871,000	2262.34	10	KK	43,937	9,951,110,000	2264.86
CP	57,651	13,123,835,000	2276.43	11	NI	40,136	9,115,423,000	2271.13
EP	46,940	10,622,104,000	2262.91	12	AZ	37,456	8,500,154,000	2269.37
CD	25,474	5,750,874,000	2257.55	13	XA	34,610	7,884,179,000	2278.01
DH	22,512	5,121,919,000	2275.20	14	LG	29,464	6,614,161,000	2244.83
YJ	20,640	4,718,675,000	2286.18	15	YJ	29,176	6,591,645,000	2259.27
NI	19,557	4,417,254,000	2258.66	16	OD	27,455	6,231,156,000	2269.59
KK	18,032	4,091,571,000	2269.06	17	EP	25,034	5,666,347,000	2263.46
GR	17,639	3,999,625,000	2267.49	18	BQ	17,819	4,011,916,000	2251.48
YB	17,118	3,877,485,000	2265.15	19	GR	16,687	3,801,136,000	2277.90
BQ	15,517	3,509,063,000	2261.43	20	DR	16,216	3,678,162,000	2268.23
AZ	15,124	3,434,588,000	2270.95	21	RF	15,343	3,464,518,000	2258.04
RX	15,009	3,428,766,000	2284.47	22	AO	14,288	3,229,887,000	2260.56
ZP	12,937	2,925,720,000	2261.51	23	ZP	14,219	3,228,704,000	2270.70
GA	12,540	2,844,595,000	2268.42	24	YB	13,474	3,050,848,000	2264.25
DR	11,237	2,558,821,000	2277.14	25	AT	11,955	2,682,723,000	2244.02
DP	10,000	2,270,000,000	2270.00	26	DH	11,507	2,620,596,000	2277.39
AO	9,576	2,160,713,000	2256.38	27	CD	11,484	2,613,427,000	2275.71
LG	9,579	2,159,736,000	2254.66	28	YU	11,159	2,549,966,000	2285.12
OD	8,467	1,919,386,000	2266.90	29	BK	6,353	1,440,068,000	2266.75
HP	5,916	1,349,861,000	2281.71	30	SH	6,338	1,418,888,000	2238.70
YU	5,560	1,254,110,000	2255.59	31	BR	6,046	1,347,408,000	2228.59
AG	5,245	1,182,732,000	2254.97	32	IF	5,265	1,198,442,000	2276.24
TP	4,988	1,132,079,000	2269.61	33	GA	5,040	1,140,040,000	2261.98
BR	4,967	1,118,101,000	2251.06	34	KI	4,987	1,132,891,000	2271.69
KI	4,390	1,003,121,000	2285.01	35	FZ	4,650	1,045,790,000	2249.01
HD	4,200	946,800,000	2254.29	36	BS	4,300	982,100,000	2283.95
FZ	4,150	938,970,000	2262.58	37	TP	4,133	931,821,000	2254.59
AT	3,668	827,002,000	2254.64	38	AI	3,451	781,136,000	2263.51
AI	3,496	793,774,000	2270.52	39	HP	2,817	642,332,000	2280.20
BK	3,000	679,638,000	2265.46	40	DX	2,575	577,137,000	2241.31
XA	2,593	584,415,000	2253.82	41	AG	1,805	412,026,000	2282.69
IF	2,165	496,286,000	2292.31	42	AN	1,503	345,690,000	2300.00
SH	2,000	453,000,000	2265.00	43	HD	1,104	252,246,000	2284.84
IU	1,660	375,440,000	2261.69	44	LS	1,080	246,310,000	2280.65
FS	1,300	290,750,000	2236.54	45	MU	1,009	232,043,000	2299.73
PC	599	135,373,000	2259.98	46	PC	943	214,991,000	2279.86
OK	300	68,100,000	2270.00	47	EL	700	160,800,000	2297.14
BS	300	68,100,000	2270.00	48	FS	700	159,600,000	2280.00
LS	220	50,060,000	2275.45	49	MI	600	138,000,000	2300.00
SF	150	34,650,000	2310.00	50	IU	570	128,710,000	2258.07
II	100	22,500,000	2250.00	51	RS	456	104,424,000	2290.00
SA	50	11,350,000	2270.00	52	AR	400	90,800,000	2270.00
ID	15	3,390,000	2260.00	53	RG	324	73,828,000	2278.64
RO	10	2,270,000	2270.00	54	SA	291	66,021,000	2268.76
ES	8	1,816,000	2270.00	55	ES	241	54,253,000	2251.16
QA	4	916,000	2290.00	56	RO	228	52,178,000	2288.51
TF	3	681,000	2270.00	57	SF	161	36,397,000	2260.68
IH	3	680,000	2266.67	58	ID	140	31,680,000	2262.86
AN	3	669,000	2230.00	59	ZR	113	25,669,000	2271.59
DX	2	448,000	2240.00	60	II	100	23,000,000	2300.00
 	 	 	 	61	JB	100	22,700,000	2270.00
 	 	 	 	62	IN	55	12,595,000	2290.00
 	 	 	 	63	AP	50	11,000,000	2200.00
 	 	 	 	64	PG	25	5,725,000	2290.00
 	 	 	 	65	AF	25	5,675,000	2270.00
 	 	 	 	66	SS	20	4,580,000	2290.00
 	 	 	 	67	PF	15	3,300,000	2200.00
 	 	 	 	68	YO	10	2,300,000	2300.00
 	 	 	 	69	QA	4	912,000	2280.00
