CUANToBrokerCode	CUAN	Start	2025-11-21	End	2025-11-21	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
BB	131,565	29,773,845,000	2263.05	1	XL	151,954	34,303,668,000	2257.50
XL	120,941	27,255,307,000	2253.60	2	CC	102,189	23,078,326,000	2258.40
YP	66,576	15,018,833,000	2255.89	3	YP	88,294	19,985,510,000	2263.52
PD	54,040	12,242,498,000	2265.45	4	YB	73,730	16,379,307,000	2221.53
KZ	53,091	11,954,949,000	2251.78	5	AK	70,454	15,864,736,000	2251.79
AK	45,562	10,231,426,000	2245.61	6	XC	43,650	9,860,065,000	2258.89
BK	35,656	8,014,730,000	2247.79	7	PD	34,446	7,775,910,000	2257.42
CC	34,725	7,804,420,000	2247.49	8	EP	26,860	6,105,133,000	2272.95
XC	31,293	7,059,610,000	2255.97	9	SQ	25,293	5,731,028,000	2265.86
LG	30,663	6,948,017,000	2265.93	10	MG	22,276	5,047,188,000	2265.75
MG	21,854	4,989,822,000	2283.25	11	NI	18,928	4,298,205,000	2270.82
AZ	21,526	4,884,992,000	2269.34	12	CP	16,012	3,596,561,000	2246.17
SQ	20,857	4,675,158,000	2241.53	13	RX	15,009	3,383,257,000	2254.15
CP	18,816	4,256,146,000	2261.98	14	AZ	14,287	3,224,760,000	2257.13
ZP	18,754	4,229,928,000	2255.48	15	ZP	14,127	3,196,455,000	2262.66
BQ	15,664	3,547,605,000	2264.81	16	LG	13,758	3,129,687,000	2274.81
YU	14,192	3,203,533,000	2257.28	17	KK	12,583	2,842,131,000	2258.71
EP	12,902	2,901,066,000	2248.54	18	BR	11,900	2,687,644,000	2258.52
KK	11,449	2,583,975,000	2256.94	19	AT	11,812	2,643,180,000	2237.71
CD	11,165	2,476,225,000	2217.85	20	AO	10,116	2,296,020,000	2269.69
YJ	9,911	2,259,522,000	2279.81	21	XA	7,993	1,814,433,000	2270.03
GR	10,046	2,250,388,000	2240.08	22	DR	8,023	1,812,008,000	2258.52
NI	9,443	2,112,485,000	2237.09	23	DH	7,039	1,583,835,000	2250.09
DH	9,033	2,036,557,000	2254.57	24	OD	6,895	1,557,913,000	2259.48
YB	7,693	1,736,199,000	2256.86	25	GR	6,865	1,546,174,000	2252.26
DR	5,808	1,307,348,000	2250.94	26	SH	5,000	1,132,000,000	2264.00
OD	5,020	1,122,306,000	2235.67	27	LS	4,660	1,053,100,000	2259.87
KI	3,640	819,545,000	2251.50	28	YU	4,545	1,022,916,000	2250.64
BR	3,500	795,400,000	2272.57	29	BQ	4,495	1,020,859,000	2271.10
IF	3,037	693,339,000	2282.97	30	FZ	3,265	739,133,000	2263.81
SH	3,000	676,000,000	2253.33	31	YJ	3,156	710,983,000	2252.80
GA	2,845	628,745,000	2210.00	32	AG	3,159	710,711,000	2249.80
HP	2,571	580,374,000	2257.39	33	AI	2,820	631,340,000	2238.79
AI	2,040	456,777,000	2239.10	34	HD	2,430	550,030,000	2263.50
AT	2,000	447,182,000	2235.91	35	KI	2,272	516,544,000	2273.52
FZ	1,960	439,574,000	2242.72	36	BK	1,936	437,332,000	2258.95
HD	1,580	356,380,000	2255.57	37	ES	1,440	327,020,000	2270.97
ES	1,390	311,690,000	2242.37	38	IU	1,340	298,720,000	2229.25
IN	1,110	249,150,000	2244.59	39	HP	1,269	287,713,000	2267.24
TP	1,011	228,045,000	2255.64	40	IN	1,005	227,135,000	2260.05
XA	919	207,963,000	2262.93	41	KZ	951	214,155,000	2251.89
AO	604	134,332,000	2224.04	42	IF	689	157,068,000	2279.65
PC	500	112,000,000	2240.00	43	TP	618	139,101,000	2250.83
IU	400	90,400,000	2260.00	44	PC	510	116,780,000	2289.80
DU	383	86,941,000	2270.00	45	DX	424	96,234,000	2269.67
DX	314	69,438,000	2211.40	46	FS	370	83,570,000	2258.65
AG	225	50,824,000	2258.84	47	PO	372	82,584,000	2220.00
RO	100	22,700,000	2270.00	48	RG	105	23,775,000	2264.29
II	100	22,500,000	2250.00	49	II	100	22,500,000	2250.00
LS	55	12,245,000	2226.36	50	CD	85	19,355,000	2277.06
QA	23	5,129,000	2230.00	51	RF	60	13,560,000	2260.00
RG	20	4,540,000	2270.00	52	SS	10	2,270,000	2270.00
MU	14	3,102,000	2215.71	53	MU	5	1,135,000	2270.00
RB	1	223,000	2230.00	54	BS	2	451,000	2255.00
 	 	 	 	55	QA	1	220,000	2200.00
