INETToBrokerCode	INET	Start	2025-12-03	End	2025-12-03	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XL	2,741,071	203,518,894,000	742.48	1	XL	3,507,526	257,159,586,000	733.17
AK	2,188,024	159,982,490,000	731.17	2	CC	1,472,120	108,329,520,000	735.87
YP	1,360,305	100,564,946,000	739.28	3	YP	1,389,888	102,614,801,000	738.30
CC	1,330,498	97,006,004,500	729.10	4	MG	917,254	67,221,755,000	732.86
MG	823,580	59,449,325,500	721.84	5	CP	833,819	61,231,580,000	734.35
CP	786,884	58,179,858,500	739.37	6	AK	718,411	53,441,241,500	743.88
ZP	560,785	40,362,790,500	719.76	7	XC	493,085	36,344,364,000	737.08
XC	425,664	31,839,512,000	748.00	8	PD	432,605	31,793,779,000	734.94
PD	349,679	25,857,323,500	739.46	9	NI	314,914	23,142,458,000	734.88
BK	290,106	21,644,483,500	746.09	10	OD	278,297	20,544,583,000	738.23
KK	232,624	17,187,134,500	738.84	11	KK	271,272	20,176,249,500	743.76
OD	190,747	14,159,181,000	742.30	12	BK	255,382	19,416,650,500	760.30
NI	185,946	13,806,387,500	742.49	13	SQ	193,136	14,215,861,500	736.05
YJ	170,128	13,110,553,500	770.63	14	XA	176,099	13,069,929,500	742.19
BQ	158,065	11,722,635,500	741.63	15	YB	180,583	12,815,883,000	709.69
YB	151,749	11,113,931,500	732.39	16	LG	154,361	11,322,373,500	733.50
SQ	126,156	9,366,818,000	742.48	17	BQ	145,365	10,847,315,000	746.21
LG	124,882	9,020,860,500	722.35	18	ZP	140,853	10,575,004,000	750.78
GR	120,671	8,949,103,500	741.61	19	AG	114,226	8,395,981,000	735.03
XA	92,023	6,812,661,500	740.32	20	DR	103,984	7,826,562,000	752.67
DR	86,869	6,268,204,500	721.57	21	TP	97,259	7,407,217,000	761.60
DH	63,804	4,820,270,500	755.48	22	DH	100,181	7,317,790,000	730.46
AT	59,669	4,411,789,500	739.38	23	EP	92,008	6,778,677,000	736.75
AZ	58,257	4,329,136,500	743.11	24	AZ	86,463	6,302,126,000	728.88
EP	58,531	4,299,612,500	734.59	25	AT	72,575	5,344,362,000	736.39
ES	49,287	3,589,514,500	728.29	26	GR	69,892	5,150,673,000	736.95
TP	36,836	2,729,512,500	740.99	27	YU	61,249	4,547,088,500	742.39
YU	28,765	2,100,851,000	730.35	28	ES	57,369	4,225,400,000	736.53
IH	26,950	2,069,930,500	768.06	29	YJ	55,648	4,219,320,000	758.22
HP	27,277	2,005,859,000	735.37	30	HP	37,345	2,754,589,000	737.61
AG	20,674	1,571,418,500	760.09	31	IH	28,335	2,188,257,500	772.28
IF	18,082	1,350,541,000	746.90	32	AI	29,244	2,078,108,500	710.61
SA	17,800	1,291,150,000	725.37	33	AO	29,068	2,056,698,000	707.55
AI	16,289	1,178,071,000	723.23	34	IF	25,845	1,881,244,500	727.89
PC	15,951	1,176,939,000	737.85	35	KI	23,824	1,722,338,000	722.94
BR	15,521	1,162,252,500	748.83	36	HD	19,212	1,450,187,500	754.83
KI	15,118	1,126,236,500	744.96	37	BR	14,217	1,015,972,000	714.62
AO	13,953	1,015,817,500	728.03	38	FZ	13,108	941,759,000	718.46
HD	12,461	907,183,500	728.02	39	DX	13,093	941,376,500	718.99
FZ	11,011	805,096,500	731.17	40	IN	12,240	891,835,000	728.62
IN	9,369	720,232,500	768.74	41	CD	11,438	841,734,000	735.91
CD	5,571	425,100,000	763.06	42	MI	9,250	627,250,000	678.11
RF	4,650	336,400,000	723.44	43	SA	7,950	585,800,000	736.86
SH	3,476	257,086,000	739.60	44	PC	6,899	515,934,500	747.84
DX	3,028	228,731,500	755.39	45	SH	4,829	347,573,500	719.76
DU	2,900	224,925,000	775.60	46	RF	4,650	343,775,000	739.30
MU	2,150	166,625,000	775.00	47	IU	4,035	283,472,500	702.53
LS	1,727	126,952,500	735.10	48	AD	2,237	156,590,000	700.00
IU	1,135	87,455,000	770.53	49	MU	2,025	150,850,000	744.94
BS	1,020	69,550,000	681.86	50	LS	2,029	148,017,000	729.51
RO	850	61,825,000	727.35	51	DU	1,800	139,500,000	775.00
FS	842	58,848,000	698.91	52	RB	1,929	137,842,500	714.58
MI	650	50,050,000	770.00	53	RO	1,504	112,807,000	750.05
RB	580	41,227,500	710.82	54	GA	1,500	105,000,000	700.00
AR	500	38,750,000	775.00	55	FS	1,242	92,490,000	744.69
TF	401	31,065,000	774.69	56	ID	1,228	88,792,000	723.06
PO	350	27,275,000	779.29	57	BS	1,000	76,500,000	765.00
PG	300	23,125,000	770.83	58	OK	1,000	70,000,000	700.00
RG	230	16,720,000	726.96	59	SF	940	66,410,000	706.49
JB	100	7,650,000	765.00	60	SS	850	63,350,000	745.29
QA	73	5,474,500	749.93	61	QA	827	56,938,500	688.49
AN	50	3,800,000	760.00	62	PO	684	52,345,000	765.28
SF	23	1,645,500	715.43	63	RG	520	39,277,500	755.34
GI	14	964,500	688.93	64	AN	450	34,950,000	776.67
 	 	 	 	65	TS	200	15,400,000	770.00
 	 	 	 	66	TF	125	9,100,000	728.00
 	 	 	 	67	AF	74	5,180,000	700.00
 	 	 	 	68	PG	50	3,925,000	785.00
 	 	 	 	69	ZR	51	3,753,500	735.98
 	 	 	 	70	GI	10	706,000	706.00
