INETToBrokerCode	INET	Start	2026-02-13	End	2026-02-13	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
YB	1,117,123	42,020,254,824	376.15	1	XL	1,080,556	40,811,597,200	377.69
XL	692,577	26,229,105,400	378.72	2	YB	979,144	36,810,487,624	375.95
AK	428,091	16,082,838,600	375.69	3	FS	403,121	15,237,713,600	377.99
XA	411,035	15,537,670,600	378.01	4	YP	333,910	12,641,870,200	378.60
MG	373,950	14,289,850,200	382.13	5	MG	309,059	11,776,721,400	381.05
CC	344,369	12,977,130,808	376.84	6	CC	298,131	11,291,509,808	378.74
YP	286,785	10,885,078,000	379.56	7	AK	272,448	10,297,690,000	377.97
AZ	223,306	8,402,105,200	376.26	8	PD	165,156	6,225,157,400	376.93
PD	135,871	5,158,996,200	379.70	9	XC	146,148	5,528,860,600	378.31
XC	117,554	4,453,559,200	378.85	10	CP	143,472	5,433,676,800	378.73
CP	106,602	4,018,056,200	376.92	11	NI	131,871	5,001,740,000	379.29
BK	89,328	3,433,238,400	384.34	12	GR	132,040	4,981,019,600	377.24
ZP	88,325	3,406,154,800	385.64	13	YJ	91,246	3,430,589,800	375.97
NI	88,572	3,337,205,400	376.78	14	ZP	60,590	2,289,021,400	377.79
TP	57,730	2,191,600,600	379.63	15	EP	57,706	2,160,159,000	374.34
GR	54,284	2,048,612,600	377.39	16	KK	41,429	1,573,396,000	379.78
KK	52,592	1,972,699,400	375.09	17	SQ	33,160	1,261,983,800	380.57
YJ	39,820	1,511,887,200	379.68	18	OD	32,954	1,247,365,600	378.52
AO	31,341	1,173,699,200	374.49	19	LG	29,957	1,141,534,200	381.06
MI	30,150	1,127,670,000	374.02	20	MI	30,000	1,140,000,000	380.00
EP	24,848	932,400,000	375.24	21	AT	29,444	1,120,016,200	380.39
OD	24,392	920,956,200	377.56	22	DR	29,491	1,114,848,200	378.03
DR	23,799	900,472,000	378.37	23	AZ	25,426	962,509,400	378.55
SQ	23,621	898,915,000	380.56	24	XA	24,789	938,885,800	378.75
AT	22,133	827,433,000	373.85	25	BK	18,916	727,846,000	384.78
DH	21,217	792,720,400	373.63	26	AI	18,241	699,638,800	383.55
LG	20,272	773,950,800	381.78	27	TP	16,304	617,894,000	378.98
BQ	12,949	491,204,600	379.34	28	BQ	15,903	603,218,800	379.31
AI	12,150	461,490,000	379.83	29	DH	13,040	496,141,000	380.48
YU	9,289	352,394,000	379.37	30	PC	8,126	312,033,800	383.99
RO	6,380	233,885,000	366.59	31	AG	5,831	223,594,000	383.46
IN	5,500	201,300,000	366.00	32	AO	5,078	195,146,800	384.30
HP	5,182	197,097,400	380.35	33	RO	5,000	185,920,000	371.84
AG	3,867	146,681,800	379.32	34	BR	4,205	161,473,000	384.00
FS	3,650	137,720,000	377.32	35	DX	2,792	105,934,000	379.42
CD	3,121	118,531,200	379.79	36	HP	2,709	101,550,000	374.86
IF	2,709	100,895,400	372.45	37	YU	2,025	77,981,000	385.09
SA	1,800	68,400,000	380.00	38	IF	1,825	69,655,800	381.68
DX	1,813	68,238,200	376.38	39	HD	1,000	37,600,000	376.00
RG	1,781	65,935,800	370.22	40	SF	679	26,073,600	384.00
PG	1,500	56,000,000	373.33	41	RS	600	23,040,000	384.00
II	1,330	50,008,000	376.00	42	PG	500	19,200,000	384.00
PC	1,198	45,352,200	378.57	43	IN	500	18,600,000	372.00
HD	584	21,548,600	368.98	44	KI	472	18,049,800	382.41
RF	564	20,899,200	370.55	45	DU	400	15,200,000	380.00
KI	412	15,452,000	375.05	46	ZR	325	12,150,000	373.85
LS	400	15,020,000	375.50	47	RF	300	11,400,000	380.00
DU	400	14,800,000	370.00	48	LS	265	9,720,000	366.79
IU	250	9,200,000	368.00	49	CD	215	8,210,600	381.89
QA	97	3,679,000	379.28	50	ID	75	2,865,000	382.00
FZ	50	1,917,600	383.52	51	RG	50	1,910,000	382.00
ZR	25	910,000	364.00	52	QA	28	1,064,800	380.29
ES	17	642,000	377.65	53	RB	27	1,025,600	379.85
PO	6	224,400	374.00	54	IH	20	744,000	372.00
JB	5	185,000	370.00	55	FZ	11	417,800	379.82
SF	4	148,400	371.00	56	GI	11	404,800	368.00
GI	1	36,600	366.00	57	 	 	 	 
