INETToBrokerCode	INET	Start	2026-02-18	End	2026-02-18	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XL	2,415,667	101,094,003,200	418.49	1	XL	2,923,407	122,115,522,800	417.72
AK	1,748,727	73,020,345,200	417.56	2	CC	1,191,554	50,072,830,400	420.23
MG	1,288,866	54,412,026,200	422.17	3	MG	1,081,294	45,763,130,600	423.23
YP	919,312	38,505,953,000	418.86	4	AK	916,911	38,341,207,800	418.16
CC	834,864	35,037,841,600	419.68	5	YP	818,392	34,268,760,200	418.73
CP	533,772	22,383,283,000	419.34	6	AZ	621,852	26,133,737,200	420.26
AZ	502,235	21,276,730,600	423.64	7	XC	468,657	19,563,743,400	417.44
XC	486,500	20,436,671,200	420.08	8	CP	451,058	18,921,008,400	419.48
YJ	261,120	10,976,305,800	420.35	9	YJ	346,145	14,502,067,200	418.96
PD	248,515	10,416,893,400	419.17	10	NI	326,222	13,610,014,800	417.20
NI	246,818	10,223,919,400	414.23	11	PD	311,938	13,067,728,000	418.92
BK	202,598	8,466,619,000	417.90	12	YB	303,153	12,719,019,000	419.56
YB	193,445	8,062,819,800	416.80	13	SQ	182,856	7,640,887,200	417.86
SQ	170,422	7,145,336,000	419.27	14	GR	152,936	6,417,594,800	419.63
KK	164,673	6,873,775,600	417.42	15	KK	143,798	6,040,269,200	420.05
ZP	158,734	6,548,005,200	412.51	16	BQ	125,246	5,261,032,600	420.06
XA	150,317	6,263,050,800	416.66	17	OD	112,902	4,725,606,200	418.56
BQ	124,417	5,214,602,600	419.12	18	DR	107,743	4,498,011,600	417.48
OD	116,828	4,916,211,400	420.81	19	XA	98,775	4,195,969,400	424.80
DR	79,001	3,304,431,400	418.28	20	EP	86,578	3,579,366,200	413.43
AT	70,010	2,921,899,800	417.35	21	ZP	78,000	3,313,735,200	424.84
EP	63,815	2,648,814,600	415.08	22	BK	78,951	3,211,527,200	406.77
AO	56,975	2,384,728,000	418.56	23	AT	71,127	2,975,907,400	418.39
GR	47,464	1,973,708,400	415.83	24	TP	64,986	2,714,135,400	417.65
LG	42,539	1,777,590,200	417.87	25	LG	59,810	2,481,296,800	414.86
KI	36,325	1,538,660,400	423.58	26	DH	41,949	1,761,754,600	419.98
AI	31,815	1,318,846,800	414.54	27	AO	41,458	1,742,394,600	420.28
IF	24,048	1,017,828,000	423.25	28	HP	25,534	1,052,823,600	412.32
HD	21,067	892,310,200	423.56	29	HD	24,330	1,029,618,400	423.19
AG	20,875	859,277,400	411.63	30	AI	22,232	936,259,800	421.13
DH	17,207	723,266,200	420.33	31	YU	22,463	932,843,400	415.28
YU	16,877	697,032,000	413.01	32	PC	13,050	555,544,000	425.70
AN	16,030	686,045,000	427.98	33	AG	12,801	534,020,400	417.17
HP	14,419	597,612,000	414.46	34	IF	11,473	481,493,000	419.67
TP	12,117	507,734,400	419.03	35	CD	11,008	463,879,600	421.40
CD	10,972	455,438,600	415.09	36	IN	9,981	423,774,400	424.58
IN	10,071	423,143,400	420.16	37	BR	7,185	301,984,000	420.30
GA	10,000	422,600,000	422.60	38	ES	6,390	265,862,000	416.06
BR	9,077	381,757,400	420.58	39	GA	6,000	258,000,000	430.00
PC	6,200	259,944,000	419.26	40	RO	5,479	230,128,200	420.02
LS	5,825	242,540,000	416.38	41	LS	5,283	222,705,800	421.55
DX	5,230	217,998,400	416.82	42	KI	5,310	221,683,400	417.48
FZ	5,010	214,616,000	428.38	43	RG	4,446	186,590,000	419.68
ES	5,000	210,400,000	420.80	44	DX	4,154	173,683,000	418.11
MU	4,040	166,878,000	413.06	45	SA	3,300	131,560,000	398.67
SH	3,752	152,408,800	406.21	46	FS	3,231	131,487,200	406.96
MI	3,000	120,600,000	402.00	47	SH	3,152	130,136,000	412.87
RG	2,665	108,399,000	406.75	48	MI	3,000	124,200,000	414.00
SF	2,382	100,515,000	421.98	49	ID	2,200	92,780,000	421.73
RO	1,949	81,369,600	417.49	50	PG	2,000	84,600,000	423.00
RB	1,010	43,198,000	427.70	51	FZ	1,545	66,153,000	428.17
PG	1,000	41,600,000	416.00	52	RB	1,031	44,308,600	429.76
QA	731	30,903,800	422.76	53	ZR	626	25,929,000	414.20
IH	435	18,420,000	423.45	54	DU	530	22,032,000	415.70
PO	380	16,016,000	421.47	55	IT	500	20,500,000	410.00
PI	214	9,159,200	428.00	56	IH	405	17,171,000	423.98
RS	200	8,600,000	430.00	57	QA	301	12,469,800	414.28
SA	200	8,480,000	424.00	58	RS	300	12,000,000	400.00
IC	200	8,280,000	414.00	59	AR	245	10,226,000	417.39
JB	100	4,180,000	418.00	60	PI	214	9,287,600	434.00
TF	48	2,014,000	419.58	61	SS	180	7,628,000	423.78
ZR	30	1,220,000	406.67	62	MU	174	7,287,800	418.84
AD	15	628,000	418.67	63	PO	106	4,395,200	414.64
BS	10	396,000	396.00	64	GI	83	3,465,200	417.49
GI	2	83,200	416.00	65	SF	77	3,185,600	413.71
 	 	 	 	66	TF	50	2,070,000	414.00
 	 	 	 	67	AF	50	2,030,000	406.00
 	 	 	 	68	AN	30	1,275,000	425.00
 	 	 	 	69	AD	15	636,000	424.00
