INETToBrokerCode	INET	Start	2026-02-04	End	2026-02-04	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XL	2,060,664	78,142,617,800	379.21	1	XL	1,801,404	68,047,335,000	377.75
CC	732,844	27,577,503,800	376.31	2	CC	1,010,367	38,631,689,600	382.35
YP	684,918	25,938,739,400	378.71	3	MG	830,848	31,404,113,000	377.98
MG	551,199	21,090,830,800	382.64	4	AK	743,546	28,394,703,800	381.88
AK	423,307	15,880,528,400	375.15	5	YP	513,252	19,414,475,200	378.26
XC	295,097	11,236,180,400	380.76	6	BK	339,008	13,000,581,600	383.49
PD	268,020	10,163,393,000	379.20	7	XC	295,818	11,197,378,200	378.52
NI	244,957	9,367,180,400	382.40	8	PD	209,419	7,911,744,600	377.79
YB	216,210	8,174,877,800	378.10	9	CP	153,613	5,841,653,000	380.28
ZP	183,651	7,019,157,000	382.20	10	YJ	146,189	5,544,779,000	379.29
CP	173,332	6,567,765,600	378.91	11	NI	143,239	5,437,553,200	379.61
SQ	163,569	6,200,075,600	379.05	12	YB	131,528	4,974,361,800	378.20
XA	147,427	5,627,859,200	381.74	13	XA	118,347	4,471,097,200	377.80
KK	141,937	5,361,453,200	377.73	14	GR	106,852	3,975,567,400	372.06
MI	118,051	4,489,717,600	380.32	15	KK	79,621	3,012,989,600	378.42
AZ	104,395	3,949,848,200	378.36	16	SQ	75,647	2,855,205,000	377.44
OD	77,309	2,918,109,800	377.46	17	ZP	72,975	2,770,547,600	379.66
GR	74,907	2,873,673,000	383.63	18	AZ	71,082	2,675,793,400	376.44
EP	68,595	2,585,204,200	376.88	19	BQ	53,465	2,028,069,400	379.33
YJ	62,385	2,380,266,600	381.54	20	IF	43,409	1,653,135,400	380.83
BQ	60,601	2,316,215,600	382.21	21	OD	41,067	1,564,485,200	380.96
AO	60,305	2,284,084,800	378.76	22	EP	41,470	1,530,620,000	369.09
DR	50,375	1,902,158,800	377.60	23	LG	33,600	1,263,943,000	376.17
LG	40,422	1,528,993,000	378.26	24	AT	27,087	1,040,290,000	384.06
DH	37,729	1,437,681,800	381.05	25	DR	26,978	1,022,624,400	379.06
AT	34,623	1,307,548,800	377.65	26	BR	25,959	990,302,200	381.49
AI	27,307	1,059,217,200	387.89	27	LS	20,356	777,586,000	381.99
HP	25,716	966,617,800	375.88	28	SA	21,056	761,699,200	361.75
BR	24,909	958,578,200	384.83	29	DH	19,816	747,077,600	377.01
LS	20,663	781,888,400	378.40	30	HP	15,074	557,069,800	369.56
YU	18,465	694,946,000	376.36	31	IN	11,664	455,171,000	390.24
IF	17,283	671,941,200	388.79	32	DX	12,101	444,798,200	367.57
TP	12,158	460,902,400	379.09	33	YU	9,910	364,557,800	367.87
IN	11,454	436,431,400	381.03	34	PC	9,553	357,167,000	373.88
HD	7,072	267,566,400	378.35	35	FZ	7,472	284,229,800	380.39
CD	5,954	222,787,400	374.18	36	TP	3,902	148,784,200	381.30
ES	5,215	195,960,000	375.76	37	AI	3,428	130,500,200	380.69
FZ	5,037	195,687,800	388.50	38	AO	3,152	118,049,200	374.52
PG	5,100	195,480,000	383.29	39	PG	3,000	116,400,000	388.00
RG	4,555	170,175,600	373.60	40	KI	2,892	111,589,400	385.86
DX	3,937	149,710,600	380.27	41	DU	2,800	106,080,000	378.86
DU	3,500	130,660,000	373.31	42	RG	2,826	104,196,800	368.71
AG	3,313	126,475,400	381.75	43	RO	2,100	80,580,000	383.71
PC	3,332	122,579,600	367.89	44	IH	2,000	76,000,000	380.00
KI	2,702	104,020,000	384.97	45	QA	1,992	75,171,600	377.37
FS	2,343	86,409,600	368.80	46	FS	1,680	64,018,000	381.06
RS	2,099	79,989,200	381.08	47	HD	1,367	52,796,200	386.22
QA	2,006	76,258,400	380.15	48	AG	1,341	51,179,400	381.65
IH	2,000	75,600,000	378.00	49	RB	919	34,021,000	370.20
RO	2,000	74,500,000	372.50	50	CD	775	29,437,400	379.84
RB	908	35,217,600	387.86	51	SF	440	16,680,000	379.09
SA	646	24,447,200	378.44	52	PO	310	12,090,000	390.00
OK	500	19,600,000	392.00	53	MU	115	4,408,000	383.30
PO	313	12,326,800	393.83	54	ID	100	3,870,000	387.00
AR	250	9,380,000	375.20	55	SS	85	3,179,000	374.00
ID	230	8,400,000	365.22	56	AR	50	1,920,000	384.00
SF	119	4,472,600	375.85	57	GI	42	1,571,000	374.05
MU	115	4,180,000	363.48	58	ZR	25	935,000	374.00
SS	80	2,960,000	370.00	59	ES	23	897,000	390.00
AN	25	965,000	386.00	60	JB	5	198,000	396.00
ZR	25	910,000	364.00	61	 	 	 	 
GI	1	39,200	392.00	62	 	 	 	 
