INETToBrokerCode	INET	Start	2026-01-28	End	2026-01-28	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XL	2,395,388	95,271,246,600	397.73	1	XL	1,519,356	60,168,372,000	396.01
YP	1,019,857	40,416,179,000	396.29	2	CC	1,009,830	40,298,440,000	399.06
CC	954,397	37,868,032,200	396.77	3	YP	879,738	34,889,256,800	396.59
YJ	541,379	21,597,195,200	398.93	4	AK	689,096	27,780,946,600	403.15
AK	338,726	13,564,446,600	400.45	5	ZP	469,475	18,756,666,000	399.52
PD	336,546	13,290,833,600	394.92	6	GR	314,377	12,363,252,200	393.26
XC	329,764	13,077,340,400	396.57	7	LG	310,606	11,927,821,400	384.02
CP	305,760	12,335,426,400	403.43	8	XC	292,790	11,638,575,800	397.51
KK	213,258	8,430,574,200	395.32	9	CP	286,696	11,516,260,000	401.69
NI	184,150	7,244,813,600	393.42	10	PD	270,744	10,706,619,400	395.45
ZP	158,471	6,252,460,200	394.55	11	BK	257,117	10,357,613,800	402.84
YB	143,311	5,690,491,000	397.07	12	YJ	236,617	9,399,644,400	397.25
LG	139,620	5,515,501,000	395.04	13	MG	220,416	8,704,503,800	394.91
SQ	134,186	5,291,298,400	394.33	14	YB	193,721	7,673,032,000	396.09
GR	121,700	4,729,605,800	388.63	15	OD	170,355	6,828,443,800	400.84
BQ	113,220	4,421,468,400	390.52	16	AZ	132,865	5,156,997,600	388.14
MG	100,104	3,935,490,200	393.14	17	NI	108,666	4,365,522,600	401.74
OD	98,382	3,933,398,600	399.81	18	BQ	107,756	4,221,825,800	391.79
AT	81,464	3,199,745,000	392.78	19	AO	103,748	3,989,647,400	384.55
XA	73,828	2,946,505,400	399.10	20	XA	88,912	3,505,809,600	394.30
DH	42,071	1,661,991,400	395.04	21	KK	80,814	3,206,794,800	396.81
AZ	41,930	1,658,666,800	395.58	22	SQ	58,533	2,308,243,200	394.35
DR	39,441	1,551,261,400	393.31	23	IF	58,000	2,258,902,400	389.47
EP	38,371	1,522,733,400	396.84	24	AT	40,189	1,594,216,800	396.68
KI	19,871	791,484,600	398.31	25	DR	39,335	1,567,866,200	398.59
YU	17,476	694,952,600	397.66	26	AI	36,641	1,435,056,400	391.65
BK	14,335	583,478,200	407.03	27	EP	33,650	1,330,723,200	395.46
IF	13,283	531,243,400	399.94	28	KI	25,839	1,025,217,000	396.77
QA	13,052	504,358,800	386.42	29	HP	17,422	679,660,400	390.12
AG	11,294	445,812,000	394.73	30	TP	14,974	581,108,200	388.08
TP	10,600	420,394,200	396.60	31	YU	9,902	391,750,600	395.63
HP	9,579	380,178,200	396.89	32	BR	9,500	380,600,000	400.63
AI	9,111	352,882,000	387.31	33	DH	8,816	341,445,600	387.30
PC	8,084	329,456,800	407.54	34	AG	7,443	302,859,600	406.91
FZ	7,214	285,508,000	395.77	35	IU	7,000	282,200,000	403.14
SH	7,000	267,750,000	382.50	36	FZ	6,110	242,956,000	397.64
AF	6,720	256,714,000	382.01	37	HD	5,900	236,700,000	401.19
PO	5,300	214,460,000	404.64	38	RF	5,500	222,500,000	404.55
BR	5,012	200,665,600	400.37	39	PO	5,280	218,748,000	414.30
IU	5,017	191,664,600	382.03	40	ES	5,105	208,125,000	407.69
ES	4,468	174,177,600	389.83	41	SA	4,200	162,000,000	385.71
DX	4,224	169,203,800	400.58	42	IN	3,700	149,920,000	405.19
SS	3,800	148,960,000	392.00	43	DX	2,991	117,692,000	393.49
IN	3,005	122,900,000	408.99	44	FS	2,750	108,320,000	393.89
HD	3,048	122,266,600	401.14	45	IH	1,350	51,780,000	383.56
SF	3,094	118,902,400	384.30	46	RO	700	27,500,000	392.86
RO	2,700	106,760,000	395.41	47	RB	500	19,100,000	382.00
RF	2,400	96,720,000	403.00	48	SS	414	15,814,800	382.00
PG	2,500	96,440,000	385.76	49	LS	330	13,132,000	397.94
CD	2,370	91,857,200	387.58	50	RG	275	11,485,000	417.64
SA	2,247	86,625,800	385.52	51	QA	280	10,936,800	390.60
LS	2,025	81,289,200	401.43	52	AN	265	10,227,000	385.92
RG	2,007	79,318,600	395.21	53	DU	200	8,400,000	420.00
IH	1,600	61,120,000	382.00	54	SH	100	4,090,000	409.00
FS	1,326	53,868,400	406.25	55	CD	56	2,185,400	390.25
ID	1,280	51,872,000	405.25	56	PC	24	1,000,400	416.83
IT	1,250	47,750,000	382.00	57	PG	7	267,400	382.00
AN	1,150	45,020,000	391.48	58	 	 	 	 
AO	936	37,735,200	403.15	59	 	 	 	 
RB	733	28,046,200	382.62	60	 	 	 	 
OK	500	20,700,000	414.00	61	 	 	 	 
MI	500	19,100,000	382.00	62	 	 	 	 
DU	400	16,360,000	409.00	63	 	 	 	 
BS	350	13,460,000	384.57	64	 	 	 	 
JB	300	11,700,000	390.00	65	 	 	 	 
MU	256	9,909,000	387.07	66	 	 	 	 
AR	100	3,820,000	382.00	67	 	 	 	 
ZR	55	2,110,000	383.64	68	 	 	 	 
TF	50	1,910,000	382.00	69	 	 	 	 
GI	30	1,165,400	388.47	70	 	 	 	 
