INETToBrokerCode	INET	Start	2026-01-06	End	2026-01-06	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XL	2,447,624	165,449,676,000	675.96	1	XL	1,654,835	111,039,215,500	671.00
CC	1,020,260	68,602,554,000	672.40	2	MG	1,457,829	98,989,982,500	679.02
YP	603,837	40,760,118,500	675.02	3	CC	1,113,250	75,558,737,000	678.72
XC	555,302	37,591,123,500	676.95	4	YP	636,215	42,753,291,000	671.99
MG	366,821	24,939,600,500	679.88	5	CP	479,029	32,565,008,000	679.81
PD	334,102	22,375,677,500	669.73	6	AK	371,371	25,150,076,500	677.22
AK	329,913	22,193,245,500	672.70	7	XC	337,177	22,700,620,500	673.26
NI	288,806	19,536,691,000	676.46	8	YB	295,887	19,989,584,500	675.58
CP	258,550	17,402,927,500	673.10	9	PD	209,326	14,094,686,500	673.34
AZ	197,587	13,209,761,000	668.55	10	NI	121,319	8,134,453,000	670.50
SQ	172,625	11,570,816,000	670.29	11	AZ	120,929	8,053,261,500	665.95
OD	138,149	9,337,103,500	675.87	12	SQ	114,157	7,683,234,000	673.04
YB	129,260	8,780,876,000	679.32	13	BK	105,338	7,032,563,000	667.62
DR	117,982	7,978,468,000	676.24	14	LG	94,469	6,326,192,000	669.66
LG	98,256	6,743,468,500	686.32	15	BQ	77,238	5,276,655,500	683.17
KK	85,314	5,718,401,000	670.28	16	OD	74,996	5,077,186,000	676.99
GR	84,718	5,642,946,000	666.09	17	KK	73,009	4,877,890,000	668.12
XA	79,573	5,371,530,500	675.04	18	ZP	66,142	4,396,339,000	664.68
ZP	54,546	3,683,964,500	675.39	19	DR	59,150	3,938,087,000	665.78
BQ	53,576	3,608,587,000	673.55	20	XA	48,265	3,257,073,500	674.83
AG	51,548	3,560,045,000	690.63	21	GR	47,397	3,184,890,500	671.96
AT	51,132	3,444,958,500	673.74	22	AT	44,854	3,032,104,000	675.99
EP	46,767	3,121,961,500	667.56	23	EP	44,959	3,004,194,000	668.21
KI	40,996	2,783,119,000	678.88	24	DH	36,120	2,439,676,000	675.44
BK	36,340	2,461,624,500	677.39	25	KI	24,292	1,623,971,500	668.52
DH	31,217	2,113,875,500	677.16	26	IF	23,992	1,598,386,500	666.22
IF	27,175	1,851,536,000	681.34	27	HP	17,803	1,178,919,500	662.20
HP	22,952	1,525,834,000	664.79	28	AO	13,945	934,717,000	670.29
AO	22,368	1,503,305,500	672.08	29	SA	13,426	889,358,000	662.41
TP	14,924	999,226,000	669.54	30	BR	10,000	655,900,000	655.90
YU	12,643	855,329,500	676.52	31	HD	9,260	626,321,500	676.37
BR	12,002	791,589,000	659.55	32	YU	8,944	601,650,000	672.69
YJ	10,643	718,827,500	675.40	33	YJ	8,091	547,150,000	676.25
HD	8,955	599,827,500	669.82	34	TP	7,519	515,227,000	685.23
PC	7,591	504,761,500	664.95	35	IN	5,725	393,900,000	688.03
AI	5,491	359,393,500	654.51	36	PC	5,448	372,662,500	684.04
SA	5,010	338,150,000	674.95	37	AG	5,255	357,563,500	680.43
IN	3,980	265,345,000	666.70	38	QA	2,758	178,244,500	646.28
DX	3,297	221,488,500	671.79	39	FZ	2,500	165,650,000	662.60
FZ	3,309	216,022,500	652.83	40	SH	2,430	163,615,000	673.31
MU	3,207	212,640,500	663.05	41	AI	2,368	163,470,500	690.33
CD	2,777	187,014,000	673.44	42	PG	2,400	162,800,000	678.33
SF	2,719	184,408,500	678.22	43	CD	1,842	121,545,000	659.85
QA	2,727	182,677,500	669.88	44	RO	1,625	108,925,000	670.31
SH	2,000	138,050,000	690.25	45	ES	1,500	102,000,000	680.00
PG	2,000	134,000,000	670.00	46	DX	1,361	91,872,000	675.03
SS	1,545	104,355,000	675.44	47	LS	1,269	85,246,500	671.76
II	1,525	99,887,500	655.00	48	OK	1,000	67,500,000	675.00
RO	1,225	81,150,000	662.45	49	FS	953	65,532,000	687.64
ES	1,070	71,296,500	666.32	50	RG	650	43,025,000	661.92
OK	1,000	65,000,000	650.00	51	MI	600	40,200,000	670.00
BS	810	53,865,000	665.00	52	MU	455	31,393,500	689.97
LS	566	38,364,000	677.81	53	AN	78	5,304,000	680.00
PO	570	37,160,000	651.93	54	TF	56	3,844,500	686.52
IT	550	35,500,000	645.45	55	PO	20	1,320,000	660.00
FS	473	31,319,500	662.15	56	RB	18	1,197,000	665.00
AF	307	19,955,000	650.00	57	JB	9	580,500	645.00
MI	166	11,219,000	675.84	58	IH	5	332,500	665.00
RG	150	10,350,000	690.00	59	 	 	 	 
RB	135	9,185,000	680.37	60	 	 	 	 
JB	70	4,830,000	690.00	61	 	 	 	 
GI	60	4,080,000	680.00	62	 	 	 	 
AN	39	2,522,500	646.79	63	 	 	 	 
ZR	17	1,145,500	673.82	64	 	 	 	 
AR	5	322,500	645.00	65	 	 	 	 
TF	4	272,000	680.00	66	 	 	 	 
