INETToBrokerCode	INET	Start	2025-11-24	End	2025-11-24	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XL	2,562,911	158,738,321,000	619.37	1	XL	2,903,036	180,696,896,500	622.44
MG	2,080,067	131,823,256,500	633.75	2	MG	1,837,225	110,635,417,500	602.19
YP	1,506,432	92,772,366,500	615.84	3	YP	1,621,587	101,221,082,500	624.21
AK	1,318,963	81,951,869,000	621.34	4	CC	1,226,854	76,438,047,000	623.04
CC	1,306,667	79,859,448,500	611.17	5	CP	847,166	53,739,564,000	634.35
CP	819,343	52,313,628,500	638.48	6	PD	670,320	41,682,011,000	621.82
BK	485,985	29,520,815,500	607.44	7	XC	459,751	28,758,321,500	625.52
PD	448,418	27,493,344,500	613.12	8	NI	429,098	26,845,693,500	625.63
XC	407,616	25,336,676,500	621.58	9	AK	417,875	26,187,073,500	626.67
KK	225,650	13,522,107,500	599.25	10	YB	282,686	17,358,756,000	614.06
NI	214,303	12,999,998,000	606.62	11	KK	260,611	16,116,158,000	618.40
YB	211,296	12,612,861,500	596.93	12	YJ	214,686	13,024,626,500	606.68
AZ	185,451	11,934,925,500	643.56	13	SQ	208,900	12,995,363,000	622.09
SQ	179,917	11,063,421,000	614.92	14	LG	196,341	12,769,014,500	650.35
AG	166,607	10,437,408,000	626.47	15	AG	190,173	11,992,963,000	630.63
YJ	140,381	9,003,968,000	641.40	16	OD	142,820	8,923,241,500	624.79
OD	124,911	7,790,456,000	623.68	17	DR	117,943	7,452,989,500	631.91
BQ	81,328	4,951,077,500	608.78	18	XA	111,507	6,793,032,000	609.20
ZP	65,705	3,955,332,500	601.98	19	BQ	109,762	6,769,032,000	616.70
GR	56,247	3,573,902,000	635.39	20	GR	97,121	6,077,750,500	625.79
DR	54,067	3,323,456,000	614.69	21	AZ	94,783	5,942,769,000	626.99
AO	44,283	2,902,630,500	655.47	22	AO	89,375	5,378,896,500	601.83
DH	45,823	2,897,232,500	632.27	23	ZP	71,865	4,472,742,000	622.38
XA	46,279	2,833,519,500	612.27	24	EP	65,156	4,103,262,500	629.76
YU	41,029	2,518,935,000	613.94	25	DH	54,540	3,341,709,000	612.71
LG	40,779	2,501,321,000	613.38	26	AT	43,085	2,668,545,500	619.37
EP	38,894	2,407,170,500	618.91	27	KI	36,302	2,292,779,000	631.58
AT	34,702	2,129,872,500	613.76	28	YU	37,436	2,289,011,000	611.45
HP	27,089	1,710,381,500	631.39	29	HP	35,917	2,195,754,500	611.34
PC	20,560	1,206,561,500	586.85	30	BK	29,182	1,949,395,000	668.01
KI	17,214	1,084,725,500	630.14	31	PC	22,251	1,450,524,000	651.89
IN	14,859	971,074,500	653.53	32	TP	21,484	1,321,490,000	615.10
TP	12,608	776,391,000	615.79	33	IF	19,570	1,241,075,000	634.17
QA	9,534	609,609,000	639.41	34	IN	16,057	958,491,500	596.93
BR	9,087	570,425,500	627.74	35	AI	13,872	834,080,000	601.27
AI	9,303	556,444,500	598.13	36	FS	11,106	696,395,000	627.04
IF	7,304	460,419,000	630.37	37	LS	10,245	691,147,000	674.62
DX	6,290	380,899,000	605.56	38	QA	9,430	617,610,500	654.94
RG	6,197	374,103,500	603.68	39	BR	8,799	530,315,000	602.70
HD	4,112	261,879,000	636.87	40	FZ	8,197	524,821,000	640.26
SS	2,845	187,770,000	660.00	41	RG	8,115	517,791,500	638.07
AN	3,000	184,000,000	613.33	42	IH	7,622	498,139,500	653.55
SH	2,552	161,098,000	631.26	43	SA	6,750	411,750,000	610.00
IH	2,235	141,032,500	631.02	44	CD	6,317	383,009,500	606.32
CD	2,375	140,734,500	592.57	45	AN	4,003	255,681,500	638.72
ES	2,095	135,090,000	644.82	46	HD	4,089	254,344,500	622.02
RF	1,668	95,748,000	574.03	47	DX	3,600	225,639,000	626.78
FS	973	63,731,500	655.00	48	SH	2,859	187,528,500	655.92
FZ	904	51,076,000	565.00	49	ES	2,210	138,932,500	628.65
SA	625	38,212,500	611.40	50	OK	1,730	115,045,000	665.00
MI	550	36,850,000	670.00	51	RF	1,500	90,000,000	600.00
IU	531	32,091,000	604.35	52	IU	1,500	86,250,000	575.00
MU	480	30,910,500	643.97	53	MI	1,300	82,625,000	635.58
RB	400	25,615,000	640.38	54	RB	1,104	65,900,000	596.92
RO	350	22,575,000	645.00	55	AF	800	50,250,000	628.13
GA	330	19,910,000	603.33	56	RO	656	41,013,000	625.20
PO	242	14,786,500	611.01	57	MU	561	36,970,500	659.01
TS	200	13,400,000	670.00	58	DU	510	32,150,000	630.39
AF	74	4,958,000	670.00	59	GA	330	20,680,000	626.67
ID	50	3,275,000	655.00	60	AR	333	20,146,500	605.00
ZR	50	3,000,000	600.00	61	PO	245	15,698,000	640.73
LS	22	1,430,000	650.00	62	SF	246	14,978,500	608.88
SF	13	762,000	586.15	63	ID	130	8,362,500	643.27
GI	10	653,000	653.00	64	ZR	130	8,345,000	641.92
TF	2	134,000	670.00	65	RS	12	660,000	550.00
JB	1	65,000	650.00	66	GI	8	527,000	658.75
AR	1	64,500	645.00	67	JB	8	492,000	615.00
 	 	 	 	68	PG	4	270,000	675.00
 	 	 	 	69	TF	3	181,500	605.00
